ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
329.363413,-23.21885,5.3577,4.8427,0.5006,9.8517,15.17,1,329.02692,-22.82623,20180610480058,290,12,1,44,1,zg,525480184415,525,52548018,1,o,2018-06-10 11:31:28.934,2458279.9801852,0
329.210534,-23.312574,5.3586,4.7239,0.3881,9.0433,15.08,1,329.01276,-23.65644,20180619458831,290,12,4,47,2,zr,534459304715,534,53445930,1,o,2018-06-19 11:01:24.435,2458288.9593056,1
329.100709,-23.357856,5.3589,4.6865,0.3545,8.7189,15.04,1,329.0139,-23.704096,20180622480741,290,12,4,47,2,zr,537480754715,537,53748075,1,o,2018-06-22 11:32:17.248,2458291.9807523,2
328.67188,-23.505848,5.3597,4.5952,0.345,7.7399,14.95,1,329.01593,-23.646742,20180630479734,290,12,4,47,1,zg,545480044715,545,54548004,1,o,2018-06-30 11:31:16.122,2458299.9800463,3
328.389317,-23.591249,5.3601,4.5547,0.3113,7.1977,14.9,1,328.06622,-23.688692,20180704417268,290,12,3,46,1,zg,549417914615,549,54941791,1,o,2018-07-04 10:01:48.518,2458303.9179167,4
328.38583,-23.592227,5.3601,4.5543,0.3052,7.1914,14.9,1,328.06903,-23.687689,20180704461088,290,12,3,46,2,zr,549461094615,549,54946109,1,o,2018-07-04 11:03:59.524,2458303.9610995,5
327.578604,-23.807012,5.361,4.475,0.1753,5.8316,14.78,1,327.69955,-23.671862,20180713398056,289,9,4,35,2,zr,558398653515,558,55839865,1,o,2018-07-13 09:34:04.106,2458312.8986574,6
327.570015,-23.809047,5.361,4.4744,0.1823,5.8183,14.78,1,327.7022,-23.673386,20180713479850,289,9,4,35,1,zg,558480033515,558,55848003,1,o,2018-07-13 11:31:15.068,2458312.9800347,7
327.260598,-23.882749,5.3613,4.4527,0.4601,5.343,14.74,1,327.69986,-23.659578,20180716396516,289,9,4,35,1,zg,561396683515,561,56139668,1,o,2018-07-16 09:31:14.882,2458315.8966898,8
327.251156,-23.884859,5.3613,4.4521,0.4704,5.329,14.74,1,327.70282,-23.661005,20180716479815,289,9,4,35,2,zr,561480333515,561,56148033,1,o,2018-07-16 11:31:41.258,2458315.9803356,9
326.925945,-23.957939,5.3616,4.4329,0.2975,4.8498,14.7,1,326.7499,-23.708458,20180719357234,289,9,3,34,2,zr,564357263415,564,56435726,1,o,2018-07-19 08:34:28.340,2458318.8572685,10
