ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,id
217.576545,14.896093,49.9565,50.2079,0.1481,1.1244,17.37,1,217.58063,15.04454,20240809189537,529,13,2,49,1,zg,2777189534915,2777,277718953,1,o,2024-08-09 04:32:56.485,2460531.689537,218.03425167,15.4721279,217.13808644,15.48210443,217.1287185,14.61596682,218.02166111,14.60620705,2180
217.61135,14.82892,49.9549,50.2902,0.2198,1.0932,17.37,1,217.58394,15.047504,20240815173426,529,13,2,49,1,zg,2783173434915,2783,278317343,1,o,2024-08-15 04:09:45.402,2460537.6734375,218.0375945,15.47508724,217.14140262,15.48513638,217.1320324,14.61891016,218.02496508,14.6091753,2181
217.625395,14.806191,49.9544,50.3168,0.2442,1.0811,17.37,1,217.58615,15.047841,20240817163160,529,13,2,49,1,zg,2785163154915,2785,278516315,1,o,2024-08-17 03:54:58.035,2460539.6631597,218.03975008,15.47537483,217.14364873,15.48547495,217.13421116,14.61924278,218.02715224,14.6094949,2182
217.666138,14.748246,49.9532,50.382,0.3038,1.0469,17.37,1,217.5864,15.042612,20240822178032,529,13,2,49,1,zg,2790178034915,2790,279017803,1,o,2024-08-22 04:16:22.628,2460544.6780324,218.0399883,15.47032688,217.14372059,15.48013486,217.13444962,14.61386625,218.02755439,14.60432271,2183
217.67501,14.736803,49.9529,50.3944,0.3223,1.0396,17.37,1,217.58261,15.046931,20240823160752,529,13,2,49,1,zg,2791160764915,2791,279116076,1,o,2024-08-23 03:51:30.361,2460545.6607639,218.03620727,15.47459271,217.13998012,15.48440763,217.13073253,14.61823603,218.02373739,14.60865255,2184
217.675097,14.73669,49.9529,50.3946,0.3226,1.0395,17.37,1,217.57774,15.045754,20240823170405,529,13,2,49,1,zg,2791170414915,2791,279117041,1,o,2024-08-23 04:05:24.365,2460545.6704167,218.03138726,15.47346396,217.13509518,15.48321032,217.12585813,14.61703181,218.01889589,14.6075145,2185
217.704097,14.701447,49.9522,50.432,0.367,1.016,17.37,1,217.57536,15.047131,20240826185243,529,13,2,49,1,zg,2794185244915,2794,279418524,1,o,2024-08-26 04:26:45.666,2460548.6852431,218.02915934,15.47501085,217.13260285,15.48460523,217.1233607,14.6183113,218.01664949,14.60890938,2186
217.724776,14.678017,49.9517,50.4561,0.3931,0.9996,17.37,1,217.57555,15.044154,20240828182512,529,13,2,49,1,zg,2796182524915,2796,279618252,1,o,2024-08-28 04:22:50.299,2460550.6825231,218.02942751,15.47199973,217.13280874,15.48162451,217.12336512,14.61522391,218.01677584,14.60600841,2187
217.914581,14.503214,49.9479,50.6164,0.472,0.8579,17.36,1,217.55989,14.179991,20240912128102,529,13,3,50,2,zr,2811128125015,2811,281112812,1,o,2024-09-12 03:04:30.381,2460565.628125,218.01177505,14.60790537,217.11875218,14.61758545,217.10975312,13.75139817,217.99953043,13.74170542,2188
217.91463,14.503174,49.9479,50.6165,0.4738,0.8579,17.36,1,217.55746,14.179742,20240912131516,529,13,3,50,2,zr,2811131525015,2811,281113152,1,o,2024-09-12 03:09:24.762,2460565.6315278,218.00945348,14.6076911,217.11629163,14.61730783,217.10731092,13.75110381,217.99714266,13.74150098,2189
217.91468,14.503135,49.9479,50.6165,0.4755,0.8579,17.36,1,217.55545,14.179471,20240912134907,529,13,3,50,2,zr,2811134935015,2811,281113493,1,o,2024-09-12 03:14:18.277,2460565.6349306,218.0074156,14.60739265,217.11426888,14.61701736,217.10528225,13.75084824,217.99509554,13.74120677,2190
217.929314,14.491724,49.9476,50.6257,0.4721,0.8477,17.36,1,217.5613,14.182532,20240913125995,529,13,3,50,2,zr,2812126045015,2812,281212604,1,o,2024-09-13 03:01:30.567,2460566.6260417,218.01322982,14.61042537,217.12016344,14.62008257,217.11121409,13.75400622,218.0009677,13.7442881,2191
217.929365,14.491684,49.9476,50.6258,0.4738,0.8476,17.36,1,217.55923,14.182223,20240913129456,529,13,3,50,2,zr,2812129505015,2812,281212950,1,o,2024-09-13 03:06:29.591,2460566.6295023,218.01116565,14.61011066,217.11808505,14.61976557,217.10909828,13.75363411,217.9989306,13.74394058,2192
217.944287,14.480273,49.9474,50.6348,0.4765,0.8373,17.36,1,217.56087,14.182182,20240914124039,529,13,3,50,2,zr,2813124085015,2813,281312408,1,o,2024-09-14 02:58:41.844,2460567.6240856,218.01282361,14.61006947,217.11971302,14.61976248,217.11071065,13.75357443,218.00055468,13.74391547,2193
217.944339,14.480233,49.9474,50.6349,0.4784,0.8373,17.36,1,217.5585,14.181864,20240914127500,529,13,3,50,2,zr,2813127545015,2813,281312754,1,o,2024-09-14 03:03:40.903,2460567.6275463,218.01051905,14.60976102,217.1173324,14.61941734,217.10840161,13.75327425,217.9981892,13.74359268,2194
