ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
220.136745,14.556096,49.9026,49.2675,0.5494,0.8813,17.27,1,219.69574,14.211113,20250309445602,530,16,4,63,1,zg,2989445606315,2989,298944560,1,o,2025-03-09 10:41:40.563,2460743.9456019,0
220.136469,14.556407,49.9026,49.2672,0.5472,0.881,17.27,1,219.69835,14.211374,20250309475370,530,16,4,63,2,zr,2989475386315,2989,298947538,1,o,2025-03-09 11:24:33.160,2460743.9753819,1
220.128629,14.565402,49.9024,49.2578,0.5616,0.8725,17.27,1,219.69305,14.19527,20250310340498,530,16,4,63,2,zr,2990340506315,2990,299034050,1,o,2025-03-10 08:10:20.169,2460744.8405093,2
220.127333,14.566825,49.9024,49.2563,0.5525,0.8712,17.27,1,219.70065,14.200645,20250310477211,530,16,4,63,2,zr,2990477226315,2990,299047722,1,o,2025-03-10 11:27:12.149,2460744.9772222,3
220.06844,14.627102,49.9009,49.197,0.5595,0.8123,17.26,1,219.6892,14.2055435,20250316341481,530,16,4,63,1,zg,2996341496315,2996,299634149,1,o,2025-03-16 08:11:45.163,2460750.8414931,4
220.067506,14.627961,49.9008,49.1962,0.5478,0.8114,17.26,1,219.69394,14.217072,20250316425845,530,16,4,63,2,zr,2996425866315,2996,299642586,1,o,2025-03-16 10:13:15.489,2460750.9258681,5
220.067486,14.62798,49.9008,49.1962,0.5482,0.8114,17.26,1,219.69513,14.215517,20250316427743,530,16,4,63,2,zr,2996427756315,2996,299642775,1,o,2025-03-16 10:15:58.221,2460750.9277546,6
220.03533,14.656931,49.9001,49.1698,0.5289,0.7821,17.26,1,219.68248,15.061576,20250319301389,530,16,1,60,1,zg,2999301626015,2999,299930162,1,o,2025-03-19 07:14:20.627,2460753.8016204,7
220.033846,14.658192,49.9001,49.1687,0.5298,0.7808,17.26,1,219.69293,15.073471,20250319427419,530,16,1,60,2,zr,2999427436015,2999,299942743,1,o,2025-03-19 10:15:30.135,2460753.9274306,8
220.011184,14.677253,49.8996,49.1521,0.493,0.7612,17.25,1,219.69052,15.061093,20250321347338,530,16,1,60,1,zg,3001347336015,3001,300134733,1,o,2025-03-21 08:20:10.896,2460755.847338,9
