ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
152.611791,16.22558,5.1509,4.1823,0.3081,2.6018,14.33,1,152.64731,16.532337,20250302327338,571,2,2,5,2,zr,2982327780515,2982,298232778,1,o,2025-03-02 07:52:01.099,2460736.8277894,0
152.61029,16.225718,5.1509,4.1824,0.3086,2.6038,14.33,1,152.65219,16.5323,20250302338090,571,2,2,5,1,zg,2982338110515,2982,298233811,1,o,2025-03-02 08:06:53.235,2460736.8381134,1
151.654495,16.300621,5.1506,4.2119,0.2379,3.9827,14.45,1,151.61978,16.536818,20250309259606,571,3,1,8,1,zg,2989259600815,2989,298925960,1,o,2025-03-09 06:13:50.545,2460743.7596065,2
151.645572,16.301133,5.1506,4.2123,0.2251,3.9958,14.45,1,151.61533,16.524906,20250309325081,571,3,1,8,2,zr,2989325080815,2989,298932508,1,o,2025-03-09 07:48:07.786,2460743.825081,3
151.639739,16.301454,5.1506,4.2125,0.2287,4.0043,14.45,1,151.61586,16.52962,20250309367975,571,3,1,8,2,zr,2989367970815,2989,298936797,1,o,2025-03-09 08:49:53.783,2460743.8679745,4
151.5243,16.307966,5.1506,4.2173,0.2563,4.1763,14.46,1,151.61436,16.54997,20250310243449,571,3,1,8,1,zg,2990243460815,2990,299024346,1,o,2025-03-10 05:50:35.249,2460744.7434606,5
150.761799,16.333647,5.1504,4.2561,0.1965,5.337,14.56,1,150.71773,16.526165,20250316298125,571,3,2,9,1,zg,2996298130915,2996,299629813,1,o,2025-03-16 07:09:19.422,2460750.7981366,6
150.656909,16.334483,5.1503,4.2627,0.1981,5.5009,14.57,1,150.71313,16.525703,20250317183750,571,3,2,9,1,zg,2997183740915,2997,299718374,1,o,2025-03-17 04:24:36.675,2460751.68375,7
150.63664,16.334549,5.1503,4.2639,0.2097,5.5322,14.57,1,150.71523,16.530825,20250317351725,571,3,2,9,1,zg,2997351730915,2997,299735173,1,o,2025-03-17 08:26:30.358,2460751.8517361,8
150.428005,16.3336,5.1503,4.278,0.334,5.862,14.6,1,150.70923,16.531122,20250319164201,571,3,2,9,2,zr,2999164220915,2999,299916422,1,o,2025-03-19 03:56:29.878,2460753.6642245,9
150.420127,16.33352,5.1503,4.2785,0.349,5.8744,14.6,1,150.71779,16.534668,20250319232037,571,3,2,9,1,zg,2999232040915,2999,299923204,1,o,2025-03-19 05:34:09.297,2460753.7320486,10
149.986089,16.319522,5.1501,4.3127,0.3477,6.5775,14.66,1,149.68391,16.512062,20250323241377,571,4,1,12,2,zr,3003241371215,3003,300324137,1,o,2025-03-23 05:47:35.630,2460757.7413773,11
149.97499,16.318909,5.1501,4.3137,0.3405,6.5956,14.66,1,149.68086,16.51002,20250323346169,571,4,1,12,1,zg,3003346181215,3003,300334618,1,o,2025-03-23 08:18:30.281,2460757.8461806,12
149.879193,16.313168,5.1501,4.3223,0.424,6.7549,14.68,1,149.81606,15.893939,20250324289954,1566,11,4,43,1,zg,3004290014315,3004,300429001,1,o,2025-03-24 06:57:37.916,2460758.7900116,13
149.879144,16.313165,5.1501,4.3223,0.4241,6.755,14.68,1,149.81653,15.893757,20250324290486,1566,11,4,43,1,zg,3004290484315,3004,300429048,1,o,2025-03-24 06:58:18.740,2460758.7904861,14
149.788966,16.306734,5.1501,4.3309,0.2267,6.9067,14.69,1,149.68141,16.509058,20250325202419,571,4,1,12,2,zr,3005202411215,3005,300520241,1,o,2025-03-25 04:51:29.583,2460759.702419,15
149.783918,16.306358,5.1501,4.3314,0.2226,6.915,14.69,1,149.68643,16.508953,20250325252419,571,4,1,12,1,zg,3005252411215,3005,300525241,1,o,2025-03-25 06:03:29.813,2460759.752419,16
149.7768,16.305799,5.1501,4.332,0.2217,6.9269,14.69,1,149.68132,16.508268,20250325323183,571,4,1,12,2,zr,3005323181215,3005,300532318,1,o,2025-03-25 07:45:23.814,2460759.8231829,17
149.595065,16.289258,5.15,4.3507,0.451,7.2379,14.72,1,149.8159,15.891596,20250327239329,1566,11,4,43,1,zg,3007239344315,3007,300723934,1,o,2025-03-27 05:44:39.256,2460761.7393403,18
149.595021,16.289253,5.15,4.3507,0.4512,7.238,14.72,1,149.81613,15.891517,20250327239803,1566,11,4,43,1,zg,3007239804315,3007,300723980,1,o,2025-03-27 05:45:19.855,2460761.7398032,19
149.592034,16.288946,5.15,4.351,0.238,7.2431,14.72,1,149.68794,16.509058,20250327271146,571,4,1,12,2,zr,3007271151215,3007,300727115,1,o,2025-03-27 06:30:28.390,2460761.7711574,20
149.59103,16.288841,5.15,4.3511,0.238,7.2448,14.72,1,149.68422,16.510015,20250327281701,571,4,1,12,1,zg,3007281711215,3007,300728171,1,o,2025-03-27 06:45:40.255,2460761.781713,21
148.883082,16.159605,5.1497,4.4492,0.3589,8.5599,14.84,1,148.78047,16.50535,20250405259884,571,4,2,13,2,zr,3016259901315,3016,301625990,1,o,2025-04-05 06:14:16.072,2460770.7599074,22
148.878201,16.158186,5.1497,4.4501,0.3583,8.5696,14.84,1,148.77133,16.50209,20250405332315,571,4,2,13,1,zg,3016332311315,3016,301633231,1,o,2025-04-05 07:58:32.507,2460770.8323148,23
148.820934,16.140402,5.1497,4.4609,0.367,8.6884,14.85,1,148.78316,16.50617,20250406239109,571,4,2,13,2,zr,3017239101315,3017,301723910,1,o,2025-04-06 05:44:19.710,2460771.7391088,24
