ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
140.065636,17.856136,6.5422,6.6736,0.4872,8.5451,18.04,1,140.462,17.549,20171028539317,569,5,3,18,2,zr,300539341815,300,30053934,1,o,2017-10-28 12:56:39,2458055.0393403,0
141.239752,17.438811,6.5292,6.2678,0.1641,8.5381,17.89,1,141.372,17.544,20171121530243,569,5,4,19,2,zr,324530241915,324,32453024,1,o,2017-11-21 12:43:33,2458079.0302431,1
141.239761,17.438807,6.5292,6.2677,0.426,8.5381,17.89,1,141.675,17.533,20171121530787,570,8,3,30,2,zr,324530783015,324,32453078,1,o,2017-11-21 12:44:20,2458079.030787,2
141.280561,17.392582,6.5224,6.073,0.3972,7.9915,17.8,1,141.673,17.526,20171203464306,570,8,3,30,2,zr,336464303015,336,33646430,1,o,2017-12-03 11:08:36,2458090.9643056,3
141.280046,17.392615,6.5223,6.0725,0.3987,7.9893,17.79,1,141.674,17.527,20171203499201,570,8,3,30,2,zr,336499203015,336,33649920,1,o,2017-12-03 11:58:51,2458090.9992014,4
141.279973,17.392619,6.5223,6.0724,0.3992,7.989,17.79,1,141.674,17.527,20171203504167,570,8,3,30,2,zr,336504163015,336,33650416,1,o,2017-12-03 12:06:00,2458091.0041667,5
141.267078,17.393725,6.5218,6.0577,0.1697,7.93,17.79,1,141.368,17.534,20171204441678,569,5,4,19,2,zr,337441671915,337,33744167,1,o,2017-12-04 10:36:01,2458091.9416782,6
141.266665,17.393768,6.5218,6.0573,0.1712,7.9284,17.79,1,141.368,17.535,20171204465567,569,5,4,19,2,zr,337465561915,337,33746556,1,o,2017-12-04 11:10:25,2458091.9655671,7
141.266647,17.39377,6.5218,6.0573,0.4099,7.9283,17.79,1,141.674,17.526,20171204466655,570,8,3,30,2,zr,337466653015,337,33746665,1,o,2017-12-04 11:11:59,2458091.9666551,8
141.266362,17.393798,6.5218,6.057,0.1723,7.9272,17.79,1,141.369,17.536,20171204482986,569,5,4,19,2,zr,337482991915,337,33748299,1,o,2017-12-04 11:35:31,2458091.9829977,9
141.266305,17.393803,6.5218,6.057,0.4108,7.927,17.79,1,141.674,17.526,20171204486250,570,8,3,30,2,zr,337486263015,337,33748626,1,o,2017-12-04 11:40:13,2458091.9862616,10
141.266017,17.393831,6.5218,6.0567,0.4118,7.9259,17.79,1,141.675,17.527,20171204502697,570,8,3,30,2,zr,337502703015,337,33750270,1,o,2017-12-04 12:03:54,2458092.0027083,11
141.20778,17.402145,6.52,6.0103,0.556,7.7198,17.76,1,140.779,17.779,20171207508796,1565,16,4,63,2,zr,340508806315,340,34050880,1,o,2017-12-07 12:12:41,2458095.0088079,12
141.162357,17.410239,6.5189,5.9834,0.5197,7.5871,17.74,1,140.764,17.765,20171209282650,1565,16,4,63,2,zr,342282656315,342,34228265,1,o,2017-12-09 06:47:01,2458096.7826505,13
141.160296,17.410655,6.5189,5.9823,0.5174,7.5815,17.74,1,140.771,17.772,20171209353160,1565,16,4,63,2,zr,342353176315,342,34235317,1,o,2017-12-09 08:28:34,2458096.8531713,14
141.156272,17.411406,6.5188,5.9803,0.516,7.571,17.74,1,140.778,17.781,20171209485185,1565,16,4,63,2,zr,342485186315,342,34248518,1,o,2017-12-09 11:38:40,2458096.9851852,15
141.155561,17.411531,6.5188,5.98,0.5147,7.5692,17.74,1,140.779,17.781,20171209508056,1565,16,4,63,2,zr,342508066315,342,34250806,1,o,2017-12-09 12:11:37,2458097.0080671,16
141.154245,17.411758,6.5188,5.9794,0.2473,7.5658,17.74,1,141.373,17.544,20171209550405,569,5,4,19,2,zr,342550411915,342,34255041,1,o,2017-12-09 13:12:36,2458097.0504167,17
141.063628,17.429956,6.5171,5.9382,0.4399,7.3382,17.71,1,140.770,17.770,20171212335799,1565,16,4,63,2,zr,345335816315,345,34533581,1,o,2017-12-12 08:03:34,2458099.8358102,18
141.058307,17.431058,6.517,5.9362,0.4393,7.3261,17.71,1,140.778,17.780,20171212474005,1565,16,4,63,2,zr,345474006315,345,34547400,1,o,2017-12-12 11:22:34,2458099.9740046,19
141.056188,17.431474,6.517,5.9354,0.4359,7.3213,17.71,1,140.781,17.780,20171212528160,1565,16,4,63,2,zr,345528176315,345,34552817,1,o,2017-12-12 12:40:34,2458100.0281713,20
141.055361,17.431633,6.517,5.9351,0.4345,7.3195,17.71,1,140.781,17.779,20171212549271,1565,16,4,63,2,zr,345549286315,345,34554928,1,o,2017-12-12 13:10:58,2458100.0492824,21
141.028103,17.437426,6.5165,5.9245,0.4136,7.2563,17.7,1,140.764,17.766,20171213279525,1565,16,4,63,2,zr,346279526315,346,34627952,1,o,2017-12-13 06:42:31,2458100.7795255,22
141.018433,17.439478,6.5164,5.9211,0.4101,7.2351,17.7,1,140.781,17.782,20171213515255,1565,16,4,63,2,zr,346515266315,346,34651526,1,o,2017-12-13 12:21:59,2458101.0152662,23
141.01749,17.439666,6.5164,5.9208,0.4091,7.233,17.7,1,140.781,17.782,20171213537824,1565,16,4,63,2,zr,346537826315,346,34653782,1,o,2017-12-13 12:54:28,2458101.0378241,24
141.016612,17.43984,6.5164,5.9205,0.4078,7.2311,17.7,1,140.781,17.781,20171213558820,1565,16,4,63,2,zr,346558836315,346,34655883,1,o,2017-12-13 13:24:43,2458101.058831,25
140.987816,17.446094,6.5159,5.9102,0.3842,7.1669,17.69,1,140.764,17.766,20171214279213,1565,16,4,63,2,zr,347279226315,347,34727922,1,o,2017-12-14 06:42:05,2458101.7792245,26
140.982641,17.447244,6.5159,5.9085,0.3788,7.1558,17.69,1,141.367,17.541,20171214399190,569,5,4,19,2,zr,347399181915,347,34739918,1,o,2017-12-14 09:34:50,2458101.8991898,27
140.981629,17.447461,6.5159,5.9081,0.3804,7.1537,17.69,1,141.368,17.543,20171214422153,569,5,4,19,2,zr,347422161915,347,34742216,1,o,2017-12-14 10:07:55,2458101.9221644,28
140.979885,17.447828,6.5158,5.9076,0.3833,7.15,17.69,1,141.369,17.543,20171214461562,569,5,4,19,2,zr,347461571915,347,34746157,1,o,2017-12-14 11:04:40,2458101.9615741,29
140.937922,17.457046,6.5153,5.8939,0.3552,7.0605,17.68,1,140.776,17.777,20171215429734,1565,16,4,63,2,zr,348429746315,348,34842974,1,o,2017-12-15 10:18:50,2458102.9297454,30
140.935894,17.457478,6.5152,5.8933,0.3542,7.0564,17.68,1,140.779,17.779,20171215472905,1565,16,4,63,2,zr,348472906315,348,34847290,1,o,2017-12-15 11:20:59,2458102.9729051,31
140.934107,17.457853,6.5152,5.8927,0.3526,7.0527,17.68,1,140.781,17.779,20171215510787,1565,16,4,63,2,zr,348510796315,348,34851079,1,o,2017-12-15 12:15:33,2458103.0107986,32
140.933128,17.458056,6.5152,5.8924,0.3515,7.0508,17.68,1,140.782,17.779,20171215531574,1565,16,4,63,2,zr,348531576315,348,34853157,1,o,2017-12-15 12:45:28,2458103.0315741,33
140.931164,17.45846,6.5152,5.8919,0.4302,7.0467,17.68,1,141.374,17.540,20171215573264,569,5,4,19,2,zr,348573271915,348,34857327,1,o,2017-12-15 13:45:31,2458103.0732755,34
140.890685,17.467547,6.5146,5.8796,0.4185,6.963,17.67,1,140.462,17.558,20171216454155,569,5,3,18,2,zr,349454151815,349,34945415,1,o,2017-12-16 10:53:59,2458103.9541551,35
140.890307,17.467629,6.5146,5.8795,0.4179,6.9623,17.67,1,140.462,17.559,20171216461759,569,5,3,18,2,zr,349461751815,349,34946175,1,o,2017-12-16 11:04:56,2458103.9617593,36
140.843399,17.478203,6.514,5.8662,0.3068,6.868,17.66,1,140.777,17.779,20171217426528,1565,16,4,63,2,zr,350426526315,350,35042652,1,o,2017-12-17 10:14:12,2458104.9265278,37
140.839554,17.47904,6.514,5.8652,0.3056,6.8606,17.65,1,140.781,17.780,20171217500000,1565,16,4,63,2,zr,350500006315,350,35050000,1,o,2017-12-17 12:00:00,2458105.0,38
140.836968,17.479592,6.514,5.8645,0.303,6.8556,17.65,1,140.782,17.778,20171217549340,1565,16,4,63,2,zr,350549356315,350,35054935,1,o,2017-12-17 13:11:04,2458105.0493519,39
140.836182,17.479758,6.514,5.8643,0.3018,6.8541,17.65,1,140.782,17.777,20171217564363,1565,16,4,63,2,zr,350564376315,350,35056437,1,o,2017-12-17 13:32:42,2458105.064375,40
140.798817,17.488334,6.5135,5.8542,0.2823,6.7804,17.65,1,140.769,17.770,20171218302882,1565,16,4,63,2,zr,351302886315,351,35130288,1,o,2017-12-18 07:16:09,2458105.8028819,41
140.791722,17.489953,6.5134,5.8525,0.3216,6.7669,17.64,1,140.461,17.556,20171218433819,569,5,3,18,2,zr,351433831815,351,35143383,1,o,2017-12-18 10:24:43,2458105.933831,42
