ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
318.792821,-26.662515,5.2307,4.5665,0.4136,9.0095,16.97,1,318.334,-26.715,20190611438102,288,2,1,4,1,zg,891438500415,891,89143850,1,o,2019-06-11 10:31:27.484,2458645.9385069,0
318.107857,-26.855837,5.2204,4.4213,0.2323,7.4928,16.82,1,318.334,-26.741,20190623418403,288,2,1,4,2,zr,903418400415,903,90341840,1,o,2019-06-23 10:02:30.291,2458657.9184028,1
317.775898,-26.93235,5.217,4.3791,0.4092,6.9028,16.76,1,317.367,-26.748,20190627420833,288,2,2,5,2,zr,907420830515,907,90742083,1,o,2019-06-27 10:06:00.558,2458661.9208333,2
317.770399,-26.933512,5.2169,4.3785,0.4037,6.8936,16.76,1,317.368,-26.749,20190627480301,288,2,2,5,1,zg,907480310515,907,90748031,1,o,2019-06-27 11:31:39.200,2458661.9803125,3
317.186661,-27.052893,5.2118,4.3225,0.3871,5.9497,16.67,1,317.379,-26.706,20190703436319,288,2,2,5,1,zg,913436310515,913,91343631,1,o,2019-07-03 10:28:18.255,2458667.9363194,4
317.181778,-27.053783,5.2118,4.3221,0.3871,5.9423,16.67,1,317.370,-26.706,20190703480787,288,2,2,5,2,zr,913480780515,913,91348078,1,o,2019-07-03 11:32:21.061,2458667.980787,5
316.500256,-27.174047,5.2066,4.2748,0.4492,4.9375,16.59,1,316.257,-27.569,20190709442870,288,3,4,11,2,zr,919442961115,919,91944296,1,o,2019-07-09 10:37:52.211,2458673.942963,6
316.495619,-27.174767,5.2066,4.2745,0.4486,4.9311,16.59,1,316.257,-27.571,20190709479931,288,3,4,11,1,zg,919480101115,919,91948010,1,o,2019-07-09 11:31:21.094,2458673.9801042,7
316.120243,-27.23343,5.204,4.2542,0.3608,4.4127,16.54,1,316.253,-27.575,20190712481204,288,3,4,11,2,zr,922481211115,922,92248121,1,o,2019-07-12 11:32:57.100,2458676.9812153,8
315.596915,-27.307108,5.2006,4.2312,0.3752,3.7302,16.48,1,315.283,-27.559,20190716439190,288,3,3,10,1,zg,926439351015,926,92643935,1,o,2019-07-16 10:32:40.471,2458680.9393519,9
315.039679,-27.375521,5.1972,4.2123,0.2842,3.0647,16.42,1,315.282,-27.562,20190720439074,288,3,3,10,2,zr,930439241015,930,93043924,1,o,2019-07-20 10:32:31.501,2458684.9392477,10
314.170904,-27.462103,5.1921,4.1927,0.0796,2.2285,16.34,1,314.162,-27.542,20190726383877,288,4,4,15,2,zr,936383871515,936,93638387,1,o,2019-07-26 09:12:47.960,2458690.8838773,11
314.161972,-27.462819,5.192,4.1925,0.0812,2.2218,16.34,1,314.161,-27.545,20190726442407,288,4,4,15,1,zg,936442401515,936,93644240,1,o,2019-07-26 10:37:04.952,2458690.9424074,12
314.022332,-27.474442,5.1912,4.1904,0.1429,2.1244,16.33,1,314.161,-27.548,20190727375775,288,4,4,15,2,zr,937375921515,937,93737592,1,o,2019-07-27 09:01:20.746,2458691.8759259,13
314.012431,-27.47519,5.1911,4.1903,0.156,2.118,16.33,1,314.166,-27.552,20190727440463,288,4,4,15,1,zg,937440461515,937,93744046,1,o,2019-07-27 10:34:16.857,2458691.940463,14
313.875093,-27.485956,5.1904,4.1884,0.2601,2.0369,16.32,1,314.162,-27.542,20190728354363,288,4,4,15,2,zr,938354371515,938,93835437,1,o,2019-07-28 08:30:18.564,2458692.854375,15
313.874876,-27.485972,5.1904,4.1884,0.2681,2.0368,16.32,1,314.171,-27.542,20190728355613,288,4,4,15,1,zg,938355771515,938,93835577,1,o,2019-07-28 08:32:19.453,2458692.8557755,16
313.727916,-27.496739,5.1895,4.1868,0.3889,1.967,16.31,1,314.163,-27.544,20190729328229,288,4,4,15,1,zg,939328221515,939,93932822,1,o,2019-07-29 07:52:39.264,2458693.8282292,17
313.726114,-27.496864,5.1895,4.1868,0.3917,1.9663,16.31,1,314.165,-27.541,20190729339850,288,4,4,15,2,zr,939339861515,939,93933986,1,o,2019-07-29 08:09:24.312,2458693.8398611,18
313.571021,-27.507415,5.1886,4.1853,0.3367,1.9137,16.31,1,313.192,-27.521,20190730361076,288,4,3,14,2,zr,940361081415,940,94036108,1,o,2019-07-30 08:39:58.241,2458694.861088,19
313.42369,-27.516693,5.1878,4.1842,0.3308,1.8852,16.3,1,313.051,-27.532,20190731329282,287,1,4,3,2,zr,941329440315,941,94132944,1,o,2019-07-31 07:54:24.813,2458695.8294444,20
313.422891,-27.516741,5.1878,4.1842,0.2041,1.8851,16.3,1,313.193,-27.527,20190731334560,288,4,3,14,2,zr,941334571415,941,94133457,1,o,2019-07-31 08:01:47.366,2458695.8345718,21
313.422609,-27.516758,5.1878,4.1842,0.2042,1.885,16.3,1,313.193,-27.527,20190731336366,288,4,3,14,2,zr,941336371415,941,94133637,1,o,2019-07-31 08:04:23.040,2458695.8363773,22
313.414958,-27.517198,5.1878,4.1842,0.3337,1.8841,16.3,1,313.039,-27.535,20190731385451,287,1,4,3,1,zg,941385460315,941,94138546,1,o,2019-07-31 09:15:04.170,2458695.885463,23
313.414677,-27.517214,5.1878,4.1842,0.2024,1.8841,16.3,1,313.187,-27.528,20190731387268,288,4,3,14,1,zg,941387261415,941,94138726,1,o,2019-07-31 09:17:40.268,2458695.8872685,24
313.414535,-27.517222,5.1878,4.1842,0.2024,1.8841,16.3,1,313.187,-27.528,20190731388171,288,4,3,14,1,zg,941388181415,941,94138818,1,o,2019-07-31 09:18:59.248,2458695.8881829,25
313.26521,-27.525816,5.1869,4.1834,0.0708,1.8786,16.3,1,313.185,-27.527,20190801367060,288,4,3,14,2,zr,942367061415,942,94236706,1,o,2019-08-01 08:48:34.756,2458696.8670602,26
