ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
143.017539,2.499571,5.0159,5.2516,0.3881,10.7876,16.52,1,142.989,2.113,20171028545035,467,3,2,9,2,zr,300545040915,300,30054504,1,o,2017-10-28 13:04:52,2458055.0450463,0
144.276987,1.407527,5.0104,5.0669,0.4543,11.2604,16.46,1,143.852,1.247,20171109483218,467,3,4,11,1,zg,312483211115,312,31248321,1,o,2017-11-09 11:35:50,2458066.9832176,1
144.280444,1.404034,5.0103,5.0662,0.4545,11.2613,16.46,1,143.853,1.250,20171109522350,467,3,4,11,1,zg,312522361115,312,31252236,1,o,2017-11-09 12:32:12,2458067.0223611,2
145.165256,0.372358,5.0049,4.8763,0.3627,11.3759,16.38,1,144.955,0.668,20171121489606,416,13,2,49,2,zr,324489614915,324,32448961,1,o,2017-11-21 11:45:03,2458078.9896181,3
145.583313,-0.422963,5.0003,4.7176,0.3329,11.1581,16.3,1,145.826,-0.195,20171201565046,416,13,4,51,2,zr,334565055115,334,33456505,1,o,2017-12-01 13:33:41,2458089.0650579,4
145.627183,-0.563442,4.9995,4.6882,0.4077,11.0834,16.28,1,145.819,-0.204,20171203462674,416,13,4,51,2,zr,336462685115,336,33646268,1,o,2017-12-03 11:06:16,2458090.9626852,5
145.645596,-0.636252,4.999,4.6728,0.4655,11.0394,16.27,1,145.820,-0.205,20171204463935,416,13,4,51,2,zr,337463945115,337,33746394,1,o,2017-12-04 11:08:05,2458091.9639468,6
145.651766,-1.309566,4.9946,4.5231,0.1834,10.4285,16.17,1,145.823,-1.244,20171214480174,416,9,1,32,2,zr,347480183215,347,34748018,1,o,2017-12-14 11:31:28,2458101.9801852,7
145.65136,-1.310913,4.9945,4.5228,0.1857,10.4268,16.17,1,145.825,-1.244,20171214501979,416,9,1,32,2,zr,347501973215,347,34750197,1,o,2017-12-14 12:02:51,2458102.0019792,8
145.632905,-1.374842,4.9941,4.5077,0.2332,10.3447,16.16,1,145.826,-1.244,20171215547002,416,9,1,32,2,zr,348547003215,348,34854700,1,o,2017-12-15 13:07:41,2458103.0470023,9
145.564376,-1.543882,4.9928,4.4671,0.3945,10.1022,16.13,1,145.822,-1.245,20171218420081,416,9,1,32,2,zr,351420083215,351,35142008,1,o,2017-12-18 10:04:55,2458105.920081,10
145.563671,-1.545163,4.9928,4.4667,0.3962,10.1001,16.13,1,145.821,-1.244,20171218442512,416,9,1,32,2,zr,351442523215,351,35144252,1,o,2017-12-18 10:37:14,2458105.9425231,11
145.500293,-1.655794,4.9919,4.4393,0.5233,9.9175,16.1,1,145.824,-1.244,20171220424907,416,9,1,32,1,zg,353424913215,353,35342491,1,o,2017-12-20 10:11:53,2458107.924919,12
145.499714,-1.656625,4.9919,4.4391,0.5247,9.916,16.1,1,145.823,-1.243,20171220440150,416,9,1,32,1,zg,353440153215,353,35344015,1,o,2017-12-20 10:33:49,2458107.9401505,13
145.498982,-1.657672,4.9919,4.4389,0.5258,9.9141,16.1,1,145.824,-1.244,20171220459352,416,9,1,32,1,zg,353459353215,353,35345935,1,o,2017-12-20 11:01:28,2458107.9593519,14
145.463128,-1.71011,4.9915,4.4256,0.5461,9.82,16.09,1,145.826,-2.119,20171221432674,416,9,4,35,1,zg,354432673515,354,35443267,1,o,2017-12-21 10:23:03,2458108.9326736,15
145.174441,-2.005643,4.9888,4.3471,0.236,9.1764,16.02,1,144.964,-2.113,20171227436840,416,9,3,34,1,zg,360436853415,360,36043685,1,o,2017-12-27 10:29:04,2458114.9368519,16
145.174313,-2.005739,4.9888,4.3471,0.2349,9.1762,16.02,1,144.964,-2.112,20171227438970,416,9,3,34,1,zg,360438963415,360,36043896,1,o,2017-12-27 10:32:07,2458114.9389699,17
145.113923,-2.051022,4.9884,4.3344,0.1618,9.0564,16.01,1,144.965,-2.115,20171228459572,416,9,3,34,1,zg,361459583415,361,36145958,1,o,2017-12-28 11:01:48,2458115.9595833,18
144.989102,-2.133906,4.9875,4.3104,0.0348,8.8182,15.98,1,144.963,-2.111,20171230421852,416,9,3,34,1,zg,363421863415,363,36342186,1,o,2017-12-30 10:07:29,2458117.9218634,19
144.985139,-2.136226,4.9875,4.3097,0.0304,8.811,15.98,1,144.965,-2.113,20171230478738,416,9,3,34,1,zg,363478733415,363,36347873,1,o,2017-12-30 11:29:23,2458117.9787384,20
144.920945,-2.174017,4.9871,4.2985,0.0725,8.6928,15.97,1,144.963,-2.115,20171231422211,416,9,3,34,1,zg,364422223415,364,36442222,1,o,2017-12-31 10:08:00,2458118.9222222,21
144.919604,-2.174743,4.9871,4.2983,0.0742,8.6905,15.97,1,144.964,-2.115,20171231440671,416,9,3,34,1,zg,364440683415,364,36444068,1,o,2017-12-31 10:34:35,2458118.9406829,22
144.918022,-2.175599,4.9871,4.298,0.0772,8.6877,15.97,1,144.965,-2.115,20171231462442,416,9,3,34,1,zg,364462443415,364,36446244,1,o,2017-12-31 11:05:55,2458118.9624421,23
140.102414,-2.457973,4.9691,4.0174,0.3766,3.3566,15.49,1,140.259,-2.115,20180211269167,416,12,4,47,2,zr,406269214715,406,40626921,1,o,2018-02-11 06:27:40,2458160.769213,24
138.250541,-2.008344,4.9632,4.0356,0.3842,4.4236,15.57,1,137.879,-2.107,20180225285347,415,9,3,34,3,zi,420285433415,420,42028543,1,o,2018-02-25 06:51:02,2458174.7854398,25
138.13229,-1.970766,4.9628,4.0389,0.2918,4.5573,15.58,1,137.875,-2.109,20180226249583,415,9,3,34,3,zi,421249693415,421,42124969,1,o,2018-02-26 05:59:34,2458175.7496991,26
135.397674,-0.431475,4.9487,4.3184,0.4311,9.6278,16.01,1,135.030,-0.206,20180402214560,415,15,4,59,1,zg,456214605915,456,45621460,1,o,2018-04-02 05:09:02,2458210.7146065,27
135.397066,-0.430571,4.9487,4.3187,0.4302,9.6303,16.01,1,135.030,-0.207,20180402236528,415,15,4,59,1,zg,456236525915,456,45623652,1,o,2018-04-02 05:40:36,2458210.7365278,28
