ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
149.40199,8.245455,6.0197,6.14,0.4327,9.2733,17.58,1,149.013,8.443,20171109484294,520,3,3,10,1,zg,312484301015,312,31248430,1,o,2017-11-09 11:37:24,2458066.9843056,0
149.404838,8.243779,6.0197,6.1395,0.5595,9.2743,17.58,1,149.812,7.856,20171109520718,468,15,2,57,1,zg,312520725715,312,31252072,1,o,2017-11-09 12:29:51,2458067.0207292,1
149.405049,8.243655,6.0197,6.1394,0.5588,9.2744,17.58,1,149.812,7.857,20171109523438,468,15,2,57,1,zg,312523435715,312,31252343,1,o,2017-11-09 12:33:45,2458067.0234375,2
149.406622,8.242725,6.0197,6.1391,0.5564,9.2749,17.58,1,149.812,7.858,20171109543611,468,15,2,57,1,zg,312543625715,312,31254362,1,o,2017-11-09 13:02:49,2458067.0436227,3
149.559275,8.153237,6.0199,6.1078,0.3881,9.3258,17.57,1,149.813,7.858,20171111509491,468,15,2,57,1,zg,314509955715,314,31450995,1,o,2017-11-11 12:14:20,2458069.0099537,4
149.625465,8.113649,6.02,6.0935,0.313,9.346,17.57,1,149.801,7.854,20171112397720,468,15,2,57,1,zg,315397955715,315,31539795,1,o,2017-11-12 09:33:03,2458069.8979514,5
149.626317,8.113133,6.02,6.0934,0.3124,9.3462,17.57,1,149.803,7.855,20171112409479,468,15,2,57,1,zg,315409685715,315,31540968,1,o,2017-11-12 09:49:57,2458069.9096875,6
149.627385,8.112485,6.02,6.0931,0.3114,9.3465,17.57,1,149.805,7.856,20171112424016,468,15,2,57,1,zg,315424435715,315,31542443,1,o,2017-11-12 10:11:11,2458069.9244329,7
149.63286,8.109131,6.02,6.0919,0.3031,9.3481,17.57,1,149.812,7.864,20171112500139,468,15,2,57,1,zg,315500675715,315,31550067,1,o,2017-11-12 12:00:58,2458070.0006713,8
149.633685,8.108622,6.02,6.0917,0.3015,9.3483,17.57,1,149.813,7.865,20171112511771,468,15,2,57,1,zg,315512235715,315,31551223,1,o,2017-11-12 12:17:37,2458070.0122338,9
149.63469,8.108,6.02,6.0915,0.2999,9.3486,17.57,1,149.813,7.866,20171112525856,468,15,2,57,1,zg,315526355715,315,31552635,1,o,2017-11-12 12:37:57,2458070.0263542,10
149.9006,7.942081,6.0203,6.0291,0.1351,9.4131,17.55,1,149.805,7.845,20171116402465,468,15,2,57,2,zr,319402665715,319,31940266,1,o,2017-11-16 09:39:50,2458073.902662,11
149.906086,7.938471,6.0203,6.0277,0.1242,9.414,17.55,1,149.814,7.854,20171116489838,468,15,2,57,2,zr,319490395715,319,31949039,1,o,2017-11-16 11:46:10,2458073.9903935,12
150.191034,7.743909,6.0207,5.9478,0.3931,9.4415,17.52,1,149.809,7.849,20171121419896,468,15,2,57,2,zr,324419965715,324,32441996,1,o,2017-11-21 10:04:45,2458078.9199653,13
150.195226,7.740777,6.0207,5.9464,0.3955,9.4413,17.52,1,149.814,7.858,20171121503854,468,15,2,57,2,zr,324503855715,324,32450385,1,o,2017-11-21 12:05:33,2458079.0038542,14
150.579008,7.412271,6.0214,5.7873,0.4416,9.3051,17.46,1,150.681,6.982,20171201343391,468,15,4,59,2,zr,334343405915,334,33434340,1,o,2017-12-01 08:14:30,2458088.8434028,15
150.580663,7.410368,6.0214,5.7862,0.4348,9.3033,17.45,1,150.687,6.989,20171201409340,468,15,4,59,2,zr,334409355915,334,33440935,1,o,2017-12-01 09:49:28,2458088.9093519,16
150.581245,7.409682,6.0214,5.7859,0.4316,9.3026,17.45,1,150.689,6.992,20171201433125,468,15,4,59,2,zr,334433125915,334,33443312,1,o,2017-12-01 10:23:42,2458088.933125,17
150.582187,7.408554,6.0214,5.7852,0.4273,9.3015,17.45,1,150.691,6.995,20171201472164,468,15,4,59,2,zr,334472215915,334,33447221,1,o,2017-12-01 11:19:59,2458088.9722106,18
150.582709,7.40792,6.0214,5.7849,0.4256,9.3008,17.45,1,150.692,6.997,20171201494051,468,15,4,59,2,zr,334494155915,334,33449415,1,o,2017-12-01 11:51:35,2458088.9941551,19
150.628799,7.352188,6.0215,5.7532,0.3686,9.2409,17.44,1,150.689,6.989,20171203477905,468,15,4,59,2,zr,336477905915,336,33647790,1,o,2017-12-03 11:28:11,2458090.9779051,20
150.62891,7.352026,6.0215,5.7531,0.368,9.2407,17.44,1,150.689,6.989,20171203483877,468,15,4,59,2,zr,336483875915,336,33648387,1,o,2017-12-03 11:36:47,2458090.9838773,21
150.629313,7.351432,6.0215,5.7527,0.3663,9.2399,17.44,1,150.690,6.990,20171203505799,468,15,4,59,2,zr,336505795915,336,33650579,1,o,2017-12-03 12:08:21,2458091.0057986,22
150.648175,7.325264,6.0216,5.7372,0.339,9.2063,17.43,1,150.690,6.989,20171204485162,468,15,4,59,2,zr,337485175915,337,33748517,1,o,2017-12-04 11:38:39,2458091.9851736,23
150.648467,7.324777,6.0216,5.7369,0.3376,9.2056,17.43,1,150.691,6.990,20171204503785,468,15,4,59,2,zr,337503785915,337,33750378,1,o,2017-12-04 12:05:27,2458092.0037847,24
150.663099,7.302492,6.0216,5.7232,0.3207,9.174,17.42,1,150.685,6.983,20171205365023,468,15,4,59,2,zr,338365025915,338,33836502,1,o,2017-12-05 08:45:38,2458092.8650231,25
150.664123,7.300646,6.0216,5.7221,0.3107,9.1711,17.42,1,150.691,6.991,20171205438218,468,15,4,59,2,zr,338438225915,338,33843822,1,o,2017-12-05 10:31:03,2458092.9382292,26
150.665206,7.298568,6.0216,5.7208,0.3038,9.1678,17.42,1,150.694,6.996,20171205520266,468,15,4,59,2,zr,338520545915,338,33852054,1,o,2017-12-05 12:29:35,2458093.020544,27
150.665466,7.298057,6.0216,5.7204,0.3032,9.1669,17.42,1,150.695,6.996,20171205540544,468,15,4,59,2,zr,338540765915,338,33854076,1,o,2017-12-05 12:58:42,2458093.0407639,28
150.665715,7.297565,6.0216,5.7201,0.3027,9.1661,17.42,1,150.697,6.997,20171205560046,468,15,4,59,2,zr,338560215915,338,33856021,1,o,2017-12-05 13:26:43,2458093.0602199,29
150.68901,7.253019,6.0217,5.6914,0.2679,9.0912,17.41,1,150.686,6.985,20171207384363,468,15,4,59,2,zr,340384365915,340,34038436,1,o,2017-12-07 09:13:29,2458094.8843634,30
150.689988,7.250184,6.0218,5.6895,0.2536,9.0856,17.41,1,150.692,6.997,20171207505266,468,15,4,59,2,zr,340505745915,340,34050574,1,o,2017-12-07 12:08:16,2458095.0057407,31
150.690458,7.248706,6.0218,5.6885,0.2509,9.0827,17.41,1,150.695,6.998,20171207568738,468,15,4,59,2,zr,340568875915,340,34056887,1,o,2017-12-07 13:39:11,2458095.0688773,32
150.704078,7.205742,6.0219,5.6586,0.2082,8.9928,17.39,1,150.692,6.998,20171209481725,468,15,4,59,2,zr,342482045915,342,34248204,1,o,2017-12-09 11:34:09,2458096.9820486,33
150.704128,7.205239,6.0219,5.6583,0.2072,8.9915,17.39,1,150.693,6.998,20171209505220,468,15,4,59,2,zr,342505495915,342,34250549,1,o,2017-12-09 12:07:55,2458097.0054977,34
150.704173,7.204758,6.0219,5.6579,0.2058,8.9904,17.39,1,150.694,6.999,20171209527882,468,15,4,59,2,zr,342527885915,342,34252788,1,o,2017-12-09 12:40:09,2458097.0278819,35
150.705771,7.148294,6.022,5.6147,0.1669,8.8394,17.37,1,150.682,6.983,20171212333044,468,15,4,59,2,zr,345333055915,345,34533305,1,o,2017-12-12 07:59:36,2458099.8330556,36
150.705046,7.145746,6.022,5.6126,0.1496,8.8311,17.36,1,150.691,6.997,20171212470590,468,15,4,59,2,zr,345470855915,345,34547085,1,o,2017-12-12 11:18:02,2458099.9708565,37
150.704712,7.144738,6.022,5.6118,0.1475,8.8279,17.36,1,150.694,6.998,20171212525012,468,15,4,59,2,zr,345525215915,345,34552521,1,o,2017-12-12 12:36:19,2458100.0252199,38
150.704579,7.144345,6.022,5.6115,0.1469,8.8266,17.36,1,150.695,6.998,20171212546227,468,15,4,59,2,zr,345546385915,345,34554638,1,o,2017-12-12 13:06:48,2458100.0463889,39
