ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
163.940382,-10.955364,5.6012,5.6851,0.3768,9.9854,16.55,1,164.217,-11.217,20171201555660,368,8,3,30,2,zr,334555763015,334,33455576,1,o,2017-12-01 13:20:18,2458089.0557639,0
164.080689,-11.109582,5.6002,5.6546,0.1754,10.0315,16.54,1,164.212,-11.229,20171203481701,368,8,3,30,2,zr,336481703015,336,33648170,1,o,2017-12-03 11:33:39,2458090.9817014,1
164.080727,-11.109627,5.6002,5.6546,0.3873,10.0315,16.54,1,163.703,-11.223,20171203482245,367,5,4,19,2,zr,336482251915,336,33648225,1,o,2017-12-03 11:34:27,2458090.9822569,2
164.082004,-11.111113,5.6002,5.6543,0.3873,10.0319,16.54,1,163.703,-11.221,20171203500903,367,5,4,19,2,zr,336500901915,336,33650090,1,o,2017-12-03 12:01:18,2458091.0009028,3
164.086245,-11.116066,5.6002,5.6533,0.166,10.0331,16.54,1,164.215,-11.224,20171203563090,368,8,3,30,2,zr,336563173015,336,33656317,1,o,2017-12-03 13:30:58,2458091.0631713,4
164.460572,-11.576662,5.5971,5.5584,0.4326,10.1202,16.51,1,164.215,-11.218,20171209519549,368,8,3,30,2,zr,342519643015,342,34251964,1,o,2017-12-09 12:28:17,2458097.0196412,5
164.745471,-12.014215,5.5939,5.462,0.4245,10.1212,16.47,1,165.092,-12.270,20171215542292,368,4,1,12,2,zr,348542381215,348,34854238,1,o,2017-12-15 13:01:02,2458103.0423843,6
165.01989,-12.942348,5.586,5.2283,0.2059,9.7208,16.35,1,165.082,-13.139,20171230424514,368,4,4,15,1,zg,363424521515,363,36342452,1,o,2017-12-30 10:11:19,2458117.9245255,7
165.019713,-12.944239,5.586,5.2278,0.2033,9.7191,16.35,1,165.083,-13.138,20171230459491,368,4,4,15,1,zg,363459491515,363,36345949,1,o,2017-12-30 11:01:40,2458117.9594907,8
157.921871,-12.096592,5.5398,4.626,0.194,4.4976,15.77,1,158.022,-12.264,20180322250822,367,4,1,12,2,zr,445250831215,445,44525083,1,o,2018-03-22 06:01:12,2458199.7508333,9
157.919598,-12.095148,5.5398,4.6261,0.1986,4.5001,15.77,1,158.023,-12.266,20180322272361,367,4,1,12,2,zr,445272361215,445,44527236,1,o,2018-03-22 06:32:12,2458199.7723611,10
