ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
180.715064,1.001697,5.1092,5.3437,0.4656,10.5105,16.95,1,180.405,0.654,20171203523310,421,13,2,49,2,zr,336523324915,336,33652332,1,o,2017-12-03 12:33:35,2458091.0233218,0
180.715135,1.001673,5.1092,5.3437,0.3042,10.5106,16.95,1,180.899,1.244,20171203523854,472,1,3,2,2,zr,336523860215,336,33652386,1,o,2017-12-03 12:34:22,2458091.0238657,1
180.717982,1.000728,5.1092,5.3434,0.3051,10.5117,16.95,1,180.899,1.246,20171203545660,472,1,3,2,2,zr,336545650215,336,33654565,1,o,2017-12-03 13:05:45,2458091.0456597,2
180.720621,0.99985,5.1092,5.3431,0.3057,10.5128,16.95,1,180.900,1.248,20171203565880,472,1,3,2,2,zr,336565890215,336,33656589,1,o,2017-12-03 13:34:53,2458091.0658912,3
180.846674,0.9588,5.1093,5.3287,0.521,10.5633,16.94,1,181.270,0.655,20171204522847,421,13,1,48,2,zr,337522844815,337,33752284,1,o,2017-12-04 12:32:54,2458092.0228472,4
180.846744,0.958776,5.1093,5.3287,0.2897,10.5633,16.94,1,180.900,1.244,20171204523391,472,1,3,2,2,zr,337523390215,337,33752339,1,o,2017-12-04 12:33:41,2458092.0233912,5
180.85016,0.95765,5.1093,5.3283,0.2928,10.5646,16.94,1,180.900,1.246,20171204549954,472,1,3,2,2,zr,337549960215,337,33754996,1,o,2017-12-04 13:11:57,2458092.0499653,6
180.852439,0.956898,5.1093,5.328,0.2951,10.5655,16.94,1,180.901,1.248,20171204567720,472,1,3,2,2,zr,337567710215,337,33756771,1,o,2017-12-04 13:37:31,2458092.0677199,7
182.154322,0.554735,5.1106,5.1581,0.2462,10.9855,16.89,1,181.934,0.664,20171215550266,422,16,2,61,2,zr,348550266115,348,34855026,1,o,2017-12-15 13:12:23,2458103.0502662,8
182.555574,0.442496,5.1111,5.0953,0.3266,11.0604,16.87,1,182.795,0.665,20171219522824,422,16,1,60,1,zg,352522826015,352,35252282,1,o,2017-12-19 12:32:52,2458107.0228241,9
182.557417,0.441987,5.1111,5.095,0.3265,11.0606,16.87,1,182.795,0.666,20171219542500,422,16,1,60,1,zg,352542516015,352,35254251,1,o,2017-12-19 13:01:13,2458107.0425116,10
182.559377,0.441445,5.1111,5.0947,0.3264,11.0609,16.87,1,182.796,0.667,20171219563472,422,16,1,60,1,zg,352563476015,352,35256347,1,o,2017-12-19 13:31:24,2458107.0634722,11
182.648352,0.417734,5.1112,5.0798,0.2851,11.0722,16.86,1,182.796,0.662,20171220501181,422,16,1,60,1,zg,353501196015,353,35350119,1,o,2017-12-20 12:01:43,2458108.0011921,12
182.650321,0.417201,5.1112,5.0794,0.2867,11.0724,16.86,1,182.797,0.664,20171220522755,422,16,1,60,1,zg,353522766015,353,35352276,1,o,2017-12-20 12:32:47,2458108.0227662,13
