ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
275.81964,0.478169,5.2519,5.7363,0.2352,9.0396,16.74,1,275.970,0.659,20171106138646,435,15,2,57,1,zg,309138655715,309,30913865,1,o,2017-11-06 03:19:40,2458063.6386574,0
275.820893,0.477976,5.2519,5.7364,0.2333,9.039,16.74,1,275.969,0.658,20171106145729,435,15,2,57,1,zg,309145725715,309,30914572,1,o,2017-11-06 03:29:51,2458063.6457292,1
307.153046,8.587387,5.1956,5.4241,0.1773,10.5444,16.67,1,307.251,8.439,20180411488495,542,2,4,7,2,zr,465488650715,465,46548865,1,o,2018-04-11 11:43:40,2458219.9886574,2
307.155796,8.589978,5.1956,5.4237,0.1756,10.5455,16.67,1,307.252,8.442,20180411511667,542,2,4,7,2,zr,465511700715,465,46551170,1,o,2018-04-11 12:16:51,2458220.0117014,3
308.855597,10.501966,5.1892,5.193,0.3345,11.1271,16.6,1,309.153,10.340,20180428434907,542,5,4,19,1,zg,482434941915,482,48243494,1,o,2018-04-28 10:26:19.889,2458236.9349421,4
309.280687,11.175253,5.187,5.1097,0.1486,11.2042,16.56,1,309.166,11.273,20180504439074,542,5,1,16,1,zg,488439091615,488,48843909,1,o,2018-05-04 10:32:18.772,2458242.9390972,5
309.282009,11.177687,5.1869,5.1094,0.1496,11.2043,16.56,1,309.168,11.277,20180504460162,542,5,1,16,2,zr,488460871615,488,48846087,1,o,2018-05-04 11:03:40.063,2458242.9608796,6
309.402603,11.402121,5.1862,5.0814,0.2652,11.214,16.55,1,309.588,11.209,20180506481238,543,8,2,29,2,zr,490481242915,490,49048124,1,o,2018-05-06 11:33:00.552,2458244.98125,7
309.456948,11.510309,5.1858,5.0679,0.4164,11.2158,16.55,1,309.166,11.208,20180507459664,542,5,1,16,1,zg,491459691615,491,49145969,1,o,2018-05-07 11:01:58.146,2458245.9596991,8
309.765075,12.272332,5.1831,4.9716,0.1784,11.1703,16.5,1,309.583,12.279,20180514459769,543,12,3,46,1,zg,498459894615,498,49845989,1,o,2018-05-14 11:02:15.564,2458252.9598958,9
309.765862,12.275024,5.1831,4.9713,0.1784,11.1699,16.5,1,309.583,12.281,20180514484931,543,12,3,46,2,zr,498484984615,498,49848498,1,o,2018-05-14 11:38:23.812,2458252.9849884,10
309.852193,12.586802,5.182,4.9314,0.3989,11.1201,16.48,1,309.580,12.289,20180517422245,543,12,3,46,1,zg,501422254615,501,50142225,1,o,2018-05-17 10:08:03.191,2458255.9222569,11
309.853095,12.590997,5.182,4.9309,0.3985,11.1192,16.48,1,309.582,12.293,20180517461956,543,12,3,46,2,zr,501462024615,501,50146202,1,o,2018-05-17 11:05:19.143,2458255.9620255,12
309.913885,12.901171,5.1809,4.8909,0.4213,11.0498,16.46,1,309.570,13.157,20180520441262,543,12,2,45,2,zr,504441314515,504,50444131,1,o,2018-05-20 10:35:30.788,2458258.9413194,13
309.914383,12.905005,5.1808,4.8904,0.4193,11.0487,16.46,1,309.572,13.159,20180520478449,543,12,2,45,1,zg,504478464515,504,50447846,1,o,2018-05-20 11:28:59.508,2458258.9784606,14
309.948249,13.208664,5.1797,4.851,0.3716,10.9603,16.44,1,309.571,13.154,20180523462176,543,12,2,45,1,zg,507462224515,507,50746222,1,o,2018-05-23 11:05:36.060,2458261.9622222,15
309.948253,13.208755,5.1797,4.851,0.3715,10.9603,16.44,1,309.571,13.154,20180523463125,543,12,2,45,1,zg,507463124515,507,50746312,1,o,2018-05-23 11:06:54.911,2458261.963125,16
309.948349,13.211056,5.1797,4.8507,0.3699,10.9595,16.44,1,309.573,13.156,20180523485961,543,12,2,45,2,zr,507485984515,507,50748598,1,o,2018-05-23 11:39:49.843,2458261.9859838,17
309.953605,13.308709,5.1793,4.8379,0.3993,10.9265,16.43,1,309.571,13.165,20180524461817,543,12,2,45,1,zg,508461824515,508,50846182,1,o,2018-05-24 11:05:02.529,2458262.9618287,18
309.953632,13.310922,5.1793,4.8376,0.3982,10.9257,16.43,1,309.572,13.167,20180524483993,543,12,2,45,2,zr,508484004515,508,50848400,1,o,2018-05-24 11:36:58.019,2458262.9840046,19
309.956024,13.403907,5.1789,4.8254,0.4456,10.8923,16.42,1,309.571,13.162,20180525421505,543,12,2,45,2,zr,509421534515,509,50942153,1,o,2018-05-25 10:07:01.567,2458263.9215394,20
309.955962,13.407877,5.1789,4.8249,0.4452,10.8907,16.42,1,309.573,13.165,20180525461597,543,12,2,45,1,zg,509461644515,509,50946164,1,o,2018-05-25 11:04:46.684,2458263.9616435,21
309.935352,13.795057,5.1774,4.7737,0.5571,10.7273,16.39,1,309.560,14.217,20180529461829,543,16,3,62,1,zg,513461866215,513,51346186,1,o,2018-05-29 11:05:05.125,2458267.9618634,22
309.923069,13.887186,5.177,4.7613,0.481,10.6825,16.38,1,309.559,14.214,20180530439317,543,16,3,62,2,zr,514439436215,514,51443943,1,o,2018-05-30 10:32:47.860,2458268.9394329,23
309.907865,13.978516,5.1766,4.7491,0.4148,10.6358,16.37,1,309.559,14.218,20180531419583,543,16,3,62,2,zr,515419586215,515,51541958,1,o,2018-05-31 10:04:12.700,2458269.9195833,24
309.907848,13.978601,5.1766,4.7491,0.4151,10.6357,16.37,1,309.558,14.219,20180531420498,543,16,3,62,2,zr,515420496215,515,51542049,1,o,2018-05-31 10:05:31.651,2458269.9204977,25
309.907051,13.982352,5.1766,4.7486,0.4124,10.6337,16.37,1,309.560,14.221,20180531460880,543,16,3,62,1,zg,515460906215,515,51546090,1,o,2018-05-31 11:03:42.653,2458269.9609028,26
309.907022,13.982486,5.1766,4.7486,0.4128,10.6336,16.37,1,309.559,14.221,20180531462303,543,16,3,62,1,zg,515462346215,515,51546234,1,o,2018-05-31 11:05:47.032,2458269.9623495,27
309.888936,14.072206,5.1763,4.7365,0.3475,10.5852,16.37,1,309.559,14.209,20180601437130,543,16,3,62,2,zr,516437156215,516,51643715,1,o,2018-06-01 10:29:30.804,2458270.9371528,28
309.888404,14.074341,5.1762,4.7362,0.346,10.5839,16.36,1,309.560,14.210,20180601460405,543,16,3,62,1,zg,516460436215,516,51646043,1,o,2018-06-01 11:03:02.894,2458270.9604398,29
309.86685,14.164879,5.1759,4.7239,0.3034,10.5325,16.36,1,309.559,14.219,20180602456678,543,16,3,62,2,zr,517456676215,517,51745667,1,o,2018-06-02 10:57:37.836,2458271.9566782,30
309.866267,14.166911,5.1759,4.7237,0.3015,10.5312,16.36,1,309.560,14.220,20180602479144,543,16,3,62,1,zg,517479156215,517,51747915,1,o,2018-06-02 11:29:59.089,2458271.9791551,31
309.843909,14.249296,5.1755,4.7125,0.2781,10.4822,16.35,1,309.558,14.228,20180603397546,543,16,3,62,1,zg,518397606215,518,51839760,1,o,2018-06-03 09:32:33.841,2458272.8976042,32
309.843881,14.249384,5.1755,4.7125,0.278,10.4822,16.35,1,309.558,14.228,20180603398553,543,16,3,62,1,zg,518398586215,518,51839858,1,o,2018-06-03 09:33:58.895,2458272.898588,33
309.841519,14.256725,5.1755,4.7115,0.2723,10.4775,16.35,1,309.562,14.232,20180603480660,543,16,3,62,2,zr,518480786215,518,51848078,1,o,2018-06-03 11:32:20.174,2458272.980787,34
309.841493,14.256807,5.1755,4.7114,0.2719,10.4775,16.35,1,309.562,14.232,20180603481690,543,16,3,62,2,zr,518481706215,518,51848170,1,o,2018-06-03 11:33:39.024,2458272.9817014,35
309.816379,14.338092,5.1751,4.7003,0.2752,10.4268,16.34,1,309.558,14.225,20180604400405,543,16,3,62,2,zr,519400406215,519,51940040,1,o,2018-06-04 09:36:35.869,2458273.9004051,36
309.814668,14.342857,5.1751,4.6997,0.2732,10.4236,16.34,1,309.559,14.227,20180604454444,543,16,3,62,1,zg,519454466215,519,51945446,1,o,2018-06-04 10:54:26.066,2458273.9544676,37
309.784568,14.42885,5.1747,4.6879,0.295,10.3672,16.33,1,309.560,14.230,20180605440231,543,16,3,62,1,zg,520440306215,520,52044030,1,o,2018-06-05 10:34:02.231,2458274.9403009,38
309.715601,14.597265,5.174,4.6646,0.4348,10.2488,16.31,1,309.560,14.190,20180607414676,543,16,3,62,1,zg,522414686215,522,52241468,1,o,2018-06-07 09:57:09.575,2458276.9146875,39
