ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
263.58616,-9.924641,5.2269,5.6725,0.3166,9.3869,17.04,1,263.826,-10.135,20171019096192,1374,13,2,49,2,zr,291096194915,291,29109619,1,o,2017-10-19 02:18:31,2458045.5961921,0
298.361063,-2.154189,5.2066,5.1079,0.4241,11.1234,16.89,1,297.940,-2.098,20180420450856,438,11,4,43,2,zr,474450874315,474,47445087,1,o,2018-04-20 10:49:16.045,2458228.9508796,1
298.363126,-2.151501,5.2066,5.1075,0.4246,11.1234,16.89,1,297.942,-2.098,20180420481806,438,11,4,43,1,zg,474481814315,474,47448181,1,o,2018-04-20 11:33:49.163,2458228.9818171,2
298.719544,-1.639945,5.2058,5.0193,0.4425,11.0984,16.85,1,298.925,-1.248,20180426401863,438,10,2,37,1,zg,480401873715,480,48040187,1,o,2018-04-26 09:38:42.298,2458234.901875,3
298.861332,-1.384325,5.2054,4.975,0.1429,11.0521,16.83,1,298.924,-1.256,20180429397049,438,10,2,37,1,zg,483397073715,483,48339707,1,o,2018-04-29 09:31:47.265,2458237.8970718,4
299.128253,-0.630812,5.2042,4.8439,0.4597,10.7722,16.75,1,298.931,-0.216,20180508454722,438,14,3,54,2,zr,492454735415,492,49245473,1,o,2018-05-08 10:54:49.913,2458246.9547338,5
299.128397,-0.629938,5.2042,4.8437,0.4609,10.7717,16.75,1,298.932,-0.213,20180508465486,438,14,3,54,1,zg,492465495415,492,49246549,1,o,2018-05-08 11:10:19.904,2458246.9654977,6
299.161891,-0.390882,5.2038,4.8018,0.2934,10.6333,16.73,1,298.932,-0.208,20180511439363,438,14,3,54,2,zr,495439375415,495,49543937,1,o,2018-05-11 10:32:42.117,2458249.939375,7
299.162041,-0.388001,5.2038,4.8013,0.2926,10.6314,16.73,1,298.932,-0.207,20180511475590,438,14,3,54,2,zr,495475595415,495,49547559,1,o,2018-05-11 11:24:51.915,2458249.9755903,8
299.168089,-0.155022,5.2034,4.7604,0.2387,10.4704,16.7,1,298.932,-0.190,20180514437986,438,14,3,54,1,zg,498438485415,498,49843848,1,o,2018-05-14 10:31:25.706,2458252.9384838,9
299.167864,-0.151636,5.2034,4.7598,0.2367,10.4678,16.7,1,298.934,-0.187,20180514482002,438,14,3,54,2,zr,498482075415,498,49848207,1,o,2018-05-14 11:34:11.555,2458252.9820718,10
299.146858,0.073475,5.203,4.7202,0.3315,10.2855,16.67,1,298.931,-0.178,20180517418518,438,14,3,54,1,zg,501418565415,501,50141856,1,o,2018-05-17 10:02:44.485,2458255.9185648,11
299.146252,0.076682,5.2029,4.7196,0.3297,10.2826,16.67,1,298.933,-0.175,20180517460984,438,14,3,54,2,zr,501460985415,501,50146098,1,o,2018-05-17 11:03:49.883,2458255.9609838,12
299.097475,0.298374,5.2025,4.6804,0.4237,10.075,16.65,1,298.934,0.689,20180520438380,438,14,2,53,2,zr,504438445315,504,50443844,1,o,2018-05-20 10:31:22.624,2458258.9384491,13
299.096456,0.301528,5.2025,4.6798,0.4218,10.0717,16.64,1,298.937,0.692,20180520481424,438,14,2,53,1,zg,504481495315,504,50448149,1,o,2018-05-20 11:33:21.281,2458258.9814931,14
299.020404,0.515987,5.2021,4.6417,0.1894,9.8419,16.62,1,298.936,0.686,20180523458831,438,14,2,53,1,zg,507459375315,507,50745937,1,o,2018-05-23 11:01:30.599,2458261.959375,15
299.019579,0.517765,5.2021,4.6414,0.1883,9.8398,16.62,1,298.938,0.688,20180523484502,438,14,2,53,2,zr,507484505315,507,50748450,1,o,2018-05-23 11:37:41.860,2458261.9845023,16
298.83813,0.851403,5.2014,4.5818,0.1811,9.4188,16.57,1,298.932,0.697,20180528355394,438,14,2,53,2,zr,512355405315,512,51235540,1,o,2018-05-28 08:31:47.448,2458266.8554051,17
298.832245,0.859645,5.2014,4.5803,0.19,9.407,16.56,1,298.940,0.703,20180528479722,438,14,2,53,1,zg,512480025315,512,51248002,1,o,2018-05-28 11:31:14.551,2458266.9800231,18
298.690392,1.046919,5.201,4.5466,0.4353,9.1307,16.53,1,298.327,1.287,20180531379583,489,1,4,3,2,zr,515379640315,515,51537964,1,o,2018-05-31 09:06:41.002,2458269.8796412,19
298.689391,1.048054,5.201,4.5464,0.329,9.1289,16.53,1,298.908,1.294,20180531397604,490,4,3,14,2,zr,515397611415,515,51539761,1,o,2018-05-31 09:32:34.094,2458269.8976157,20
298.688268,1.04932,5.201,4.5461,0.4234,9.1269,16.53,1,298.936,0.706,20180531417546,438,14,2,53,2,zr,515417695315,515,51541769,1,o,2018-05-31 10:01:29.593,2458269.9176968,21
298.686145,1.051706,5.201,4.5457,0.3313,9.1231,16.53,1,298.910,1.296,20180531455544,490,4,3,14,1,zg,515455541415,515,51545554,1,o,2018-05-31 10:55:59.660,2458269.955544,22
298.45509,1.290612,5.2004,4.5023,0.1281,8.7212,16.49,1,298.327,1.295,20180604380961,489,1,4,3,2,zr,519380980315,519,51938098,1,o,2018-06-04 09:08:37.695,2458273.8809838,23
298.449932,1.295109,5.2004,4.5015,0.1202,8.7128,16.49,1,298.330,1.295,20180604457674,489,1,4,3,1,zg,519457680315,519,51945768,1,o,2018-06-04 10:59:04.043,2458273.9576852,24
298.248782,1.461992,5.2,4.4709,0.238,8.3934,16.46,1,298.327,1.237,20180607393715,489,1,4,3,1,zg,522393710315,522,52239371,1,o,2018-06-07 09:26:57.858,2458276.8937153,25
298.24527,1.464557,5.2,4.4704,0.221,8.3881,16.46,1,298.331,1.261,20180607440278,489,1,4,3,2,zr,522440280315,522,52244028,1,o,2018-06-07 10:34:01.525,2458276.9402894,26
298.021086,1.620603,5.1996,4.4415,0.478,8.0552,16.43,1,298.327,1.253,20180610374178,489,1,4,3,1,zg,525374210315,525,52537421,1,o,2018-06-10 08:58:52.700,2458279.874213,27
298.018829,1.621998,5.1996,4.4412,0.4815,8.052,16.43,1,298.328,1.253,20180610401366,489,1,4,3,2,zr,525401370315,525,52540137,1,o,2018-06-10 09:37:59.387,2458279.9013773,28
297.766973,1.769761,5.1992,4.4135,0.4857,7.7003,16.39,1,297.468,2.153,20180613397766,489,1,2,1,1,zg,528397770115,528,52839777,1,o,2018-06-13 09:32:48.293,2458282.8977778,29
297.76288,1.771896,5.1991,4.413,0.472,7.6949,16.39,1,297.470,2.142,20180613442905,489,1,2,1,2,zr,528442910115,528,52844291,1,o,2018-06-13 10:37:48.450,2458282.9429167,30
297.495115,1.90467,5.1987,4.3877,0.2354,7.342,16.36,1,297.467,2.139,20180616379271,489,1,2,1,2,zr,531379270115,531,53137927,1,o,2018-06-16 09:06:09.891,2458285.8792708,31
297.197756,2.029143,5.1983,4.3636,0.2989,6.9723,16.33,1,297.470,2.154,20180619416285,489,1,2,1,1,zg,534416310115,534,53441631,1,o,2018-06-19 09:59:30.679,2458288.9163194,32
297.194917,2.030201,5.1983,4.3634,0.3022,6.9689,16.33,1,297.471,2.155,20180619443623,489,1,2,1,2,zr,534443620115,534,53444362,1,o,2018-06-19 10:38:49.574,2458288.9436227,33
296.896889,2.135338,5.1979,4.3425,0.4242,6.6197,16.3,1,296.474,2.103,20180622314514,489,2,1,4,2,zr,537314510415,537,53731451,1,o,2018-06-22 07:32:54.964,2458291.8145139,34
296.885657,2.138866,5.1978,4.3418,0.408,6.6071,16.3,1,296.479,2.108,20180622416979,489,2,1,4,1,zg,537416970415,537,53741697,1,o,2018-06-22 10:00:27.871,2458291.9169792,35
296.563807,2.23329,5.1974,4.3225,0.1458,6.2546,16.27,1,296.476,2.117,20180625358333,489,2,1,4,1,zg,540358350415,540,54035835,1,o,2018-06-25 08:36:02.067,2458294.8583565,36
296.21454,2.317206,5.197,4.3047,0.3227,5.9007,16.24,1,296.478,2.131,20180628409838,489,2,1,4,2,zr,543409830415,543,54340983,1,o,2018-06-28 09:50:10.573,2458297.909838,37
295.867299,2.384007,5.1965,4.2898,0.3448,5.5803,16.21,1,295.609,2.155,20180701336539,489,2,2,5,2,zr,546336600515,546,54633660,1,o,2018-07-01 08:04:43.513,2458300.8366088,38
295.85393,2.386215,5.1965,4.2893,0.3367,5.5688,16.21,1,295.611,2.153,20180701444734,489,2,2,5,1,zg,546444760515,546,54644476,1,o,2018-07-01 10:40:28.399,2458300.9447685,39
295.492182,2.439367,5.1961,4.2766,0.3554,5.2733,16.18,1,295.612,2.105,20180704400081,489,2,2,5,1,zg,549400110515,549,54940011,1,o,2018-07-04 09:36:10.019,2458303.9001157,40
294.612892,2.508947,5.1951,4.2558,0.3432,4.7419,16.14,1,294.624,2.166,20180711333912,489,3,1,8,1,zg,556334450815,556,55633445,1,o,2018-07-11 08:01:37.800,2458310.834456,41
294.606823,2.509149,5.195,4.2558,0.3457,4.7393,16.14,1,294.625,2.164,20180711380440,489,3,1,8,2,zr,556380450815,556,55638045,1,o,2018-07-11 09:07:51.378,2458310.8804514,42
294.224626,2.515028,5.1946,4.2509,0.5549,4.6063,16.13,1,294.624,2.130,20180714334236,489,3,1,8,1,zg,559334560815,559,55933456,1,o,2018-07-14 08:01:46.515,2458313.8345602,43
294.218406,2.515008,5.1946,4.2508,0.5599,4.6047,16.13,1,294.625,2.130,20180714381412,489,3,1,8,2,zr,559381420815,559,55938142,1,o,2018-07-14 09:09:15.183,2458313.8814236,44
293.835336,2.506779,5.1942,4.2484,0.3656,4.5395,16.12,1,293.759,2.149,20180717333912,489,3,2,9,2,zr,562333950915,562,56233395,1,o,2018-07-17 08:00:54.970,2458316.8339583,45
293.455283,2.485078,5.1937,4.2483,0.4735,4.5446,16.12,1,293.753,2.117,20180720273727,489,3,2,9,2,zr,565273730915,565,56527373,1,o,2018-07-20 06:34:11.112,2458319.7737384,46
293.060389,2.448269,5.1932,4.2507,0.4422,4.6249,16.13,1,292.763,2.121,20180723354676,489,4,1,12,2,zr,568354881215,568,56835488,1,o,2018-07-23 08:31:02.913,2458322.8548843,47
293.05112,2.447244,5.1932,4.2508,0.4394,4.6277,16.13,1,292.762,2.116,20180723426308,489,4,1,12,1,zg,568426341215,568,56842634,1,o,2018-07-23 10:13:56.771,2458322.9263426,48
