ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
157.730328,-13.630401,5.2539,5.218,0.1789,10.7929,16.44,1,157.588,-13.745,20171203480613,316,14,2,53,2,zr,336480625315,336,33648062,1,o,2017-12-03 11:32:06,2458090.980625,0
148.368463,-17.38572,5.2224,4.4031,0.304,6.7983,15.85,1,148.635,-17.553,20180325253692,315,7,2,25,1,zg,448253712515,448,44825371,1,o,2018-03-25 06:05:21,2458202.7537153,1
147.182754,-16.372562,5.2176,4.526,0.425,8.5553,16.0,1,147.607,-16.497,20180410220405,315,12,4,47,2,zr,464220414715,464,46422041,1,o,2018-04-10 05:17:24,2458218.7204167,2
147.181886,-16.371487,5.2176,4.5262,0.4276,8.557,16.0,1,147.608,-16.498,20180410236748,315,12,4,47,2,zr,464236954715,464,46423695,1,o,2018-04-10 05:41:13,2458218.736956,3
146.891496,-15.865333,5.2152,4.6055,0.3041,9.3379,16.08,1,146.715,-15.613,20180418145914,315,12,2,45,2,zr,472145934515,472,47214593,1,o,2018-04-18 03:30:09,2458226.6459375,4
146.891484,-15.865304,5.2152,4.6055,0.304,9.3379,16.08,1,146.716,-15.613,20180418146389,315,12,2,45,2,zr,472146384515,472,47214638,1,o,2018-04-18 03:30:48,2458226.6463889,5
146.891472,-15.865275,5.2152,4.6055,0.3039,9.338,16.08,1,146.716,-15.613,20180418146840,315,12,2,45,2,zr,472146854515,472,47214685,1,o,2018-04-18 03:31:28,2458226.6468519,6
146.89146,-15.865247,5.2152,4.6055,0.3038,9.338,16.08,1,146.716,-15.613,20180418147303,315,12,2,45,2,zr,472147304515,472,47214730,1,o,2018-04-18 03:32:07,2458226.6473032,7
146.891448,-15.865218,5.2152,4.6055,0.3038,9.3381,16.08,1,146.716,-15.613,20180418147755,315,12,2,45,2,zr,472147764515,472,47214776,1,o,2018-04-18 03:32:47,2458226.6477662,8
146.891436,-15.86519,5.2152,4.6055,0.3037,9.3381,16.08,1,146.716,-15.613,20180418148218,315,12,2,45,2,zr,472148214515,472,47214821,1,o,2018-04-18 03:33:26,2458226.6482176,9
146.891424,-15.865161,5.2152,4.6055,0.3036,9.3381,16.08,1,146.716,-15.613,20180418148669,315,12,2,45,2,zr,472148684515,472,47214868,1,o,2018-04-18 03:34:06,2458226.6486806,10
146.891412,-15.865133,5.2152,4.6055,0.3036,9.3382,16.08,1,146.716,-15.613,20180418149132,315,12,2,45,2,zr,472149134515,472,47214913,1,o,2018-04-18 03:34:45,2458226.6491319,11
146.891399,-15.865104,5.2152,4.6055,0.3037,9.3382,16.08,1,146.716,-15.613,20180418149583,315,12,2,45,2,zr,472149594515,472,47214959,1,o,2018-04-18 03:35:25,2458226.6495949,12
146.891387,-15.865074,5.2152,4.6055,0.3035,9.3383,16.08,1,146.716,-15.613,20180418150046,315,12,2,45,2,zr,472150054515,472,47215005,1,o,2018-04-18 03:36:05,2458226.6500579,13
146.891375,-15.865046,5.2152,4.6055,0.3035,9.3383,16.08,1,146.716,-15.613,20180418150509,315,12,2,45,2,zr,472150504515,472,47215050,1,o,2018-04-18 03:36:44,2458226.6505093,14
146.891363,-15.865017,5.2152,4.6055,0.3034,9.3384,16.08,1,146.716,-15.613,20180418150961,315,12,2,45,2,zr,472150974515,472,47215097,1,o,2018-04-18 03:37:24,2458226.6509722,15
146.891351,-15.864989,5.2152,4.6055,0.3034,9.3384,16.08,1,146.716,-15.613,20180418151412,315,12,2,45,2,zr,472151424515,472,47215142,1,o,2018-04-18 03:38:03,2458226.6514236,16
146.891339,-15.864961,5.2152,4.6055,0.3033,9.3384,16.08,1,146.716,-15.613,20180418151875,315,12,2,45,2,zr,472151874515,472,47215187,1,o,2018-04-18 03:38:42,2458226.651875,17
146.891326,-15.864932,5.2152,4.6055,0.3032,9.3385,16.08,1,146.716,-15.613,20180418152326,315,12,2,45,2,zr,472152334515,472,47215233,1,o,2018-04-18 03:39:22,2458226.652338,18
146.891314,-15.864903,5.2152,4.6055,0.3032,9.3385,16.08,1,146.716,-15.613,20180418152789,315,12,2,45,2,zr,472152784515,472,47215278,1,o,2018-04-18 03:40:01,2458226.6527894,19
146.891302,-15.864874,5.2152,4.6055,0.3032,9.3386,16.08,1,146.716,-15.613,20180418153241,315,12,2,45,2,zr,472153254515,472,47215325,1,o,2018-04-18 03:40:41,2458226.6532523,20
146.89129,-15.864846,5.2152,4.6055,0.3031,9.3386,16.08,1,146.716,-15.613,20180418153704,315,12,2,45,2,zr,472153704515,472,47215370,1,o,2018-04-18 03:41:20,2458226.6537037,21
146.834624,-15.676728,5.2143,4.6386,0.1334,9.6087,16.11,1,146.718,-15.605,20180421188171,315,12,2,45,2,zr,475188184515,475,47518818,1,o,2018-04-21 04:30:59.076,2458229.6881829,22
146.808916,-15.498168,5.2134,4.6722,0.1456,9.8539,16.13,1,146.715,-15.613,20180424148310,315,12,2,45,1,zg,478148324515,478,47814832,1,o,2018-04-24 03:33:35.343,2458232.6483218,23
146.808913,-15.49814,5.2134,4.6722,0.4417,9.8539,16.13,1,146.364,-15.605,20180424148773,314,9,1,32,1,zg,478148783215,478,47814878,1,o,2018-04-24 03:34:15.668,2458232.6487847,24
146.808639,-15.495669,5.2134,4.6727,0.1475,9.8573,16.14,1,146.719,-15.616,20180424190312,315,12,2,45,2,zr,478190324515,478,47819032,1,o,2018-04-24 04:34:04.218,2458232.6903241,25
146.808636,-15.495641,5.2134,4.6727,0.4412,9.8574,16.14,1,146.366,-15.608,20180424190775,314,9,1,32,2,zr,478190783215,478,47819078,1,o,2018-04-24 04:34:44.543,2458232.690787,26
146.812208,-15.320633,5.2125,4.7078,0.3185,10.0866,16.16,1,146.718,-15.626,20180427191655,315,12,2,45,1,zg,481191664515,481,48119166,1,o,2018-04-27 04:36:00.306,2458235.6916667,27
146.994848,-14.841338,5.2098,4.8186,0.3617,10.6501,16.24,1,146.734,-14.583,20180506152211,315,16,3,62,2,zr,490152236215,490,49015223,1,o,2018-05-06 03:39:13.080,2458244.6522338,28
147.112789,-14.696793,5.2088,4.8575,0.3856,10.7977,16.26,1,146.735,-14.574,20180509168854,315,16,3,62,1,zg,493169506215,493,49316950,1,o,2018-05-09 04:04:05.108,2458247.6695023,29
147.114646,-14.694703,5.2088,4.8581,0.3845,10.7998,16.26,1,146.736,-14.578,20180509214282,315,16,3,62,2,zr,493214286215,493,49321428,1,o,2018-05-09 05:08:34.841,2458247.7142824,30
147.850055,-14.221401,5.2051,5.0177,0.4017,11.17,16.35,1,147.629,-14.562,20180521169792,315,16,4,63,1,zg,505169816315,505,50516981,1,o,2018-05-21 04:04:32.748,2458259.6698148,31
267.483841,-29.952382,4.9007,3.9767,0.3277,5.4985,15.41,1,267.117,-30.032,20210717230637,233,11,1,40,1,zg,1658230764015,1658,165823076,1,o,2021-07-17 05:32:18.739,2459412.7307639,32
267.097569,-29.755323,4.9005,3.9987,0.2836,6.0651,15.46,1,267.109,-30.040,20210720271759,233,11,1,40,1,zg,1661271934015,1661,166127193,1,o,2021-07-20 06:31:35.847,2459415.7719329,33
266.224189,-29.233579,4.9,4.0667,0.2656,7.4547,15.57,1,266.129,-28.982,20210728209838,233,15,3,58,1,zg,1669209845815,1669,166920984,1,o,2021-07-28 05:02:11.387,2459423.7098495,34
266.220083,-29.230876,4.9,4.0671,0.2597,7.4616,15.57,1,266.133,-28.984,20210728250579,233,15,3,58,2,zr,1669250685815,1669,166925068,1,o,2021-07-28 06:00:59.292,2459423.7506829,35
266.035109,-29.100141,4.8999,4.0863,0.1448,7.784,15.6,1,266.131,-28.983,20210730229919,233,15,3,58,1,zg,1671230045815,1671,167123004,1,o,2021-07-30 05:31:16.954,2459425.7300463,36
265.863864,-28.969517,4.8998,4.1065,0.2311,8.0958,15.63,1,266.128,-28.982,20210801209201,233,15,3,58,2,zr,1673209365815,1673,167320936,1,o,2021-08-01 05:01:29.371,2459427.7093634,37
265.861989,-28.968085,4.8998,4.1067,0.2401,8.0993,15.63,1,266.136,-28.976,20210801230891,233,15,3,58,1,zg,1673231035815,1673,167323103,1,o,2021-08-01 05:32:41.116,2459427.7310301,38
265.702766,-28.83593,4.8997,4.1279,0.4101,8.404,15.66,1,266.141,-28.981,20210803237882,233,15,3,58,2,zr,1675237885815,1675,167523788,1,o,2021-08-03 05:42:33.828,2459429.7378819,39
