ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
297.742534,-24.845473,5.3719,5.2894,0.351,10.6875,16.32,1,297.928,-24.538,20171019105856,1278,14,1,52,2,zr,291105855215,291,29110585,1,o,2017-10-19 02:32:26,2458045.6058565,0
298.552233,-24.357292,5.3701,5.4316,0.4542,10.5377,16.37,1,299.022,-24.511,20171028165093,1278,13,2,49,2,zr,300165094915,300,30016509,1,o,2017-10-28 03:57:44,2458054.6650926,1
299.576934,-23.84552,5.3682,5.5702,0.1964,10.1839,16.41,1,299.438,-23.697,20171106188113,286,12,4,47,1,zg,309188124715,309,30918812,1,o,2017-11-06 04:30:54,2458063.688125,2
334.183132,-8.03892,5.3184,5.1233,0.5631,10.933,16.24,1,334.611,-8.410,20180530443368,392,12,1,44,2,zr,514443364415,514,51444336,1,o,2018-05-30 10:38:27.872,2458268.9433681,3
334.183896,-8.037907,5.3184,5.123,0.563,10.9327,16.24,1,334.613,-8.408,20180530461725,392,12,1,44,1,zg,514461754415,514,51446175,1,o,2018-05-30 11:04:56.277,2458268.9617593,4
334.44287,-7.621398,5.3162,4.9973,0.278,10.7235,16.18,1,334.622,-7.408,20180607477292,392,16,4,63,2,zr,522477296315,522,52247729,1,o,2018-06-07 11:27:18.765,2458276.9772917,5
334.492816,-7.47999,5.3154,4.9511,0.1524,10.5971,16.15,1,334.622,-7.398,20180610471667,392,16,4,63,1,zg,525471736315,525,52547173,1,o,2018-06-10 11:19:18.158,2458279.9717361,6
334.516554,-7.348674,5.3145,4.9063,0.106,10.4464,16.12,1,334.620,-7.377,20180613419815,392,16,4,63,1,zg,528419816315,528,52841981,1,o,2018-06-13 10:04:32.495,2458282.9198148,7
334.514437,-7.224084,5.3137,4.8616,0.1879,10.2669,16.09,1,334.619,-7.381,20180616400845,392,16,4,63,2,zr,531400856315,531,53140085,1,o,2018-06-16 09:37:14.877,2458285.9008565,8
334.514151,-7.222522,5.3137,4.8611,0.2024,10.2643,16.09,1,334.622,-7.395,20180616439699,392,16,4,63,1,zg,531439716315,531,53143971,1,o,2018-06-16 10:33:11.506,2458285.9397106,9
334.485437,-7.106516,5.3129,4.8174,0.2899,10.0574,16.06,1,334.621,-7.364,20180619418681,392,16,4,63,1,zg,534418696315,534,53441869,1,o,2018-06-19 10:02:55.610,2458288.9186921,10
334.48475,-7.104964,5.3129,4.8168,0.2898,10.0542,16.06,1,334.623,-7.361,20180619460208,392,16,4,63,2,zr,534460216315,534,53446021,1,o,2018-06-19 11:02:43.385,2458288.9602199,11
334.429442,-6.997572,5.312,4.7741,0.4543,9.8197,16.03,1,334.622,-7.410,20180622439398,392,16,4,63,1,zg,537439406315,537,53743940,1,o,2018-06-22 10:32:45.089,2458291.9394097,12
334.349384,-6.900074,5.3112,4.733,0.4553,9.5619,16.0,1,334.624,-6.535,20180625377523,392,16,1,60,1,zg,540377526015,540,54037752,1,o,2018-06-25 09:03:38.615,2458294.8775231,13
334.236899,-6.806261,5.3104,4.6909,0.4897,9.2606,15.96,1,334.633,-6.514,20180628481620,392,16,1,60,1,zg,543481626015,543,54348162,1,o,2018-06-28 11:33:32.990,2458297.9816204,14
333.885735,-6.631154,5.3084,4.6022,0.1636,8.484,15.88,1,333.755,-6.532,20180705411424,392,16,2,61,2,zr,550411436115,550,55041143,1,o,2018-07-05 09:52:28.122,2458304.9114352,15
333.883955,-6.630544,5.3084,4.6019,0.1622,8.4805,15.88,1,333.756,-6.530,20180705439525,392,16,2,61,1,zg,550439526115,550,55043952,1,o,2018-07-05 10:32:55.918,2458304.9395255,16
333.69209,-6.570389,5.3076,4.5665,0.0895,8.1053,15.84,1,333.756,-6.507,20180708399178,392,16,2,61,2,zr,553399236115,553,55339923,1,o,2018-07-08 09:34:54.295,2458307.8992361,17
333.397822,-6.503555,5.3065,4.5219,0.2188,7.5647,15.79,1,333.180,-6.535,20180712355822,391,13,1,48,1,zg,557355854815,557,55735585,1,o,2018-07-12 08:32:26.375,2458311.8558565,18
333.144852,-6.46287,5.3056,4.4899,0.0592,7.1228,15.75,1,333.181,-6.510,20180715378345,391,13,1,48,1,zg,560378354815,560,56037835,1,o,2018-07-15 09:04:50.155,2458314.8783565,19
333.141118,-6.462378,5.3056,4.4895,0.0634,7.1165,15.75,1,333.185,-6.509,20180715419653,391,13,1,48,2,zr,560419664815,560,56041966,1,o,2018-07-15 10:04:19.350,2458314.9196644,20
