ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
249.258921,-18.8367,5.5063,6.1677,0.4619,7.3298,17.44,1,249.005,-18.443,20171019090278,329,6,3,22,2,zr,291090282215,291,29109028,1,o,2017-10-19 02:10:01,2458045.5902894,0
249.259017,-18.83673,5.5063,6.1677,0.4907,7.3297,17.44,1,248.986,-19.254,20171019090810,1321,11,1,40,2,zr,291090824015,291,29109082,1,o,2017-10-19 02:10:47,2458045.5908218,1
280.903589,-24.410752,5.5191,5.2331,0.5142,10.2518,17.24,1,281.319,-24.760,20180411512153,283,6,1,20,2,zr,465512332015,465,46551233,1,o,2018-04-11 12:17:46,2458220.012338,2
281.174137,-24.736072,5.5193,5.0798,0.1334,9.7892,17.16,1,281.321,-24.741,20180421500231,283,6,1,20,1,zg,475500352015,475,47550035,1,o,2018-04-21 12:00:31.225,2458230.0003588,3
280.881505,-25.377409,5.5195,4.8446,0.481,8.3197,16.98,1,281.330,-25.638,20180508437836,283,6,4,23,2,zr,492437962315,492,49243796,1,o,2018-05-08 10:30:40.485,2458246.937963,4
280.880447,-25.378313,5.5195,4.8443,0.4824,8.3172,16.98,1,281.332,-25.637,20180508459780,283,6,4,23,1,zg,492459942315,492,49245994,1,o,2018-05-08 11:02:19.297,2458246.9599421,5
280.728323,-25.503584,5.5195,4.8068,0.3443,7.9648,16.94,1,280.375,-25.635,20180511486493,283,6,3,22,2,zr,495486552215,495,49548655,1,o,2018-05-11 11:40:38.720,2458249.9865509,6
280.190366,-25.844461,5.5196,4.7169,0.2972,6.9168,16.85,1,280.374,-25.598,20180519439826,283,6,3,22,2,zr,503439832215,503,50343983,1,o,2018-05-19 10:33:22.913,2458257.939838,7
279.146145,-26.332529,5.5196,4.6158,0.3281,5.2104,16.7,1,279.273,-26.641,20180530418843,283,3,1,8,2,zr,514418850815,514,51441885,1,o,2018-05-30 10:03:09.745,2458268.9188542,8
279.139045,-26.335341,5.5196,4.6153,0.3308,5.1996,16.7,1,279.273,-26.644,20180530481968,283,3,1,8,1,zg,514481970815,514,51448197,1,o,2018-05-30 11:34:03.782,2458268.9819792,9
278.56762,-26.557522,5.5195,4.5796,0.241,4.3474,16.62,1,278.307,-26.620,20180604439572,283,3,2,9,1,zg,519439870915,519,51943987,1,o,2018-06-04 10:33:25.770,2458273.9398727,10
278.198984,-26.690252,5.5195,4.5613,0.1025,3.8166,16.58,1,278.306,-26.655,20180607418646,283,3,2,9,2,zr,522418800915,522,52241880,1,o,2018-06-07 10:03:05.290,2458276.9188079,11
277.413719,-26.951766,5.5195,4.5322,0.3893,2.7279,16.48,1,277.194,-26.616,20180613375752,283,4,1,12,1,zg,528376381215,528,52837638,1,o,2018-06-13 09:02:00.826,2458282.8763889,12
276.86379,-27.12114,5.5194,4.5186,0.4747,2.0027,16.42,1,277.171,-27.510,20180617334190,283,4,4,15,2,zr,532334451515,532,53233445,1,o,2018-06-17 08:01:37.224,2458286.834456,13
276.001722,-27.36884,5.5193,4.5068,0.2191,1.0138,16.31,1,276.197,-27.503,20180623335370,283,4,3,14,1,zg,538335531415,538,53833553,1,o,2018-06-23 08:03:10.150,2458292.8355324,14
276.001588,-27.368876,5.5193,4.5068,0.1495,1.0137,16.31,1,276.051,-27.513,20180623336435,282,1,4,3,1,zg,538336430315,538,53833643,1,o,2018-06-23 08:04:28.900,2458292.8364352,15
273.834482,-27.921652,5.519,4.5242,0.4123,2.4107,16.45,1,273.957,-27.525,20180708253831,282,2,4,7,2,zr,553253830715,553,55325383,1,o,2018-07-08 06:05:31.887,2458307.753831,16
273.834283,-27.921699,5.519,4.5242,0.4125,2.411,16.45,1,273.957,-27.525,20180708255197,282,2,4,7,2,zr,553255200715,553,55325520,1,o,2018-07-08 06:07:30.265,2458307.7552083,17
273.834217,-27.921714,5.519,4.5242,0.4125,2.4111,16.45,1,273.957,-27.525,20180708255660,282,2,4,7,2,zr,553255650715,553,55325565,1,o,2018-07-08 06:08:09.591,2458307.7556597,18
273.834018,-27.921761,5.519,4.5242,0.4127,2.4113,16.45,1,273.957,-27.525,20180708257025,282,2,4,7,2,zr,553257030715,553,55325703,1,o,2018-07-08 06:10:08.072,2458307.757037,19
273.833953,-27.921776,5.519,4.5243,0.4128,2.4114,16.45,1,273.958,-27.525,20180708257477,282,2,4,7,2,zr,553257480715,553,55325748,1,o,2018-07-08 06:10:47.510,2458307.7574884,20
273.833688,-27.921838,5.519,4.5243,0.4131,2.4117,16.45,1,273.958,-27.524,20180708259317,282,2,4,7,2,zr,553259310715,553,55325931,1,o,2018-07-08 06:13:25.523,2458307.7593171,21
273.833621,-27.921854,5.519,4.5243,0.4131,2.4118,16.45,1,273.958,-27.524,20180708259769,282,2,4,7,2,zr,553259780715,553,55325978,1,o,2018-07-08 06:14:05.249,2458307.7597801,22
273.832894,-27.922024,5.519,4.5243,0.4135,2.4128,16.45,1,273.958,-27.524,20180708264803,282,2,4,7,2,zr,553264800715,553,55326480,1,o,2018-07-08 06:21:19.938,2458307.7648032,23
273.832827,-27.922039,5.519,4.5243,0.4136,2.4128,16.45,1,273.958,-27.524,20180708265255,282,2,4,7,2,zr,553265260715,553,55326526,1,o,2018-07-08 06:21:59.364,2458307.7652662,24
273.832762,-27.922054,5.519,4.5243,0.4137,2.4129,16.45,1,273.958,-27.524,20180708265718,282,2,4,7,2,zr,553265710715,553,55326571,1,o,2018-07-08 06:22:38.790,2458307.7657176,25
273.832495,-27.922117,5.519,4.5243,0.4137,2.4133,16.45,1,273.958,-27.525,20180708267546,282,2,4,7,2,zr,553267550715,553,55326755,1,o,2018-07-08 06:25:17.096,2458307.7675579,26
273.83243,-27.922132,5.519,4.5243,0.4141,2.4134,16.45,1,273.958,-27.524,20180708267998,282,2,4,7,2,zr,553268000715,553,55326800,1,o,2018-07-08 06:25:56.422,2458307.7680093,27
273.832165,-27.922194,5.519,4.5243,0.4142,2.4137,16.45,1,273.958,-27.524,20180708269826,282,2,4,7,2,zr,553269830715,553,55326983,1,o,2018-07-08 06:28:34.425,2458307.769838,28
273.831966,-27.92224,5.519,4.5243,0.4143,2.414,16.45,1,273.958,-27.524,20180708271204,282,2,4,7,2,zr,553271210715,553,55327121,1,o,2018-07-08 06:30:33.004,2458307.7712153,29
273.831901,-27.922255,5.519,4.5243,0.4145,2.414,16.45,1,273.958,-27.524,20180708271667,282,2,4,7,2,zr,553271660715,553,55327166,1,o,2018-07-08 06:31:12.630,2458307.7716667,30
273.831768,-27.922286,5.519,4.5243,0.4145,2.4142,16.45,1,273.958,-27.524,20180708272581,282,2,4,7,2,zr,553272580715,553,55327258,1,o,2018-07-08 06:32:31.683,2458307.772581,31
273.831701,-27.922302,5.519,4.5243,0.4146,2.4143,16.45,1,273.958,-27.524,20180708273032,282,2,4,7,2,zr,553273040715,553,55327304,1,o,2018-07-08 06:33:11.209,2458307.773044,32
273.831636,-27.922317,5.519,4.5243,0.4146,2.4144,16.45,1,273.958,-27.524,20180708273495,282,2,4,7,2,zr,553273490715,553,55327349,1,o,2018-07-08 06:33:50.535,2458307.7734954,33
273.831569,-27.922333,5.519,4.5243,0.4147,2.4145,16.45,1,273.959,-27.524,20180708273947,282,2,4,7,2,zr,553273950715,553,55327395,1,o,2018-07-08 06:34:30.161,2458307.7739583,34
273.831504,-27.922348,5.519,4.5243,0.4147,2.4146,16.45,1,273.959,-27.524,20180708274410,282,2,4,7,2,zr,553274400715,553,55327440,1,o,2018-07-08 06:35:09.587,2458307.7744097,35
