ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
171.27178,-27.888242,5.3439,4.454,0.4442,5.3462,16.09,1,170.947,-27.550,20180402280081,268,2,3,6,1,zg,456280090615,456,45628009,1,o,2018-04-02 06:43:20,2458210.7800926,0
170.729762,-27.467809,5.3436,4.4648,0.2016,5.6252,16.11,1,170.944,-27.537,20180407259456,268,2,3,6,1,zg,461259460615,461,46125946,1,o,2018-04-07 06:13:38,2458215.7594676,1
169.317879,-25.871746,5.3424,4.5491,0.473,7.1899,16.24,1,168.878,-25.614,20180424166817,268,7,3,26,1,zg,478167222615,478,47816722,1,o,2018-04-24 04:00:48.466,2458232.6672222,2
169.315174,-25.867558,5.3424,4.5494,0.4666,7.1946,16.24,1,168.881,-25.613,20180424209826,268,7,3,26,2,zr,478209832615,478,47820983,1,o,2018-04-24 05:02:10.674,2458232.709838,3
169.149984,-25.576144,5.3422,4.5712,0.2501,7.5072,16.27,1,168.877,-25.624,20180427166968,268,7,3,26,1,zg,481167532615,481,48116753,1,o,2018-04-27 04:01:15.399,2458235.6675347,4
169.147222,-25.571149,5.3422,4.5716,0.2444,7.5127,16.27,1,168.882,-25.624,20180427218009,268,7,3,26,1,zg,481218222615,481,48121822,1,o,2018-04-27 05:14:15.416,2458235.7182292,5
168.812145,-24.697803,5.3416,4.6485,0.0913,8.4369,16.35,1,168.887,-24.759,20180506148935,268,7,2,25,2,zr,490149912515,490,49014991,1,o,2018-05-06 03:35:53.557,2458244.649919,6
168.811076,-24.693923,5.3416,4.6489,0.0986,8.441,16.35,1,168.892,-24.761,20180506190174,268,7,2,25,1,zg,490190192515,490,49019019,1,o,2018-05-06 04:33:53.123,2458244.6901968,7
168.754987,-24.407341,5.3414,4.6782,0.3634,8.734,16.38,1,168.893,-24.749,20180509188241,268,7,2,25,1,zg,493188352515,493,49318835,1,o,2018-05-09 04:31:14.335,2458247.6883565,8
168.754597,-24.405138,5.3414,4.6784,0.3659,8.7362,16.38,1,168.892,-24.750,20180509211539,268,7,2,25,2,zr,493211532515,493,49321153,1,o,2018-05-09 05:04:37.492,2458247.7115394,9
168.816781,-23.32634,5.3405,4.8101,0.3572,9.7582,16.5,1,168.906,-23.675,20180521167454,268,11,3,42,1,zg,505167964215,505,50516796,1,o,2018-05-21 04:01:52.144,2458259.667963,10
204.290092,-27.804934,5.2981,4.5775,0.2687,8.3315,16.3,1,204.189,-27.552,20190611191516,273,4,4,15,1,zg,891191671515,891,89119167,1,o,2019-06-11 04:36:01.480,2458645.6916782,11
204.195388,-27.448904,5.2975,4.6213,0.1,8.787,16.34,1,204.181,-27.549,20190615188275,273,4,4,15,1,zg,895188851515,895,89518885,1,o,2019-06-15 04:31:57.641,2458649.6888542,12
204.194547,-27.445243,5.2975,4.6218,0.1062,8.7917,16.34,1,204.173,-27.551,20190615230590,273,4,4,15,2,zr,895230591515,895,89523059,1,o,2019-06-15 05:32:03.709,2458649.7305903,13
204.149927,-26.943187,5.2967,4.6919,0.2239,9.3988,16.41,1,204.211,-26.727,20190621170729,273,4,1,12,2,zr,901170891215,901,90117089,1,o,2019-06-21 04:06:05.788,2458655.6708912,14
204.149882,-26.938264,5.2967,4.6926,0.21,9.4046,16.41,1,204.202,-26.734,20190621230752,273,4,1,12,1,zg,901230941215,901,90123094,1,o,2019-06-21 05:32:34.554,2458655.7309491,15
204.242846,-26.397371,5.2957,4.7816,0.3218,10.0008,16.48,1,204.206,-26.718,20190628192014,273,4,1,12,1,zg,908192011215,908,90819201,1,o,2019-06-28 04:36:30.599,2458662.6920139,16
204.489766,-25.912415,5.2947,4.8766,0.3722,10.4672,16.54,1,204.229,-25.624,20190705170880,273,8,4,31,2,zr,915171043115,915,91517104,1,o,2019-07-05 04:06:18.823,2458669.6710417,17
204.490593,-25.911171,5.2947,4.8769,0.3707,10.4683,16.54,1,204.227,-25.627,20190705190000,273,8,4,31,1,zg,915190003115,915,91519000,1,o,2019-07-05 04:33:36.809,2458669.69,18
204.642118,-25.722861,5.2943,4.9189,0.3847,10.6263,16.57,1,204.229,-25.626,20190708171377,273,8,4,31,1,zg,918171383115,918,91817138,1,o,2019-07-08 04:06:48.200,2458672.6713889,19
204.643084,-25.721732,5.2943,4.9192,0.3863,10.6273,16.57,1,204.226,-25.634,20190708189676,273,8,4,31,2,zr,918189673115,918,91818967,1,o,2019-07-08 04:33:08.927,2458672.6896759,20
250.82984,-27.433889,5.2535,4.6846,0.2745,9.5029,16.39,1,251.101,-27.567,20200402479931,279,2,3,6,1,zg,1187480050615,1187,118748005,1,o,2020-04-02 11:31:18.045,2458941.9800579,21
250.828854,-27.432724,5.2535,4.6839,0.2814,9.4987,16.39,1,251.108,-27.566,20200402524074,279,2,3,6,2,zr,1187524490615,1187,118752449,1,o,2020-04-02 12:35:16.031,2458942.0244907,22
249.210945,-26.500607,5.2494,4.3795,0.2542,6.0621,16.06,1,249.031,-26.698,20200428375903,279,3,2,9,2,zr,1213376530915,1213,121337653,1,o,2020-04-28 09:02:13.305,2458967.8765394,23
249.206533,-26.49867,5.2494,4.3792,0.2489,6.0549,16.06,1,249.036,-26.696,20200428418275,279,3,2,9,1,zg,1213418430915,1213,121341843,1,o,2020-04-28 10:02:33.503,2458967.9184375,24
248.783067,-26.308901,5.2487,4.3455,0.4468,5.366,16.0,1,249.035,-26.695,20200502375845,279,3,2,9,2,zr,1217376330915,1217,121737633,1,o,2020-05-02 09:01:55.975,2458971.876331,25
246.763122,-25.42611,5.2462,4.2527,0.2643,2.3104,15.73,1,246.987,-25.598,20200518333935,279,8,3,30,2,zr,1233334063015,1233,123333406,1,o,2020-05-18 08:01:03.246,2458987.8340625,26
246.753978,-25.422171,5.2462,4.2525,0.202,2.2974,15.73,1,246.836,-25.611,20200518398831,278,5,4,19,1,zg,1233398841915,1233,123339884,1,o,2020-05-18 09:34:20.289,2458987.8988426,27
246.753846,-25.422113,5.2462,4.2525,0.278,2.2972,15.73,1,246.988,-25.604,20200518399780,279,8,3,30,1,zg,1233399783015,1233,123339978,1,o,2020-05-18 09:35:41.232,2458987.8997801,28
245.929169,-25.054526,5.2453,4.237,0.2959,1.1615,15.61,1,245.863,-24.765,20200524295139,278,5,2,17,2,zr,1239295131715,1239,123929513,1,o,2020-05-24 07:05:00.960,2458993.7951389,29
245.504497,-24.861101,5.2448,4.2332,0.3436,0.7131,15.56,1,245.868,-24.767,20200527292477,278,5,2,17,2,zr,1242292701715,1242,124229270,1,o,2020-05-27 07:01:30.775,2458996.7927083,30
245.501227,-24.859637,5.2448,4.2332,0.3461,0.7107,15.56,1,245.868,-24.766,20200527315231,278,5,2,17,1,zg,1242315241715,1242,124231524,1,o,2020-05-27 07:33:57.065,2458996.8152431,31
245.07636,-24.662436,5.2443,4.2321,0.3046,0.6887,15.56,1,244.770,-24.788,20200530316111,278,6,1,20,2,zr,1245316112015,1245,124531611,1,o,2020-05-30 07:35:12.352,2458999.8161111,32
245.064394,-24.65692,5.2443,4.2321,0.2977,0.6965,15.56,1,244.770,-24.789,20200530398947,278,6,1,20,1,zg,1245398982015,1245,124539898,1,o,2020-05-30 09:34:32.330,2458999.8989815,33
243.430734,-23.851486,5.2424,4.255,0.3659,2.8724,15.78,1,243.811,-23.741,20200611334838,278,10,3,38,2,zr,1257334833815,1257,125733483,1,o,2020-06-11 08:02:10.297,2459011.834838,34
242.923708,-23.580908,5.2418,4.2719,0.225,3.6589,15.84,1,242.739,-23.730,20200615315174,278,11,4,43,2,zr,1261315174315,1261,126131517,1,o,2020-06-15 07:33:51.770,2459015.8151736,35
242.557129,-23.376761,5.2413,4.2877,0.3943,4.2443,15.89,1,242.736,-23.736,20200618336030,278,11,4,43,1,zg,1264336034315,1264,126433603,1,o,2020-06-18 08:03:53.219,2459018.8360301,36
241.895179,-22.983803,5.2404,4.326,0.1443,5.3461,15.98,1,241.817,-22.859,20200624245255,278,11,2,41,2,zr,1270245304115,1270,127024530,1,o,2020-06-24 05:53:14.699,2459024.7453009,37
241.892141,-22.981964,5.2404,4.3262,0.1446,5.3512,15.98,1,241.812,-22.858,20200624273310,278,11,2,41,1,zg,1270273314115,1270,127027331,1,o,2020-06-24 06:33:34.852,2459024.7733102,38
241.592366,-22.790194,5.2399,4.3487,0.2114,5.8756,16.03,1,241.810,-22.858,20200627226690,278,11,2,41,1,zg,1273226704115,1273,127322670,1,o,2020-06-27 05:26:27.128,2459027.7267014,39
241.589806,-22.788562,5.2399,4.3489,0.2168,5.8801,16.03,1,241.813,-22.857,20200627251910,278,11,2,41,2,zr,1273252064115,1273,127325206,1,o,2020-06-27 06:02:58.957,2459027.7520602,40
240.819484,-22.229887,5.2385,4.4309,0.4391,7.3522,16.15,1,240.742,-21.797,20200706271296,278,16,4,63,2,zr,1282271556315,1282,128227155,1,o,2020-07-06 06:31:02.724,2459036.7715509,41
240.622048,-22.060672,5.238,4.4611,0.2948,7.7795,16.19,1,240.756,-21.794,20200709170081,278,16,4,63,1,zg,1285170246315,1285,128517024,1,o,2020-07-09 04:05:09.718,2459039.6702431,42
240.616653,-22.056027,5.238,4.4619,0.2882,7.7913,16.19,1,240.753,-21.798,20200709250891,278,16,4,63,2,zr,1285251036315,1285,128525103,1,o,2020-07-09 06:01:29.078,2459039.7510301,43
240.389162,-21.834499,5.2374,4.5059,0.3271,8.3356,16.24,1,240.739,-21.799,20200713209132,278,16,4,63,1,zg,1289209276315,1289,128920927,1,o,2020-07-13 05:01:21.762,2459043.7092708,44
240.386901,-21.832211,5.2374,4.5064,0.3295,8.3412,16.24,1,240.740,-21.801,20200713250671,278,16,4,63,2,zr,1289250996315,1289,128925099,1,o,2020-07-13 06:01:26.532,2459043.7509954,45
282.643361,-14.216687,5.1973,5.0283,0.4708,11.0708,16.6,1,282.358,-14.598,20210406463449,334,15,3,58,1,zg,1556463445815,1556,155646344,1,o,2021-04-06 11:07:22.424,2459310.9634491,46
282.64496,-14.214929,5.1973,5.0279,0.4695,11.0705,16.6,1,282.359,-14.595,20210406489340,334,15,3,58,2,zr,1556489345815,1556,155648934,1,o,2021-04-06 11:44:39.739,2459310.9893403,47
282.821155,-14.011894,5.1969,4.9813,0.5034,11.0304,16.57,1,283.252,-13.732,20210409458333,334,15,1,56,2,zr,1559458345615,1559,155945834,1,o,2021-04-09 11:00:01.367,2459313.9583449,48
282.823295,-14.009105,5.1969,4.9806,0.5017,11.0296,16.57,1,283.251,-13.729,20210409499213,334,15,1,56,1,zg,1559499225615,1559,155949922,1,o,2021-04-09 11:58:53.068,2459313.9992245,49
283.013998,-13.738506,5.1963,4.9192,0.2282,10.9363,16.54,1,283.249,-13.731,20210413440208,334,15,1,56,2,zr,1563440205615,1563,156344020,1,o,2021-04-13 10:33:54.275,2459317.9402083,50
283.126552,-13.530551,5.1959,4.8727,0.4094,10.8335,16.52,1,283.041,-13.130,20210416463102,384,1,3,2,2,zr,1566463110215,1566,156646311,1,o,2021-04-16 11:06:53.178,2459320.9631134,51
283.157771,-13.460591,5.1958,4.8571,0.278,10.7927,16.51,1,283.248,-13.725,20210417479792,334,15,1,56,2,zr,1567479895615,1567,156747989,1,o,2021-04-17 11:31:03.709,2459321.9798958,52
283.209479,-13.323064,5.1955,4.8268,0.4081,10.7037,16.49,1,283.261,-13.728,20210419479282,334,15,1,56,1,zg,1569479285615,1569,156947928,1,o,2021-04-19 11:30:10.249,2459323.9792824,53
283.209519,-13.322928,5.1955,4.8268,0.4052,10.7036,16.49,1,283.252,-13.726,20210419481215,334,15,1,56,2,zr,1569481265615,1569,156948126,1,o,2021-04-19 11:33:01.362,2459323.9812616,54
283.230506,-13.254191,5.1953,4.8117,0.2162,10.6545,16.48,1,283.046,-13.133,20210420481088,384,1,3,2,1,zg,1570481300215,1570,157048130,1,o,2021-04-20 11:33:05.228,2459324.9813079,55
283.286587,-12.914326,5.1947,4.7384,0.3227,10.3669,16.43,1,283.042,-13.132,20210425439884,384,1,3,2,2,zr,1575439880215,1575,157543988,1,o,2021-04-25 10:33:26.578,2459329.9398843,56
283.22915,-12.439765,5.1937,4.6395,0.2482,9.8357,16.36,1,283.043,-12.271,20210502434606,384,1,2,1,1,zg,1582434710115,1582,158243471,1,o,2021-05-02 10:25:59.786,2459336.9347106,57
283.228244,-12.437054,5.1937,4.639,0.2464,9.8321,16.36,1,283.045,-12.268,20210502475104,384,1,2,1,2,zr,1582475110115,1582,158247511,1,o,2021-05-02 11:24:10.689,2459336.9751157,58
283.155855,-12.239654,5.1933,4.5991,0.1113,9.5641,16.33,1,283.046,-12.270,20210505423322,384,1,2,1,1,zg,1585423330115,1585,158542333,1,o,2021-05-05 10:09:36.640,2459339.9233333,59
283.154607,-12.237077,5.1933,4.5986,0.1165,9.5604,16.33,1,283.040,-12.268,20210505462106,384,1,2,1,2,zr,1585462110115,1585,158546211,1,o,2021-05-05 11:05:27.091,2459339.9621181,60
283.08987,-12.105754,5.193,4.5726,0.176,9.3659,16.31,1,283.040,-12.275,20210507440764,384,1,2,1,2,zr,1587440760115,1587,158744076,1,o,2021-05-07 10:34:42.689,2459341.9407639,61
283.089033,-12.104331,5.193,4.5723,0.1758,9.3637,16.31,1,283.042,-12.274,20210507462315,384,1,2,1,1,zg,1587462320115,1587,158746232,1,o,2021-05-07 11:05:45.157,2459341.9623264,62
282.967527,-11.908647,5.1926,4.5343,0.3649,9.0494,16.27,1,283.043,-12.266,20210510441273,384,1,2,1,1,zg,1590441270115,1590,159044127,1,o,2021-05-10 10:35:27.077,2459344.9412731,63
282.761459,-11.65173,5.1921,4.486,0.5075,8.5911,16.22,1,283.034,-11.221,20210514419132,384,5,3,18,2,zr,1594419131815,1594,159441913,1,o,2021-05-14 10:03:33.928,2459348.9191319,64
282.760121,-11.650329,5.1921,4.4857,0.5101,8.5884,16.22,1,283.040,-11.221,20210514441111,384,5,3,18,1,zg,1594441111815,1594,159444111,1,o,2021-05-14 10:35:12.482,2459348.9411111,65
282.436967,-11.339809,5.1914,4.4298,0.4208,7.9616,16.16,1,282.023,-11.228,20210519377350,384,6,4,23,1,zg,1599377342315,1599,159937734,1,o,2021-05-19 09:03:23.869,2459353.8773495,66
282.205883,-11.156297,5.191,4.3983,0.1935,7.5522,16.13,1,282.018,-11.215,20210522376435,384,6,4,23,2,zr,1602376432315,1602,160237643,1,o,2021-05-22 09:02:04.434,2459356.8764352,67
282.200587,-11.152502,5.191,4.3976,0.1877,7.5432,16.12,1,282.019,-11.213,20210522439306,384,6,4,23,1,zg,1602439312315,1602,160243931,1,o,2021-05-22 10:32:37.580,2459356.9393171,68
281.947954,-10.975804,5.1906,4.3685,0.2667,7.1203,16.09,1,282.020,-11.233,20210525397697,384,6,4,23,2,zr,1605397712315,1605,160539771,1,o,2021-05-25 09:32:43.310,2459359.8977199,69
281.471317,-10.688787,5.19,4.3239,0.4532,6.3727,16.02,1,281.149,-10.365,20210530377986,384,6,2,21,1,zg,1610377982115,1610,161037798,1,o,2021-05-30 09:04:18.210,2459364.8779861,70
281.466933,-10.68644,5.19,4.3235,0.4516,6.3661,16.02,1,281.146,-10.364,20210530419769,384,6,2,21,2,zr,1610419782115,1610,161041978,1,o,2021-05-30 10:04:29.156,2459364.9197801,71
281.153234,-10.521805,5.1896,4.2998,0.1556,5.903,15.98,1,281.151,-10.366,20210602396273,384,6,2,21,2,zr,1613396302115,1613,161339630,1,o,2021-06-02 09:30:41.342,2459367.8963079,72
281.150713,-10.520579,5.1896,4.2996,0.1573,5.8994,15.98,1,281.147,-10.364,20210602418808,384,6,2,21,1,zg,1613418842115,1613,161341884,1,o,2021-06-02 10:03:08.793,2459367.9188426,73
280.931493,-10.414361,5.1893,4.285,0.2186,5.5876,15.95,1,281.148,-10.366,20210604394907,384,6,2,21,1,zg,1615394942115,1615,161539494,1,o,2021-06-04 09:28:43.595,2459369.8949421,74
280.928612,-10.413043,5.1893,4.2849,0.2231,5.5836,15.95,1,281.150,-10.365,20210604419734,384,6,2,21,2,zr,1615419742115,1615,161541974,1,o,2021-06-04 10:04:26.656,2459369.9197454,75
280.341829,-10.157336,5.1887,4.2528,0.2829,4.796,15.89,1,280.142,-10.360,20210609394074,384,7,1,24,1,zg,1620394072415,1620,162039407,1,o,2021-06-09 09:27:28.885,2459374.8940741,76
280.338503,-10.156019,5.1887,4.2526,0.2777,4.7917,15.89,1,280.146,-10.359,20210609420556,384,7,1,24,2,zr,1620420552415,1620,162042055,1,o,2021-06-09 10:05:36.992,2459374.9205556,77
280.096418,-10.060576,5.1884,4.2419,0.3073,4.4877,15.86,1,280.144,-10.365,20210611371100,384,7,1,24,1,zg,1622371202415,1622,162237120,1,o,2021-06-11 08:54:32.795,2459376.8712037,78
279.843845,-9.966321,5.1882,4.232,0.4875,4.1852,15.84,1,280.139,-10.358,20210613357049,384,7,1,24,1,zg,1624357042415,1624,162435704,1,o,2021-06-13 08:34:09.813,2459378.8570486,79
279.838903,-9.96457,5.1881,4.2318,0.5008,4.1795,15.84,1,280.151,-10.360,20210613394560,384,7,1,24,2,zr,1624394562415,1624,162439456,1,o,2021-06-13 09:28:10.468,2459378.8945602,80
279.053557,-9.701102,5.1874,4.209,0.4448,3.3619,15.77,1,279.271,-9.312,20210619335833,384,11,3,42,2,zr,1630335844215,1630,163033584,1,o,2021-06-19 08:03:38.085,2459384.8358449,81
278.781915,-9.618929,5.1871,4.2036,0.2592,3.1366,15.75,1,278.529,-9.550,20210621333183,1429,3,4,11,1,zg,1632333181115,1632,163233318,1,o,2021-06-21 07:59:47.722,2459386.8331829,82
278.781849,-9.61891,5.1871,4.2036,0.2591,3.1365,15.75,1,278.529,-9.550,20210621333646,1429,3,4,11,1,zg,1632333651115,1632,163233365,1,o,2021-06-21 08:00:28.498,2459386.8336574,83
278.106028,-9.431438,5.1865,4.1952,0.2004,2.763,15.71,1,278.262,-9.303,20210626232928,384,12,4,47,1,zg,1637232924715,1637,163723292,1,o,2021-06-26 05:35:25.991,2459391.7329282,84
