ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
269.122119,-18.565204,5.722,6.0946,0.1416,8.9739,17.2,1,269.058,-18.438,20171019099942,332,7,4,27,2,zr,291099952715,291,29109995,1,o,2017-10-19 02:23:56,2458045.5999537,0
269.122194,-18.565221,5.722,6.0946,0.5484,8.9739,17.2,1,269.557,-18.205,20171019100486,1324,15,3,58,2,zr,291100485815,291,29110048,1,o,2017-10-19 02:24:42,2458045.6004861,1
303.417744,-19.161956,5.6242,5.2116,0.327,9.7661,16.86,1,303.516,-19.476,20180511485069,337,3,2,9,2,zr,495485120915,495,49548512,1,o,2018-05-11 11:38:35.440,2458249.9851273,2
303.474431,-19.314266,5.6202,5.1056,0.1384,9.3228,16.79,1,303.514,-19.448,20180518418623,337,3,2,9,2,zr,502418630915,502,50241863,1,o,2018-05-18 10:02:50.153,2458256.9186343,3
303.453852,-19.392077,5.6185,5.0614,0.0784,9.0864,16.76,1,303.514,-19.447,20180521420718,337,3,2,9,1,zg,505420720915,505,50542072,1,o,2018-05-21 10:05:51.215,2458259.9207292,4
303.453309,-19.393151,5.6184,5.0608,0.077,9.0831,16.76,1,303.516,-19.443,20180521459838,337,3,2,9,2,zr,505459830915,505,50545983,1,o,2018-05-21 11:02:10.888,2458259.959838,5
303.385471,-19.505484,5.6162,5.005,0.1364,8.7345,16.72,1,303.515,-19.446,20180525376956,337,3,2,9,2,zr,509377070915,509,50937707,1,o,2018-05-25 09:02:59.185,2458263.8770718,6
303.383355,-19.508003,5.6161,5.0038,0.144,8.7265,16.72,1,303.517,-19.440,20180525458912,337,3,2,9,1,zg,509459300915,509,50945930,1,o,2018-05-25 11:01:24.156,2458263.9593056,7
303.268155,-19.633197,5.6138,4.9501,0.3036,8.33,16.67,1,303.514,-19.438,20180529395660,337,3,2,9,2,zr,513395670915,513,51339567,1,o,2018-05-29 09:29:46.198,2458267.8956713,8
303.264931,-19.636056,5.6138,4.9489,0.3153,8.3207,16.67,1,303.520,-19.433,20180529480799,337,3,2,9,1,zg,513480820915,513,51348082,1,o,2018-05-29 11:32:23.798,2458267.9808218,9
