ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
277.063631,-4.144561,5.6793,6.1726,0.2635,8.33,17.23,1,276.823,-4.036,20171106138646,435,7,4,27,1,zg,309138652715,309,30913865,1,o,2017-11-06 03:19:40,2458063.6386574,0
277.06477,-4.144765,5.6793,6.1726,0.2645,8.3294,17.23,1,276.822,-4.038,20171106145729,435,7,4,27,1,zg,309145722715,309,30914572,1,o,2017-11-06 03:29:51,2458063.6457292,1
306.197716,1.714565,5.6629,5.7536,0.4968,10.0489,17.16,1,305.916,2.124,20180418501019,491,4,2,13,2,zr,472501031315,472,47250103,1,o,2018-04-18 12:01:29,2458227.0010301,2
306.446794,1.937209,5.6624,5.7093,0.3888,10.1268,17.14,1,306.781,2.137,20180421501887,491,4,1,12,1,zg,475501931215,475,47550193,1,o,2018-04-21 12:02:47.611,2458230.0019329,3
306.93809,2.443282,5.6612,5.6064,0.3666,10.2353,17.11,1,306.778,2.114,20180428433958,491,4,1,12,1,zg,482433991215,482,48243399,1,o,2018-04-28 10:24:57.636,2458236.9339931,4
307.355521,3.009759,5.6598,5.4868,0.4473,10.23,17.06,1,307.777,3.160,20180506480775,491,7,3,26,2,zr,490480792615,490,49048079,1,o,2018-05-06 11:32:21.027,2458244.9807986,5
307.467052,3.211965,5.6592,5.4428,0.312,10.1911,17.04,1,307.777,3.172,20180509461481,491,7,3,26,2,zr,493461492615,493,49346149,1,o,2018-05-09 11:04:33.332,2458247.9614931,6
307.468078,3.214168,5.6592,5.4424,0.3112,10.1904,17.04,1,307.777,3.174,20180509494340,491,7,3,26,1,zg,493494342615,493,49349434,1,o,2018-05-09 11:51:51.729,2458247.9943403,7
307.656969,3.787137,5.6576,5.3129,0.297,9.9489,16.98,1,307.774,4.060,20180518420475,491,7,2,25,2,zr,502420502515,502,50242050,1,o,2018-05-18 10:05:32.958,2458256.9205093,8
307.657244,3.789633,5.6576,5.3124,0.2973,9.9473,16.98,1,307.776,4.063,20180518461331,491,7,2,25,2,zr,502461352515,502,50246135,1,o,2018-05-18 11:04:21.678,2458256.9613542,9
307.671188,3.966873,5.657,5.2705,0.1403,9.8254,16.95,1,307.775,4.062,20180521423067,491,7,2,25,1,zg,505423072515,505,50542307,1,o,2018-05-21 10:09:14.549,2458259.9230787,10
307.671126,3.969088,5.657,5.27,0.1424,9.8236,16.95,1,307.777,4.065,20180521460775,491,7,2,25,2,zr,505460822515,505,50546082,1,o,2018-05-21 11:03:35.045,2458259.9608218,11
307.660278,4.141026,5.6564,5.2284,0.137,9.6789,16.93,1,307.776,4.068,20180524460903,491,7,2,25,1,zg,508460912515,508,50846091,1,o,2018-05-24 11:03:43.174,2458262.9609144,12
307.660048,4.142294,5.6564,5.2281,0.138,9.6777,16.93,1,307.778,4.071,20180524483530,491,7,2,25,2,zr,508483542515,508,50848354,1,o,2018-05-24 11:36:18.693,2458262.9835417,13
307.609315,4.353097,5.6556,5.1755,0.3287,9.4591,16.89,1,307.774,4.068,20180528376227,491,7,2,25,2,zr,512376232515,512,51237623,1,o,2018-05-28 09:01:47.056,2458266.8762384,14
307.60803,4.356369,5.6556,5.1747,0.3291,9.4552,16.89,1,307.777,4.074,20180528438252,491,7,2,25,1,zg,512438722515,512,51243872,1,o,2018-05-28 10:31:46.051,2458266.9387269,15
307.540768,4.507532,5.655,5.1355,0.4913,9.2643,16.87,1,307.776,4.076,20180531418634,491,7,2,25,2,zr,515418662515,515,51541866,1,o,2018-05-31 10:02:53.446,2458269.918669,16
307.539583,4.509541,5.655,5.135,0.4923,9.2615,16.87,1,307.778,4.079,20180531459201,491,7,2,25,1,zg,515459452515,515,51545945,1,o,2018-05-31 11:01:37.373,2458269.959456,17
307.142054,4.943236,5.653,5.0125,0.3859,8.4849,16.77,1,306.783,5.089,20180610419097,491,12,4,47,2,zr,525419104715,525,52541910,1,o,2018-06-10 10:03:31.565,2458279.9191088,18
307.140608,4.944216,5.653,5.0122,0.3814,8.4825,16.77,1,306.785,5.084,20180610445185,491,12,4,47,1,zg,525445184715,525,52544518,1,o,2018-06-10 10:41:04.587,2458279.9451852,19
306.973317,5.049463,5.6523,4.9788,0.2026,8.2146,16.74,1,306.782,5.118,20180613399630,491,12,4,47,1,zg,528399644715,528,52839964,1,o,2018-06-13 09:35:29.395,2458282.8996412,20
306.781522,5.144354,5.6517,4.9464,0.0416,7.9274,16.72,1,306.783,5.103,20180616398449,491,12,4,47,2,zr,531398444715,531,53139844,1,o,2018-06-16 09:33:46.845,2458285.8984491,21
306.710069,5.174306,5.6515,4.9356,0.3388,7.8246,16.7,1,306.577,4.863,20180617436400,1537,3,4,11,1,zg,532436511115,532,53243651,1,o,2018-06-17 10:28:35.216,2458286.9365162,22
306.567344,5.227148,5.6511,4.9155,0.2405,7.6247,16.68,1,306.783,5.119,20180619414456,491,12,4,47,1,zg,534414454715,534,53441445,1,o,2018-06-19 09:56:49.676,2458288.914456,23
306.565238,5.227839,5.6511,4.9153,0.2443,7.6219,16.68,1,306.786,5.121,20180619441782,491,12,4,47,2,zr,534441794715,534,53444179,1,o,2018-06-19 10:36:11.872,2458288.941794,24
306.248333,5.317599,5.6502,4.8769,0.4128,7.2011,16.64,1,305.919,5.068,20180623462303,491,12,3,46,2,zr,538462404615,538,53846240,1,o,2018-06-23 11:05:52.385,2458292.9624074,25
305.719333,5.405957,5.6489,4.8262,0.364,6.555,16.58,1,305.915,5.098,20180629418877,491,12,3,46,2,zr,544418944615,544,54441894,1,o,2018-06-29 10:03:17.437,2458298.9189468,26
305.438908,5.429073,5.6482,4.8044,0.3826,6.238,16.56,1,305.357,5.055,20180702317928,490,9,4,35,1,zg,547317953515,547,54731795,1,o,2018-07-02 07:37:51.772,2458301.8179514,27
305.432725,5.42942,5.6482,4.8039,0.379,6.2312,16.56,1,305.360,5.057,20180702378669,490,9,4,35,2,zr,547378663515,547,54737866,1,o,2018-07-02 09:05:17.835,2458301.878669,28
305.129812,5.439014,5.6475,4.7836,0.4387,5.9089,16.53,1,305.359,5.065,20180705360046,490,9,4,35,2,zr,550360083515,550,55036008,1,o,2018-07-05 08:38:31.850,2458304.860081,29
305.123309,5.439062,5.6475,4.7832,0.4442,5.9023,16.53,1,305.362,5.064,20180705421100,490,9,4,35,1,zg,550421113515,550,55042111,1,o,2018-07-05 10:06:24.285,2458304.9211111,30
304.814788,5.434352,5.6468,4.7654,0.4704,5.5962,16.5,1,304.491,5.092,20180708336400,490,9,3,34,1,zg,553336413415,553,55333641,1,o,2018-07-08 08:04:26.092,2458307.836412,31
304.808173,5.434113,5.6468,4.765,0.465,5.5899,16.5,1,304.492,5.092,20180708396250,490,9,3,34,2,zr,553396263415,553,55339626,1,o,2018-07-08 09:30:37.023,2458307.8962616,32
304.486172,5.415133,5.6461,4.7492,0.2946,5.2965,16.47,1,304.492,5.121,20180711335856,490,9,3,34,1,zg,556335853415,556,55633585,1,o,2018-07-11 08:03:38.881,2458310.8358565,33
304.481461,5.414767,5.6461,4.749,0.296,5.2925,16.47,1,304.495,5.119,20180711376875,490,9,3,34,2,zr,556377213415,556,55637721,1,o,2018-07-11 09:03:11.686,2458310.8772106,34
304.145968,5.381014,5.6454,4.7353,0.4565,5.0181,16.45,1,304.494,5.084,20180714355451,490,9,3,34,1,zg,559355463415,559,55935546,1,o,2018-07-14 08:31:52.356,2458313.855463,35
304.143422,5.380713,5.6454,4.7352,0.4572,5.0162,16.45,1,304.494,5.085,20180714377280,490,9,3,34,2,zr,559377283415,559,55937728,1,o,2018-07-14 09:03:17.853,2458313.8772801,36
303.803277,5.3329,5.6447,4.7239,0.3814,4.7746,16.43,1,303.494,5.109,20180717334873,490,10,4,39,2,zr,562334883915,562,56233488,1,o,2018-07-17 08:02:14.225,2458316.8348843,37
303.3329,5.245553,5.6438,4.7123,0.2333,4.5105,16.41,1,303.493,5.075,20180721357535,490,10,4,39,2,zr,566357543915,566,56635754,1,o,2018-07-21 08:34:52.013,2458320.8575463,38
