ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
283.175477,-22.07799,5.4909,5.7935,0.3439,9.6274,16.88,1,283.311,-21.758,20171028161863,283,13,4,51,2,zr,300161875115,300,30016187,1,o,2017-10-28 03:53:06,2458054.661875,0
284.562387,-21.841217,5.4924,5.9233,0.134,8.9789,16.9,1,284.693,-21.785,20171106153565,284,16,4,63,1,zg,309153566315,309,30915356,1,o,2017-11-06 03:41:08,2458063.6535648,1
284.56427,-21.840887,5.4924,5.9234,0.1292,8.978,16.9,1,284.691,-21.788,20171106165197,284,16,4,63,1,zg,309165206315,309,30916520,1,o,2017-11-06 03:57:54,2458063.6652083,2
285.917364,-21.61091,5.4936,6.0304,0.2318,8.283,16.9,1,285.768,-21.797,20171114125312,284,15,3,58,2,zr,317125325815,317,31712532,1,o,2017-11-14 03:00:28,2458071.6253241,3
317.802736,-12.099714,5.5124,5.3507,0.467,10.5305,16.76,1,318.245,-12.276,20180511479734,389,1,2,1,2,zr,495479840115,495,49547984,1,o,2018-05-11 11:30:59.351,2458249.9798495,4
318.28214,-11.550414,5.5131,5.1369,0.3494,10.1354,16.66,1,318.241,-11.204,20180525377523,389,5,3,18,2,zr,509377551815,509,50937755,1,o,2018-05-25 09:03:41.111,2458263.8775579,5
318.283197,-11.547601,5.5131,5.1357,0.3568,10.1313,16.66,1,318.242,-11.194,20180525460220,389,5,3,18,1,zg,509460231815,509,50946023,1,o,2018-05-25 11:02:44.206,2458263.9602315,6
318.318345,-11.418543,5.5133,5.0774,0.2382,9.9184,16.62,1,318.239,-11.194,20180529397523,389,5,3,18,2,zr,513397531815,513,51339753,1,o,2018-05-29 09:32:27.202,2458267.8975347,7
318.318392,-11.417271,5.5133,5.0767,0.2421,9.9158,16.62,1,318.242,-11.187,20180529438322,389,5,3,18,1,zg,513438701815,513,51343870,1,o,2018-05-29 10:31:44.121,2458267.9387037,8
318.31454,-11.326799,5.5135,5.033,0.1511,9.7215,16.59,1,318.242,-11.194,20180601458437,389,5,3,18,1,zg,516458561815,516,51645856,1,o,2018-06-01 11:00:20.188,2458270.9585648,9
318.250996,-11.194524,5.5137,4.9632,0.0305,9.3447,16.54,1,318.241,-11.166,20180606417141,389,5,3,18,2,zr,521417781815,521,52141778,1,o,2018-06-06 10:01:37.273,2458275.9177894,10
318.250048,-11.193498,5.5137,4.9626,0.0313,9.3411,16.54,1,318.242,-11.164,20180606459873,389,5,3,18,1,zg,521459871815,521,52145987,1,o,2018-06-06 11:02:13.569,2458275.9598727,11
318.17782,-11.124604,5.5138,4.9224,0.1166,9.0817,16.51,1,318.242,-11.223,20180609417743,389,5,3,18,1,zg,524417751815,524,52441775,1,o,2018-06-09 10:01:34.247,2458278.9177546,12
318.176508,-11.123688,5.5138,4.9219,0.1158,9.0778,16.51,1,318.243,-11.220,20180609459688,389,5,3,18,2,zr,524459681815,524,52445968,1,o,2018-06-09 11:01:57.946,2458278.9596875,13
318.076134,-11.061253,5.5139,4.8822,0.2132,8.786,16.48,1,318.244,-11.197,20180612479525,389,5,3,18,2,zr,527479521815,527,52747952,1,o,2018-06-12 11:30:31.650,2458281.9795255,14
317.954649,-11.008479,5.514,4.8451,0.3472,8.4795,16.45,1,318.241,-11.212,20180615396748,389,5,3,18,1,zg,530396901815,530,53039690,1,o,2018-06-15 09:31:33.597,2458284.8969097,15
317.951585,-11.007428,5.514,4.8443,0.3582,8.4724,16.45,1,318.244,-11.222,20180615460069,389,5,3,18,2,zr,530460101815,530,53046010,1,o,2018-06-15 11:02:33.581,2458284.9601042,16
317.80341,-10.961701,5.5141,4.8082,0.4919,8.1363,16.41,1,318.241,-11.201,20180618417720,389,5,3,18,1,zg,533417901815,533,53341790,1,o,2018-06-18 10:01:47.555,2458287.9179051,17
317.628586,-10.923125,5.5142,4.7732,0.501,7.7707,16.38,1,317.229,-11.236,20180621418287,389,6,4,23,1,zg,536418292315,536,53641829,1,o,2018-06-21 10:02:21.328,2458290.9182986,18
317.625774,-10.922629,5.5142,4.7727,0.4961,7.7652,16.38,1,317.232,-11.234,20180621461505,389,6,4,23,2,zr,536461512315,536,53646151,1,o,2018-06-21 11:04:35.772,2458290.9615162,19
317.43001,-10.892355,5.5143,4.74,0.4002,7.3814,16.34,1,317.230,-11.242,20180624417431,389,6,4,23,1,zg,539417882315,539,53941788,1,o,2018-06-24 10:01:45.897,2458293.9178819,20
317.425431,-10.891793,5.5143,4.7393,0.3916,7.3728,16.34,1,317.233,-11.235,20180624480648,389,6,4,23,2,zr,539480702315,539,53948070,1,o,2018-06-24 11:32:13.130,2458293.980706,21
317.130406,-10.863346,5.5144,4.6986,0.3674,6.828,16.29,1,317.229,-11.218,20180628408380,389,6,4,23,2,zr,543408422315,543,54340842,1,o,2018-06-28 09:48:08.296,2458297.9084259,22
316.703556,-10.845859,5.5145,4.6518,0.5241,6.0857,16.23,1,316.345,-11.234,20180703380938,389,6,3,22,2,zr,548380972215,548,54838097,1,o,2018-07-03 09:08:36.906,2458302.8809722,23
316.699851,-10.845804,5.5145,4.6515,0.5198,6.0796,16.22,1,316.347,-11.234,20180703420220,389,6,3,22,1,zg,548420232215,548,54842023,1,o,2018-07-03 10:05:08.361,2458302.9202315,24
316.41738,-10.845062,5.5146,4.6263,0.3818,5.6092,16.18,1,316.346,-11.221,20180706398449,389,6,3,22,2,zr,551398462215,551,55139846,1,o,2018-07-06 09:33:47.160,2458305.8984606,25
316.413081,-10.845101,5.5146,4.6259,0.3808,5.6022,16.18,1,316.348,-11.221,20180706441076,389,6,3,22,1,zg,551441072215,551,55144107,1,o,2018-07-06 10:35:09.609,2458305.9410764,26
315.688408,-10.870062,5.5148,4.576,0.4913,4.4479,16.09,1,315.341,-11.224,20180713354861,389,7,4,27,1,zg,558355432715,558,55835543,1,o,2018-07-13 08:31:50.809,2458312.8554398,27
315.683428,-10.870334,5.5148,4.5757,0.4843,4.4403,16.09,1,315.344,-11.222,20180713399097,389,7,4,27,2,zr,558399142715,558,55839914,1,o,2018-07-13 09:34:46.334,2458312.8991435,28
315.347911,-10.891703,5.5148,4.5583,0.3188,3.9265,16.04,1,315.341,-11.211,20180716356562,389,7,4,27,2,zr,561356562715,561,56135656,1,o,2018-07-16 08:33:27.836,2458315.8565625,29
315.343092,-10.892039,5.5148,4.5581,0.3174,3.9193,16.04,1,315.344,-11.210,20180716397141,389,7,4,27,1,zg,561397182715,561,56139718,1,o,2018-07-16 09:31:57.209,2458315.8971875,30
314.994614,-10.919336,5.5149,4.543,0.4652,3.3987,16.0,1,315.339,-11.240,20180719356771,389,7,4,27,2,zr,564356782715,564,56435678,1,o,2018-07-19 08:33:46.109,2458318.8567824,31
314.989649,-10.919748,5.5149,4.5428,0.4712,3.3915,16.0,1,315.342,-11.240,20180719397257,389,7,4,27,1,zg,564397292715,564,56439729,1,o,2018-07-19 09:32:06.612,2458318.8972917,32
314.625292,-10.953023,5.5149,4.5302,0.3233,2.8634,15.95,1,314.459,-11.233,20180722397755,389,7,3,26,1,zg,567397802615,567,56739780,1,o,2018-07-22 09:32:50.337,2458321.8978009,33
314.249591,-10.991676,5.5149,4.52,0.2912,2.3419,15.91,1,314.460,-11.197,20180725417477,389,7,3,26,1,zg,570417802615,570,57041780,1,o,2018-07-25 10:01:38.683,2458324.9178009,34
313.621731,-11.064827,5.515,4.5091,0.2314,1.5706,15.83,1,313.432,-11.203,20180730355567,389,8,4,31,2,zr,575355613115,575,57535561,1,o,2018-07-30 08:32:05.390,2458329.8556134,35
313.616036,-11.065514,5.515,4.509,0.2256,1.5647,15.83,1,313.434,-11.203,20180730398958,389,8,4,31,1,zg,575399003115,575,57539900,1,o,2018-07-30 09:34:34.469,2458329.8990046,36
313.237921,-11.11416,5.515,4.506,0.203,1.2417,15.8,1,313.432,-11.184,20180802334618,389,8,4,31,2,zr,578334653115,578,57833465,1,o,2018-08-02 08:01:54.422,2458332.8346528,37
313.221753,-11.11624,5.515,4.5059,0.2208,1.2323,15.79,1,313.433,-11.193,20180802457326,389,8,4,31,1,zg,578457333115,578,57845733,1,o,2018-08-02 10:58:34.452,2458332.957338,38
312.465076,-11.222864,5.5151,4.5077,0.1112,1.3352,15.81,1,312.567,-11.174,20180808322581,389,8,3,30,2,zr,584322593015,584,58432259,1,o,2018-08-08 07:44:32.209,2458338.8225926,39
312.465016,-11.222872,5.5151,4.5077,0.3821,1.3352,15.81,1,312.078,-11.180,20180808323044,388,5,4,19,2,zr,584323051915,584,58432305,1,o,2018-08-08 07:45:12.036,2458338.8230556,40
312.464657,-11.222924,5.5151,4.5077,0.1113,1.3355,15.81,1,312.566,-11.174,20180808325787,389,8,3,30,2,zr,584325783015,584,58432578,1,o,2018-08-08 07:49:08.990,2458338.825787,41
312.464295,-11.222977,5.5151,4.5077,0.3819,1.3358,15.81,1,312.078,-11.180,20180808328542,388,5,4,19,2,zr,584328541915,584,58432854,1,o,2018-08-08 07:53:06.844,2458338.8285417,42
312.460318,-11.22355,5.5151,4.5077,0.3778,1.339,15.81,1,312.078,-11.180,20180808358831,388,5,4,19,1,zg,584358831915,584,58435883,1,o,2018-08-08 08:36:43.967,2458338.858831,43
312.460257,-11.223559,5.5151,4.5077,0.1167,1.3391,15.81,1,312.568,-11.174,20180808359282,389,8,3,30,1,zg,584359293015,584,58435929,1,o,2018-08-08 08:37:23.792,2458338.859294,44
312.460137,-11.223576,5.5151,4.5077,0.1168,1.3392,15.81,1,312.568,-11.174,20180808360208,389,8,3,30,1,zg,584360203015,584,58436020,1,o,2018-08-08 08:38:42.946,2458338.8602083,45
312.460076,-11.223585,5.5151,4.5077,0.3776,1.3392,15.81,1,312.078,-11.180,20180808360660,388,5,4,19,1,zg,584360671915,584,58436067,1,o,2018-08-08 08:39:22.873,2458338.8606713,46
312.083474,-11.280809,5.5151,4.5126,0.0804,1.717,15.85,1,312.077,-11.201,20180811309468,388,5,4,19,1,zg,587309461915,587,58730946,1,o,2018-08-11 07:25:38.620,2458341.8094676,47
312.083355,-11.280827,5.5151,4.5126,0.0804,1.7171,15.85,1,312.077,-11.201,20180811310382,388,5,4,19,1,zg,587310381915,587,58731038,1,o,2018-08-11 07:26:57.771,2458341.8103819,48
311.955371,-11.300855,5.5151,4.5148,0.154,1.87,15.86,1,312.076,-11.203,20180812321030,388,5,4,19,2,zr,588321031915,588,58832103,1,o,2018-08-12 07:42:17.886,2458342.8210301,49
311.830271,-11.320726,5.5151,4.5173,0.273,2.0275,15.88,1,312.077,-11.194,20180813314595,388,5,4,19,2,zr,589315031915,589,58931503,1,o,2018-08-13 07:33:39.696,2458343.8150347,50
311.700363,-11.341633,5.5151,4.5203,0.4135,2.1978,15.89,1,312.077,-11.157,20180814353137,388,5,4,19,1,zg,590353131915,590,59035313,1,o,2018-08-14 08:28:31.853,2458344.8531366,51
311.700246,-11.341651,5.5151,4.5203,0.4132,2.1979,15.89,1,312.077,-11.157,20180814354051,388,5,4,19,1,zg,590354051915,590,59035405,1,o,2018-08-14 08:29:50.819,2458344.8540509,52
311.323188,-11.404049,5.5151,4.5308,0.2469,2.7206,15.94,1,311.198,-11.190,20180817416794,388,5,3,18,2,zr,593416841815,593,59341684,1,o,2018-08-17 10:00:15.137,2458347.9168403,53
310.974242,-11.464134,5.5151,4.5433,0.3056,3.2316,15.99,1,311.196,-11.250,20180820335394,388,5,3,18,1,zg,596335451815,596,59633545,1,o,2018-08-20 08:03:03.155,2458350.8354514,54
310.971609,-11.46458,5.5151,4.5434,0.3082,3.2355,15.99,1,311.197,-11.251,20180820357280,388,5,3,18,2,zr,596357331815,596,59635733,1,o,2018-08-20 08:34:34.164,2458350.857338,55
310.201245,-11.605063,5.515,4.5823,0.3486,4.4305,16.09,1,310.179,-11.258,20180827211713,388,6,4,23,2,zr,603211712315,603,60321171,1,o,2018-08-27 05:04:52.791,2458357.711713,56
310.190403,-11.607064,5.515,4.583,0.3482,4.4478,16.09,1,310.184,-11.259,20180827310822,388,6,4,23,2,zr,603310822315,603,60331082,1,o,2018-08-27 07:27:35.799,2458357.8108218,57
309.881451,-11.666708,5.515,4.6039,0.5049,4.9522,16.13,1,310.184,-11.258,20180830291586,388,6,4,23,2,zr,606291582315,606,60629158,1,o,2018-08-30 06:59:53.513,2458360.7915856,58
309.874498,-11.668022,5.515,4.6044,0.5041,4.9637,16.13,1,310.182,-11.265,20180830358982,388,6,4,23,1,zg,606358982315,606,60635898,1,o,2018-08-30 08:36:56.699,2458360.8589815,59
308.637019,-11.932983,5.5148,4.7414,0.5061,7.2161,16.33,1,308.288,-12.307,20180914167222,388,3,1,8,2,zr,621167830815,621,62116783,1,o,2018-09-14 04:01:41.424,2458375.6678356,60
308.454148,-11.977705,5.5148,4.7754,0.3649,7.6115,16.37,1,308.291,-12.306,20180917189444,388,3,1,8,1,zg,624189440815,624,62418944,1,o,2018-09-17 04:32:48.938,2458378.6894444,61
308.209021,-12.042648,5.5147,4.8355,0.2979,8.2107,16.43,1,308.283,-12.332,20180922188009,388,3,1,8,1,zg,629188210815,629,62918821,1,o,2018-09-22 04:31:02.053,2458383.6882176,62
308.09496,-12.076337,5.5146,4.8745,0.3143,8.5428,16.46,1,308.283,-12.332,20180925248310,388,3,1,8,2,zr,632248320815,632,63224832,1,o,2018-09-25 05:57:35.088,2458386.7483218,63
308.036753,-12.095357,5.5145,4.9003,0.3396,8.7413,16.48,1,308.284,-12.334,20180927208681,388,3,1,8,2,zr,634208790815,634,63420879,1,o,2018-09-27 05:00:40.638,2458388.7087963,64
308.01193,-12.104101,5.5145,4.9134,0.3678,8.8364,16.49,1,308.306,-12.333,20180928190868,388,3,1,8,1,zg,635190870815,635,63519087,1,o,2018-09-28 04:34:52.182,2458389.6908796,65
308.011906,-12.104109,5.5145,4.9134,0.367,8.8365,16.49,1,308.306,-12.333,20180928191782,388,3,1,8,1,zg,635191790815,635,63519179,1,o,2018-09-28 04:36:11.043,2458389.691794,66
308.01087,-12.104441,5.5145,4.9139,0.3591,8.8404,16.5,1,308.293,-12.334,20180928231157,388,3,1,8,2,zr,635231160815,635,63523116,1,o,2018-09-28 05:32:53.461,2458389.731169,67
308.010846,-12.104449,5.5145,4.9139,0.3589,8.8405,16.5,1,308.293,-12.334,20180928232072,388,3,1,8,2,zr,635232080815,635,63523208,1,o,2018-09-28 05:34:12.228,2458389.7320833,68
307.918601,-12.154411,5.5143,5.0241,0.3854,9.4995,16.58,1,308.292,-12.279,20181006104734,388,3,1,8,1,zg,643105320815,643,64310532,1,o,2018-10-06 02:31:40.612,2458397.6053241,69
307.933535,-12.163667,5.5142,5.0687,0.3721,9.7044,16.61,1,308.293,-12.287,20181009145509,388,3,1,8,1,zg,646145570815,646,64614557,1,o,2018-10-09 03:29:38.212,2458400.6455787,70
307.933549,-12.163671,5.5142,5.0687,0.3795,9.7046,16.61,1,308.302,-12.283,20181009147303,388,3,1,8,2,zr,646147510815,646,64614751,1,o,2018-10-09 03:32:25.640,2458400.6475116,71
308.9334,-12.032506,5.5133,5.4255,0.4713,10.3744,16.79,1,309.304,-12.335,20181101084016,388,2,2,5,2,zr,669084320515,669,66908432,1,o,2018-11-01 02:01:26.046,2458423.5843287,72
308.933467,-12.032493,5.5133,5.4255,0.4715,10.3744,16.79,1,309.304,-12.335,20181101085231,388,2,2,5,2,zr,669085240515,669,66908524,1,o,2018-11-01 02:02:45.220,2458423.5852431,73
309.094035,-12.002684,5.5132,5.458,0.3461,10.3629,16.8,1,309.307,-12.279,20181103128252,388,2,2,5,1,zg,671128260515,671,67112826,1,o,2018-11-03 03:04:42.257,2458425.6282639,74
309.180058,-11.986303,5.5132,5.4746,0.3199,10.3528,16.81,1,309.296,-12.286,20181104169410,388,2,2,5,1,zg,672169420515,672,67216942,1,o,2018-11-04 04:03:58.429,2458426.6694213,75
309.258249,-11.97127,5.5131,5.4891,0.3101,10.3414,16.81,1,309.300,-12.279,20181105084433,388,2,2,5,2,zr,673084430515,673,67308443,1,o,2018-11-05 02:01:35.574,2458427.5844329,76
309.25838,-11.971243,5.5131,5.4892,0.3136,10.3414,16.81,1,309.306,-12.282,20181105085880,388,2,2,5,2,zr,673085990515,673,67308599,1,o,2018-11-05 02:03:50.973,2458427.5859954,77
309.264838,-11.969942,5.5131,5.4904,0.316,10.3405,16.81,1,309.295,-12.285,20181105162535,388,2,2,5,1,zg,673162550515,673,67316255,1,o,2018-11-05 03:54:05.447,2458427.6625579,78
309.264916,-11.969926,5.5131,5.4904,0.3161,10.3405,16.81,1,309.296,-12.285,20181105163461,388,2,2,5,1,zg,673163470515,673,67316347,1,o,2018-11-05 03:55:24.206,2458427.6634722,79
309.347664,-11.953767,5.5131,5.5053,0.3305,10.3263,16.82,1,309.303,-12.282,20181106103981,388,2,2,5,2,zr,674103990515,674,67410399,1,o,2018-11-06 02:29:45.469,2458428.6039931,80
309.351598,-11.952963,5.5131,5.5061,0.3318,10.3257,16.82,1,309.308,-12.282,20181106149225,388,2,2,5,1,zg,674149230515,674,67414923,1,o,2018-11-06 03:34:54.344,2458428.6492361,81
309.43714,-11.936024,5.513,5.5211,0.3643,10.3091,16.82,1,309.311,-12.279,20181107094271,388,2,2,5,3,zi,675094470515,675,67509447,1,o,2018-11-07 02:16:03.884,2458429.5944792,82
309.437181,-11.936016,5.513,5.5211,0.3643,10.309,16.82,1,309.311,-12.279,20181107094931,388,2,2,5,3,zi,675094940515,675,67509494,1,o,2018-11-07 02:16:43.213,2458429.5949421,83
309.437221,-11.936008,5.513,5.5211,0.3643,10.309,16.82,1,309.311,-12.279,20181107095394,388,2,2,5,3,zi,675095390515,675,67509539,1,o,2018-11-07 02:17:22.642,2458429.5953935,84
309.437263,-11.935999,5.513,5.5211,0.3644,10.309,16.82,1,309.311,-12.279,20181107095845,388,2,2,5,3,zi,675095850515,675,67509585,1,o,2018-11-07 02:18:02.070,2458429.5958565,85
309.437303,-11.935991,5.513,5.5211,0.3644,10.309,16.82,1,309.311,-12.279,20181107096296,388,2,2,5,3,zi,675096300515,675,67509630,1,o,2018-11-07 02:18:41.499,2458429.5963079,86
309.437343,-11.935982,5.513,5.5211,0.3645,10.309,16.82,1,309.311,-12.279,20181107096759,388,2,2,5,3,zi,675096750515,675,67509675,1,o,2018-11-07 02:19:20.929,2458429.5967593,87
