ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
286.542366,-27.395877,4.8179,4.4378,0.1643,11.5443,16.26,1,286.655,-27.527,20180421500810,284,3,4,11,1,zg,475500821115,475,47550082,1,o,2018-04-21 12:01:11.851,2458230.0008218,0
286.681942,-27.425008,4.8156,4.3914,0.1141,11.378,16.23,1,286.657,-27.538,20180424500208,284,3,4,11,1,zg,478500351115,478,47850035,1,o,2018-04-24 12:00:31.384,2458233.0003588,1
286.874649,-27.617485,4.804,4.1736,0.2096,10.0999,16.05,1,286.655,-27.540,20180509458912,284,3,4,11,2,zr,493459061115,493,49345906,1,o,2018-05-09 11:01:03.999,2458247.9590625,2
286.670606,-27.731494,4.7986,4.0818,0.1986,9.2396,15.96,1,286.658,-27.534,20180516479884,284,3,4,11,2,zr,500480011115,500,50048001,1,o,2018-05-16 11:31:13.345,2458254.9800116,3
286.471311,-27.801295,4.7956,4.0334,0.3288,8.6769,15.9,1,286.659,-27.518,20180520480961,284,3,4,11,1,zg,504480971115,504,50448097,1,o,2018-05-20 11:32:36.552,2458258.9809722,4
330.331927,-15.232184,4.5842,4.1371,0.5475,12.0078,16.02,1,329.972,-15.656,20190608420162,341,12,2,45,1,zg,888420164515,888,88842016,1,o,2019-06-08 10:05:02.627,2458642.920162,5
330.171805,-15.328998,4.5774,3.8125,0.367,9.1942,15.71,1,329.984,-15.649,20190703433912,341,12,2,45,1,zg,913434054515,913,91343405,1,o,2019-07-03 10:25:02.776,2458667.9340509,6
330.170351,-15.329482,4.5774,3.8122,0.3639,9.1898,15.71,1,329.982,-15.645,20190703461574,341,12,2,45,2,zr,913461574515,913,91346157,1,o,2019-07-03 11:04:40.822,2458667.9615741,7
330.119359,-15.347493,4.5772,3.8013,0.3188,9.0323,15.69,1,329.986,-15.640,20190704460208,341,12,2,45,3,zi,914460394515,914,91446039,1,o,2019-07-04 11:02:58.410,2458668.9603935,8
330.008924,-15.385998,4.5767,3.7802,0.2619,8.7111,15.66,1,329.982,-15.647,20190706435440,341,12,2,45,1,zg,916435454515,916,91643545,1,o,2019-07-06 10:27:03.265,2458670.9354514,9
330.008867,-15.386016,4.5767,3.7802,0.491,8.711,15.66,1,329.579,-15.650,20190706436354,340,9,1,32,1,zg,916436353215,916,91643635,1,o,2019-07-06 10:28:21.501,2458670.9363542,10
329.883868,-15.42886,4.5762,3.7596,0.2373,8.3723,15.63,1,329.986,-15.645,20190708439132,341,12,2,45,3,zi,918439314515,918,91843931,1,o,2019-07-08 10:32:37.604,2458672.9393171,11
329.883805,-15.42888,4.5762,3.7596,0.3627,8.3722,15.63,1,329.584,-15.649,20190708440220,340,9,1,32,3,zi,918440213215,918,91844021,1,o,2019-07-08 10:33:55.771,2458672.9402199,12
329.747547,-15.474921,4.5757,3.7401,0.2377,8.0243,15.6,1,329.577,-15.647,20190710424329,340,9,1,32,1,zg,920424343215,920,92042434,1,o,2019-07-10 10:11:03.223,2458674.9243403,13
329.743358,-15.476256,4.5757,3.7395,0.2817,8.0142,15.6,1,329.979,-15.644,20190710479734,341,12,2,45,2,zr,920479894515,920,92047989,1,o,2019-07-10 11:31:03.902,2458674.9798958,14
