ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
261.466325,-21.018787,5.7134,6.2039,0.2206,8.3532,16.91,1,261.264,-20.905,20171019095116,280,13,1,48,2,zr,291095114815,291,29109511,1,o,2017-10-19 02:16:58,2458045.5951157,0
261.466674,-21.01881,5.7134,6.2039,0.2101,8.353,16.91,1,261.292,-21.152,20171019097269,1323,8,1,28,2,zr,291097262815,291,29109726,1,o,2017-10-19 02:20:04,2458045.5972685,1
261.46676,-21.018816,5.7134,6.2039,0.2175,8.353,16.91,1,261.663,-20.902,20171019097801,281,16,2,61,2,zr,291097806115,291,29109780,1,o,2017-10-19 02:20:50,2458045.5978009,2
294.859409,-18.376135,5.7148,5.2298,0.3587,9.2847,16.59,1,294.483,-18.412,20180508455648,336,8,3,30,2,zr,492455653015,492,49245565,1,o,2018-05-08 10:56:09.063,2458246.9556597,3
294.859327,-18.375893,5.7148,5.2295,0.3568,9.283,16.59,1,294.485,-18.410,20180508479433,336,8,3,30,1,zg,492479563015,492,49247956,1,o,2018-05-08 11:30:34.176,2458246.9795602,4
294.843258,-18.347456,5.7146,5.1868,0.3448,9.0698,16.56,1,294.485,-18.404,20180511437928,336,8,3,30,2,zr,495437993015,495,49543799,1,o,2018-05-11 10:30:43.141,2458249.9379977,5
294.842664,-18.347045,5.7145,5.1861,0.343,9.066,16.56,1,294.486,-18.402,20180511485579,336,8,3,30,2,zr,495485593015,495,49548559,1,o,2018-05-11 11:39:15.367,2458249.9855903,6
294.701074,-18.297949,5.714,5.0904,0.2191,8.4666,16.49,1,294.484,-18.373,20180518418160,336,8,3,30,2,zr,502418173015,502,50241817,1,o,2018-05-18 10:02:10.329,2458256.9181713,7
294.596455,-18.284417,5.7137,5.0515,0.1389,8.1668,16.46,1,294.483,-18.373,20180521398634,336,8,3,30,1,zg,505398693015,505,50539869,1,o,2018-05-21 09:34:07.563,2458259.8986921,8
294.595668,-18.284353,5.7137,5.0512,0.402,8.1648,16.46,1,294.184,-18.379,20180521417407,335,5,4,19,1,zg,505417471915,505,50541747,1,o,2018-05-21 10:01:10.335,2458259.9174769,9
294.5947,-18.284272,5.7137,5.0509,0.3995,8.1624,16.46,1,294.185,-18.376,20180521439780,335,5,4,19,2,zr,505440471915,505,50544047,1,o,2018-05-21 10:34:17.366,2458259.9404745,10
294.593921,-18.284206,5.7137,5.0507,0.1321,8.1604,16.46,1,294.487,-18.369,20180521458854,336,8,3,30,2,zr,505458933015,505,50545893,1,o,2018-05-21 11:00:52.130,2458259.9589352,11
294.466453,-18.275442,5.7135,5.0141,0.2881,7.843,16.42,1,294.183,-18.378,20180524374873,335,5,4,19,2,zr,508374871915,508,50837487,1,o,2018-05-24 08:59:49.549,2458262.8748727,12
294.464294,-18.275362,5.7135,5.0135,0.2838,7.8381,16.42,1,294.184,-18.375,20180524417164,335,5,4,19,1,zg,508417731915,508,50841773,1,o,2018-05-24 10:01:32.560,2458262.9177315,13
294.463259,-18.27532,5.7135,5.0133,0.0932,7.8357,16.42,1,294.486,-18.367,20180524438079,336,8,3,30,1,zg,508438143015,508,50843814,1,o,2018-05-24 10:30:56.044,2458262.9381481,14
294.461021,-18.275225,5.7135,5.0127,0.0926,7.8306,16.42,1,294.489,-18.364,20180524481481,336,8,3,30,2,zr,508482163015,508,50848216,1,o,2018-05-24 11:34:19.915,2458262.9821644,15
294.190792,-18.270486,5.713,4.9546,0.2939,7.2426,16.36,1,294.485,-18.363,20180529396123,336,8,3,30,2,zr,513396133015,513,51339613,1,o,2018-05-29 09:30:26.024,2458267.8961343,16
294.189324,-18.270498,5.713,4.9543,0.296,7.2397,16.36,1,294.486,-18.361,20180529418738,336,8,3,30,1,zg,513418923015,513,51341892,1,o,2018-05-29 10:03:15.703,2458267.9189236,17
294.189295,-18.270498,5.713,4.9543,0.0955,7.2396,16.36,1,294.186,-18.367,20180529419375,335,5,4,19,1,zg,513419381915,513,51341938,1,o,2018-05-29 10:03:55.529,2458267.9193866,18
293.774468,-18.280785,5.7125,4.8903,0.3976,6.4433,16.29,1,294.186,-18.357,20180604376794,335,5,4,19,2,zr,519376821915,519,51937682,1,o,2018-06-04 09:02:38.466,2458273.8768287,19
293.529729,-18.292435,5.7122,4.8608,0.2751,6.0069,16.25,1,293.276,-18.426,20180607396968,335,5,3,18,1,zg,522396971815,522,52239697,1,o,2018-06-07 09:31:39.241,2458276.8969792,20
293.526059,-18.292629,5.7122,4.8604,0.2583,6.0005,16.25,1,293.280,-18.404,20180607438912,335,5,3,18,2,zr,522438921815,522,52243892,1,o,2018-06-07 10:32:03.252,2458276.9389236,21
293.26504,-18.308097,5.7119,4.8336,0.1036,5.5528,16.21,1,293.276,-18.412,20180610398600,335,5,3,18,2,zr,525398611815,525,52539861,1,o,2018-06-10 09:34:00.336,2458279.8986111,22
292.883611,-18.334812,5.7115,4.8009,0.3798,4.9224,16.16,1,293.277,-18.406,20180614375521,335,5,3,18,2,zr,529375641815,529,52937564,1,o,2018-06-14 09:00:56.319,2458283.8756481,23
292.881233,-18.334989,5.7115,4.8007,0.3832,4.9186,16.16,1,293.278,-18.405,20180614398750,335,5,3,18,1,zg,529398761815,529,52939876,1,o,2018-06-14 09:34:13.181,2458283.8987616,24
292.578985,-18.358831,5.7111,4.7792,0.341,4.4343,16.12,1,292.226,-18.423,20180617335359,335,6,4,23,2,zr,532335372315,532,53233537,1,o,2018-06-17 08:02:56.574,2458286.8353704,25
292.572149,-18.35939,5.7111,4.7787,0.3313,4.4235,16.12,1,292.229,-18.420,20180617398345,335,6,4,23,1,zg,532398342315,532,53239834,1,o,2018-06-17 09:33:37.816,2458286.8983449,26
292.25508,-18.386426,5.7108,4.7596,0.0708,3.9268,16.07,1,292.226,-18.452,20180620324919,335,6,4,23,2,zr,535324932315,535,53532493,1,o,2018-06-20 07:47:54.380,2458289.8249306,27
292.246835,-18.387146,5.7108,4.7592,0.0643,3.9141,16.07,1,292.230,-18.450,20180620397442,335,6,4,23,1,zg,535397452315,535,53539745,1,o,2018-06-20 09:32:20.730,2458289.8974537,28
291.905413,-18.41815,5.7105,4.742,0.3093,3.3902,16.03,1,292.231,-18.436,20180623410694,335,6,4,23,1,zg,538410692315,538,53841069,1,o,2018-06-23 09:51:24.863,2458292.9106944,29
290.443541,-18.566695,5.7091,4.699,0.2061,1.2806,15.83,1,290.277,-18.435,20180705378438,335,7,4,27,2,zr,550378442715,550,55037844,1,o,2018-07-05 09:04:58.320,2458304.8784491,30
290.43771,-18.567301,5.7091,4.6989,0.2005,1.273,15.83,1,290.276,-18.438,20180705423380,335,7,4,27,1,zg,550423392715,550,55042339,1,o,2018-07-05 10:09:41.512,2458304.9233912,31
290.066307,-18.608248,5.7087,4.6948,0.2807,0.8362,15.77,1,290.277,-18.411,20180708333796,335,7,4,27,1,zg,553334122715,553,55333412,1,o,2018-07-08 08:01:08.964,2458307.8341204,32
290.060757,-18.60885,5.7087,4.6948,0.285,0.8308,15.77,1,290.277,-18.412,20180708375949,335,7,4,27,2,zr,553376462715,553,55337646,1,o,2018-07-08 09:02:07.282,2458307.8764699,33
288.284831,-18.81924,5.7069,4.7105,0.4022,2.1993,15.92,1,288.315,-18.419,20180722345567,335,8,4,31,2,zr,567345573115,567,56734557,1,o,2018-07-22 08:17:38.803,2458321.8455787,34
288.278005,-18.820057,5.7069,4.7107,0.3991,2.2092,15.92,1,288.315,-18.423,20180722399850,335,8,4,31,1,zg,567399863115,567,56739986,1,o,2018-07-22 09:35:48.752,2458321.8998611,35
286.789323,-19.018503,5.7051,4.7758,0.5137,4.4737,16.12,1,287.109,-19.435,20180804338310,334,1,1,0,2,zr,580338310015,580,58033831,1,o,2018-08-04 08:07:10.555,2458334.8383102,36
285.858987,-19.160376,5.7036,4.8548,0.4007,6.027,16.25,1,286.199,-19.401,20180814149225,334,1,2,1,1,zg,590149430115,590,59014943,1,o,2018-08-14 03:35:11.275,2458344.6494329,37
285.857233,-19.160664,5.7036,4.855,0.4026,6.03,16.25,1,286.200,-19.401,20180814169745,334,1,2,1,2,zr,590169740115,590,59016974,1,o,2018-08-14 04:04:26.712,2458344.6697454,38
285.604633,-19.203625,5.7031,4.8854,0.4857,6.4872,16.29,1,285.154,-19.439,20180817329873,334,2,1,4,1,zg,593329910415,593,59332991,1,o,2018-08-17 07:55:05.662,2458347.829919,39
284.782049,-19.381898,5.7007,5.0557,0.3704,8.2943,16.46,1,285.153,-19.503,20180901167164,334,2,1,4,2,zr,608167810415,608,60816781,1,o,2018-09-01 04:01:39.372,2458362.6678125,40
284.778909,-19.38278,5.7007,5.0568,0.3759,8.3032,16.46,1,285.155,-19.508,20180901253495,334,2,1,4,1,zg,608253500415,608,60825350,1,o,2018-09-01 06:05:03.302,2458362.7535069,41
284.69294,-19.412451,5.7002,5.0948,0.4398,8.5873,16.49,1,284.237,-19.507,20180904167222,334,2,2,5,2,zr,611167820515,611,61116782,1,o,2018-09-04 04:01:40.754,2458365.6678241,42
284.690624,-19.413256,5.7002,5.096,0.438,8.5953,16.49,1,284.238,-19.513,20180904251748,334,2,2,5,1,zg,611251750515,611,61125175,1,o,2018-09-04 06:02:32.537,2458365.7517593,43
284.615897,-19.45031,5.6995,5.1497,0.3603,8.9416,16.53,1,284.239,-19.509,20180908209815,334,2,2,5,1,zg,615210010515,615,61521001,1,o,2018-09-08 05:02:25.119,2458369.7100116,44
284.591167,-19.475986,5.6989,5.1922,0.333,9.1755,16.56,1,284.239,-19.506,20180911229745,334,2,2,5,1,zg,618229800515,618,61822980,1,o,2018-09-11 05:30:55.767,2458372.7298032,45
