ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
331.725066,-14.281949,5.1976,4.7874,0.3937,10.677,17.15,1,331.911,-14.633,20190608420162,341,15,3,58,1,zg,888420165815,888,88842016,1,o,2019-06-08 10:05:02.627,2458642.920162,0
331.773041,-14.205787,5.1954,4.7269,0.4517,10.428,17.11,1,331.910,-14.638,20190612419468,341,15,3,58,1,zg,892419465815,892,89241946,1,o,2019-06-12 10:04:02.944,2458646.9194676,1
331.752289,-14.119509,5.1921,4.6383,0.389,9.9551,17.05,1,331.918,-13.766,20190618480972,341,15,2,57,1,zg,898480975715,898,89848097,1,o,2019-06-18 11:32:36.577,2458652.9809722,2
331.62036,-14.068441,5.1888,4.555,0.3975,9.3733,16.98,1,331.919,-13.797,20190624479699,341,15,2,57,1,zg,904480045715,904,90448004,1,o,2019-06-24 11:31:16.435,2458658.9800463,3
331.472521,-14.053131,5.1866,4.503,0.5009,8.9273,16.93,1,331.917,-13.799,20190628439317,341,15,2,57,1,zg,908439315715,908,90843931,1,o,2019-06-28 10:32:37.600,2458662.9393171,4
331.217627,-14.054014,5.1838,4.441,0.4317,8.295,16.86,1,330.905,-13.748,20190703433912,341,16,1,60,1,zg,913434056015,913,91343405,1,o,2019-07-03 10:25:02.776,2458667.9340509,5
331.215933,-14.054081,5.1838,4.4407,0.4348,8.2912,16.86,1,330.902,-13.744,20190703461574,341,16,1,60,2,zr,913461576015,913,91346157,1,o,2019-07-03 11:04:40.822,2458667.9615741,6
331.155908,-14.056891,5.1833,4.4288,0.4002,8.1556,16.85,1,330.907,-13.739,20190704460208,341,16,1,60,3,zi,914460396015,914,91446039,1,o,2019-07-04 11:02:58.410,2458668.9603935,7
331.028683,-14.064911,5.1822,4.406,0.3422,7.8787,16.82,1,330.903,-13.746,20190706435440,341,16,1,60,1,zg,916435456015,916,91643545,1,o,2019-07-06 10:27:03.265,2458670.9354514,8
330.888055,-14.076298,5.1811,4.3836,0.3333,7.586,16.8,1,330.907,-13.744,20190708439132,341,16,1,60,3,zi,918439316015,918,91843931,1,o,2019-07-08 10:32:37.604,2458672.9393171,9
