ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
165.509779,5.33462,5.014,5.1863,0.2939,10.9435,17.11,1,165.363,5.080,20171121504931,470,10,3,38,2,zr,324504943815,324,32450494,1,o,2017-11-21 12:07:07,2458079.0049421,0
166.836335,4.782958,5.0084,4.9932,0.4843,11.3082,17.04,1,167.230,5.067,20171203485498,470,9,3,34,2,zr,336485503415,336,33648550,1,o,2017-12-03 11:39:08,2458090.9855093,1
167.598647,4.464313,5.0041,4.8445,0.562,11.3213,16.98,1,167.234,4.036,20171212569456,470,5,2,17,2,zr,345569461715,345,34556946,1,o,2017-12-12 13:40:02,2458100.0694676,2
167.730436,4.409279,5.0032,4.8133,0.5259,11.2928,16.96,1,168.095,4.029,20171214483426,470,5,1,16,2,zr,347483431615,347,34748343,1,o,2017-12-14 11:36:09,2458101.9834375,3
167.732928,4.408198,5.0032,4.8126,0.5222,11.292,16.96,1,168.096,4.032,20171214522720,470,5,1,16,2,zr,347522711615,347,34752271,1,o,2017-12-14 12:32:43,2458102.0227199,4
167.799535,4.380304,5.0027,4.7957,0.4592,11.2714,16.95,1,168.100,4.032,20171215558843,470,5,1,16,2,zr,348558841615,348,34855884,1,o,2017-12-15 13:24:44,2458103.0588426,5
167.857693,4.356048,5.0023,4.7804,0.4018,11.25,16.94,1,168.095,4.032,20171216502188,470,5,1,16,2,zr,349502181615,349,34950218,1,o,2017-12-16 12:03:09,2458104.0021875,6
167.85879,4.355569,5.0023,4.7801,0.4003,11.2495,16.94,1,168.096,4.033,20171216521238,470,5,1,16,2,zr,349521281615,349,34952128,1,o,2017-12-16 12:30:39,2458104.0212847,7
167.969969,4.309167,5.0014,4.7486,0.307,11.1961,16.93,1,168.095,4.029,20171218462928,470,5,1,16,2,zr,351462921615,351,35146292,1,o,2017-12-18 11:06:37,2458105.9629282,8
167.971978,4.308291,5.0014,4.748,0.3034,11.1948,16.92,1,168.095,4.031,20171218501701,470,5,1,16,2,zr,351501711615,351,35150171,1,o,2017-12-18 12:02:28,2458106.001713,9
168.024983,4.286153,5.0009,4.7317,0.2615,11.1621,16.92,1,168.096,4.035,20171219508183,470,5,1,16,1,zg,352508191615,352,35250819,1,o,2017-12-19 12:11:48,2458107.0081944,10
168.074403,4.265542,5.0005,4.7157,0.4745,11.1265,16.91,1,168.485,4.025,20171220502778,471,8,2,29,1,zg,353502782915,353,35350278,1,o,2017-12-20 12:04:01,2458108.0027894,11
168.0745,4.265499,5.0005,4.7156,0.2354,11.1265,16.91,1,168.096,4.031,20171220504907,470,5,1,16,1,zg,353504911615,353,35350491,1,o,2017-12-20 12:07:05,2458108.004919,12
168.11935,4.246849,5.0,4.7002,0.2258,11.0892,16.9,1,168.096,4.022,20171221462662,470,5,1,16,1,zg,354462661615,354,35446266,1,o,2017-12-21 11:06:14,2458108.962662,13
168.119395,4.246829,5.0,4.7002,0.4312,11.0892,16.9,1,168.484,4.016,20171221463715,471,8,2,29,1,zg,354463722915,354,35446372,1,o,2017-12-21 11:07:46,2458108.9637269,14
