ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
168.910835,3.763918,5.2214,5.4623,0.4987,10.2898,17.12,1,168.482,4.020,20171121505474,471,8,2,29,2,zr,324505482915,324,32450548,1,o,2017-11-21 12:07:54,2458079.0054861,0
170.267325,3.199091,5.2174,5.2713,0.0936,10.7664,17.06,1,170.351,3.158,20171203522766,471,7,3,26,2,zr,336522772615,336,33652277,1,o,2017-12-03 12:32:48,2458091.0227778,1
170.271394,3.197357,5.2174,5.2707,0.0889,10.7673,17.06,1,170.352,3.161,20171203564792,471,7,3,26,2,zr,336564802615,336,33656480,1,o,2017-12-03 13:33:19,2458091.0648032,2
170.365274,3.158297,5.217,5.2551,0.013,10.7899,17.06,1,170.352,3.158,20171204522303,471,7,3,26,2,zr,337522302615,337,33752230,1,o,2017-12-04 12:32:07,2458092.0223032,3
170.367682,3.157272,5.217,5.2547,0.015,10.7904,17.06,1,170.353,3.159,20171204547789,471,7,3,26,2,zr,337547782615,337,33754778,1,o,2017-12-04 13:08:49,2458092.0477894,4
170.36946,3.156513,5.217,5.2544,0.0162,10.7908,17.06,1,170.354,3.161,20171204566620,471,7,3,26,2,zr,337566632615,337,33756663,1,o,2017-12-04 13:35:57,2458092.0666319,5
170.732057,3.005661,5.2157,5.1901,0.4102,10.8575,17.03,1,170.352,3.162,20171208512245,471,7,3,26,2,zr,341512242615,341,34151224,1,o,2017-12-08 12:17:38,2458096.0122454,6
170.819174,2.96943,5.2154,5.1735,0.4468,10.8678,17.03,1,171.219,3.170,20171209529514,471,7,4,27,2,zr,342529512715,342,34252951,1,o,2017-12-09 12:42:30,2458097.0295139,7
171.063684,2.867875,5.2143,5.1237,0.3414,10.8812,17.01,1,171.221,3.171,20171212570000,471,7,4,27,2,zr,345570012715,345,34557001,1,o,2017-12-12 13:40:49,2458100.0700116,8
171.280379,2.778171,5.2133,5.0748,0.3963,10.8687,16.98,1,171.221,3.170,20171215559387,471,7,4,27,2,zr,348559382715,348,34855938,1,o,2017-12-15 13:25:31,2458103.0593866,9
171.34387,2.752008,5.213,5.0593,0.4357,10.8593,16.98,1,171.217,3.169,20171216502732,471,7,4,27,2,zr,349502732715,349,34950273,1,o,2017-12-16 12:03:56,2458104.0027315,10
171.346394,2.750927,5.213,5.0587,0.4384,10.8588,16.98,1,171.219,3.170,20171216542558,471,7,4,27,2,zr,349542562715,349,34954256,1,o,2017-12-16 13:01:18,2458104.0425694,11
171.896162,2.527251,5.2093,4.882,0.5137,10.5489,16.88,1,172.208,2.119,20171227464178,471,2,2,5,1,zg,360464180515,360,36046418,1,o,2017-12-27 11:08:26,2458114.9641898,12
171.896736,2.527008,5.2093,4.8817,0.5125,10.5481,16.88,1,172.208,2.120,20171227482095,471,2,2,5,1,zg,360482090515,360,36048209,1,o,2017-12-27 11:34:13,2458114.9820949,13
171.986054,2.492317,5.2083,4.8349,0.4342,10.3985,16.85,1,172.206,2.118,20171230446794,471,2,2,5,1,zg,363446800515,363,36344680,1,o,2017-12-30 10:43:24,2458117.9468056,14
171.986411,2.492168,5.2083,4.8346,0.4341,10.3976,16.85,1,172.206,2.118,20171230462153,471,2,2,5,1,zg,363462150515,363,36346215,1,o,2017-12-30 11:05:30,2458117.9621528,15
171.986844,2.491986,5.2083,4.8343,0.4335,10.3965,16.85,1,172.208,2.119,20171230480856,471,2,2,5,1,zg,363480860515,363,36348086,1,o,2017-12-30 11:32:27,2458117.9808681,16
172.031092,2.47553,5.2076,4.804,0.4006,10.2828,16.83,1,172.206,2.115,20180101423970,471,2,2,5,1,zg,365423960515,365,36542396,1,o,2018-01-01 10:10:31,2458119.9239699,17
172.031643,2.475305,5.2076,4.8035,0.3986,10.2808,16.83,1,172.206,2.117,20180101455579,471,2,2,5,1,zg,365455570515,365,36545557,1,o,2018-01-01 10:56:02,2458119.9555787,18
172.031716,2.475275,5.2076,4.8034,0.3983,10.2805,16.83,1,172.206,2.118,20180101459826,471,2,2,5,1,zg,365459820515,365,36545982,1,o,2018-01-01 11:02:09,2458119.9598264,19
172.032417,2.474984,5.2076,4.8028,0.3966,10.2779,16.83,1,172.208,2.119,20180101500926,471,2,2,5,1,zg,365500920515,365,36550092,1,o,2018-01-01 12:01:20,2458120.0009259,20
172.033456,2.474548,5.2076,4.8019,0.3972,10.2739,16.83,1,172.211,2.119,20180101562650,471,2,2,5,1,zg,365562680515,365,36556268,1,o,2018-01-01 13:30:16,2458120.0626852,21
172.049303,2.469027,5.2073,4.7886,0.3869,10.2198,16.82,1,172.206,2.116,20180102418125,471,2,2,5,1,zg,366418120515,366,36641812,1,o,2018-01-02 10:02:06,2458120.918125,22
172.049605,2.468906,5.2073,4.7883,0.3865,10.2184,16.82,1,172.206,2.116,20180102438924,471,2,2,5,1,zg,366438930515,366,36643893,1,o,2018-01-02 10:32:04,2458120.9389352,23
172.049904,2.468784,5.2073,4.788,0.3854,10.217,16.82,1,172.206,2.117,20180102459873,471,2,2,5,1,zg,366459880515,366,36645988,1,o,2018-01-02 11:02:14,2458120.9598843,24
172.064133,2.46398,5.207,4.7739,0.3813,10.156,16.81,1,172.205,2.110,20180103378275,471,2,2,5,1,zg,367378270515,367,36737827,1,o,2018-01-03 09:04:43,2458121.8782755,25
172.064382,2.463886,5.207,4.7735,0.3791,10.1545,16.81,1,172.206,2.112,20180103398947,471,2,2,5,1,zg,367398950515,367,36739895,1,o,2018-01-03 09:34:30,2458121.8989583,26
172.065072,2.463616,5.2069,4.7726,0.3756,10.1503,16.81,1,172.207,2.116,20180103458981,471,2,2,5,1,zg,367458980515,367,36745898,1,o,2018-01-03 11:00:56,2458121.9589815,27
169.754533,3.55729,5.1917,4.2559,0.5497,3.868,16.2,1,169.364,3.170,20180217412280,471,8,4,31,1,zg,412412313115,412,41241231,1,o,2018-02-17 09:53:44,2458166.9123148,28
167.917508,4.403498,5.1863,4.1955,0.3979,0.539,15.86,1,168.102,4.051,20180305325162,470,5,1,16,2,zr,428325261615,428,42832526,1,o,2018-03-05 07:48:23,2458182.8252662,29
167.914365,4.404912,5.1863,4.1955,0.4017,0.5336,15.86,1,168.104,4.051,20180305350463,470,5,1,16,2,zr,428350551615,428,42835055,1,o,2018-03-05 08:24:48,2458182.8505556,30
167.793083,4.460868,5.186,4.1943,0.5176,0.3289,15.83,1,168.104,4.046,20180306349838,470,5,1,16,2,zr,429349981615,429,42934998,1,o,2018-03-06 08:23:59,2458183.8499884,31
167.790439,4.462058,5.186,4.1942,0.5204,0.3246,15.83,1,168.103,4.046,20180306371019,470,5,1,16,2,zr,429371221615,429,42937122,1,o,2018-03-06 08:54:34,2458183.8712269,32
165.359598,5.592642,5.1789,4.2397,0.3606,4.1198,16.2,1,165.365,5.953,20180327213993,470,10,2,37,1,zg,450214023715,450,45021402,1,o,2018-03-27 05:08:12,2458204.7140278,33
165.348563,5.597701,5.1789,4.2402,0.3571,4.1404,16.2,1,165.371,5.954,20180327315914,470,10,2,37,1,zg,450315963715,450,45031596,1,o,2018-03-27 07:34:59,2458204.8159606,34
