ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
254.410753,-5.446979,5.5522,6.1348,0.2785,7.9409,17.6,1,254.465,-5.720,20171019092419,1425,9,4,35,2,zr,291092433515,291,29109243,1,o,2017-10-19 02:13:06,2458045.5924306,0
284.459289,-3.159428,5.5328,5.5561,0.4243,10.3264,17.5,1,284.884,-3.182,20180329445926,436,6,2,21,1,zg,452445992115,452,45244599,1,o,2018-03-29 10:42:14,2458206.9459954,1
284.466807,-3.153893,5.5328,5.5548,0.42,10.328,17.5,1,284.887,-3.173,20180329531042,436,6,2,21,1,zg,452531052115,452,45253105,1,o,2018-03-29 12:44:43,2458207.0310532,2
284.550214,-3.092759,5.5326,5.5408,0.3449,10.3463,17.5,1,284.886,-3.173,20180330468171,436,6,2,21,1,zg,453468202115,453,45346820,1,o,2018-03-30 11:14:13,2458207.968206,3
284.555221,-3.088949,5.5326,5.5399,0.3423,10.3473,17.5,1,284.889,-3.168,20180330526609,436,6,2,21,1,zg,453526622115,453,45352662,1,o,2018-03-30 12:38:20,2458208.0266204,4
284.636541,-3.027451,5.5324,5.5258,0.2789,10.3636,17.49,1,284.867,-3.184,20180331467292,436,6,2,21,1,zg,454467302115,454,45446730,1,o,2018-03-31 11:12:55,2458208.9673032,5
284.723872,-2.959114,5.5323,5.5101,0.2615,10.3793,17.49,1,284.869,-3.176,20180401510683,436,6,2,21,1,zg,455510692115,455,45551069,1,o,2018-04-01 12:15:24,2458210.0106944,6
284.72503,-2.958169,5.5323,5.5099,0.261,10.3794,17.49,1,284.870,-3.175,20180401525104,436,6,2,21,1,zg,455525112115,455,45552511,1,o,2018-04-01 12:36:10,2458210.0251157,7
284.804683,-2.893768,5.5321,5.4952,0.2892,10.392,17.48,1,284.869,-3.176,20180402506632,436,6,2,21,1,zg,456506632115,456,45650663,1,o,2018-04-02 12:09:33,2458211.0066319,8
284.806208,-2.89248,5.5321,5.4949,0.2886,10.3922,17.48,1,284.871,-3.174,20180402526238,436,6,2,21,1,zg,456526262115,456,45652626,1,o,2018-04-02 12:37:49,2458211.0262616,9
284.884016,-2.827352,5.5319,5.48,0.3518,10.4027,17.48,1,284.870,-3.179,20180403517419,436,6,2,21,1,zg,457517412115,457,45751741,1,o,2018-04-03 12:25:05,2458212.017419,10
