ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
159.213788,4.456627,5.5015,5.9945,0.4645,8.6114,17.0,1,159.389,4.026,20171028546134,469,6,1,20,2,zr,300546152015,300,30054615,1,o,2017-10-28 13:06:28,2458055.0461574,0
162.051825,2.788006,5.4834,5.6242,0.5454,10.0989,16.93,1,161.647,3.154,20171121504931,470,8,3,30,2,zr,324504943015,324,32450494,1,o,2017-11-21 12:07:07,2458079.0049421,1
163.304992,1.840678,5.4702,5.3391,0.3436,10.3619,16.82,1,163.512,2.115,20171208511157,470,3,2,9,2,zr,341511160915,341,34151116,1,o,2017-12-08 12:16:05,2458096.011169,2
163.356679,1.791963,5.4695,5.3219,0.3642,10.3531,16.82,1,163.514,2.121,20171209528970,470,3,2,9,2,zr,342528960915,342,34252896,1,o,2017-12-09 12:41:43,2458097.0289699,3
163.494378,1.652405,5.4671,5.2708,0.3986,10.3092,16.79,1,163.517,1.254,20171212569456,470,3,3,10,2,zr,345569461015,345,34556946,1,o,2017-12-12 13:40:02,2458100.0694676,4
163.568246,1.569276,5.4656,5.2387,0.323,10.2679,16.78,1,163.512,1.251,20171214483426,470,3,3,10,2,zr,347483431015,347,34748343,1,o,2017-12-14 11:36:09,2458101.9834375,5
163.569559,1.56761,5.4656,5.238,0.3196,10.2668,16.78,1,163.513,1.253,20171214522720,470,3,3,10,2,zr,347522711015,347,34752271,1,o,2017-12-14 12:32:43,2458102.0227199,6
163.60495,1.524216,5.4648,5.2207,0.2843,10.2397,16.77,1,163.517,1.254,20171215558843,470,3,3,10,2,zr,348558841015,348,34855884,1,o,2017-12-15 13:24:44,2458103.0588426,7
163.634751,1.485681,5.464,5.205,0.2623,10.2123,16.76,1,163.512,1.254,20171216502188,470,3,3,10,2,zr,349502181015,349,34950218,1,o,2017-12-16 12:03:09,2458104.0021875,8
163.68838,1.408602,5.4625,5.1725,0.2369,10.1466,16.74,1,163.512,1.250,20171218462928,470,3,3,10,2,zr,351462921015,351,35146292,1,o,2017-12-18 11:06:37,2458105.9629282,9
163.689237,1.40712,5.4624,5.1718,0.2347,10.1451,16.74,1,163.513,1.253,20171218501701,470,3,3,10,2,zr,351501711015,351,35150171,1,o,2017-12-18 12:02:28,2458106.001713,10
163.712303,1.369203,5.4617,5.1552,0.2291,10.1067,16.73,1,163.514,1.255,20171219508183,470,3,3,10,1,zg,352508191015,352,35250819,1,o,2017-12-19 12:11:48,2458107.0081944,11
163.732284,1.332744,5.4609,5.1388,0.2329,10.0656,16.72,1,163.513,1.253,20171220504907,470,3,3,10,1,zg,353504911015,353,35350491,1,o,2017-12-20 12:07:05,2458108.004919,12
163.748861,1.298743,5.4601,5.1231,0.2416,10.0233,16.71,1,163.514,1.244,20171221462662,470,3,3,10,1,zg,354462661015,354,35446266,1,o,2017-12-21 11:06:14,2458108.962662,13
163.749126,1.298054,5.4601,5.1228,0.2423,10.0223,16.71,1,163.513,1.244,20171221482407,470,3,3,10,1,zg,354482401015,354,35448240,1,o,2017-12-21 11:34:40,2458108.9824074,14
163.749391,1.297358,5.4601,5.1225,0.2418,10.0214,16.71,1,163.513,1.245,20171221502326,470,3,3,10,1,zg,354502321015,354,35450232,1,o,2017-12-21 12:03:21,2458109.0023264,15
163.791029,1.109355,5.4554,5.0265,0.311,9.6926,16.65,1,163.515,1.254,20171227462581,470,3,3,10,1,zg,360462591015,360,36046259,1,o,2017-12-27 11:06:08,2458114.9625926,16
163.79095,1.108838,5.4554,5.0263,0.3113,9.6914,16.65,1,163.515,1.254,20171227481030,470,3,3,10,1,zg,360481031015,360,36048103,1,o,2017-12-27 11:32:41,2458114.9810301,17
163.787814,1.082004,5.4546,5.0109,0.5828,9.627,16.64,1,163.384,0.662,20171228456354,419,15,1,56,1,zg,361456365615,361,36145636,1,o,2017-12-28 10:57:10,2458115.9563657,18
