ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
173.78296,-10.188246,5.2564,5.6575,0.3279,9.494,17.33,1,174.057,-10.375,20171121480324,369,7,1,24,2,zr,324480322415,324,32448032,1,o,2017-11-21 11:31:40,2458078.9803241,0
175.095138,-10.954611,5.2553,5.5128,0.2794,10.1425,17.31,1,175.068,-11.233,20171201556296,369,6,3,22,2,zr,334556302215,334,33455630,1,o,2017-12-01 13:21:05,2458089.0563079,1
175.981518,-11.515498,5.2544,5.3924,0.2868,10.5092,17.28,1,175.949,-11.231,20171209520185,369,6,4,23,2,zr,342520182315,342,34252018,1,o,2017-12-09 12:29:04,2458097.0201852,2
176.553705,-11.907751,5.2537,5.2988,0.5421,10.6904,17.25,1,176.970,-12.266,20171215542928,369,1,2,1,2,zr,348542920115,348,34854292,1,o,2017-12-15 13:01:49,2458103.0429282,3
177.565168,-12.731213,5.2521,5.0635,0.4914,10.7362,17.15,1,177.862,-13.129,20171230458426,369,1,4,3,1,zg,363458420315,363,36345842,1,o,2017-12-30 11:00:08,2458117.9584259,4
177.56524,-12.731288,5.2521,5.0635,0.491,10.7362,17.15,1,177.862,-13.128,20171230460023,369,1,4,3,1,zg,363460020315,363,36346002,1,o,2017-12-30 11:02:26,2458117.9600231,5
172.759137,-11.484751,5.2426,4.2697,0.49,2.6026,16.29,1,173.182,-11.224,20180322305752,369,7,3,26,2,zr,445305752615,445,44530575,1,o,2018-03-22 07:20:17,2458199.8057523,6
172.756486,-11.483073,5.2426,4.2697,0.4932,2.6037,16.29,1,173.184,-11.224,20180322328264,369,7,3,26,2,zr,445328272615,445,44532827,1,o,2018-03-22 07:52:43,2458199.8282755,7
172.197326,-11.104474,5.2421,4.2757,0.1163,3.0093,16.33,1,172.170,-11.218,20180327299479,369,8,4,31,1,zg,450299523115,450,45029952,1,o,2018-03-27 07:11:19,2458204.7995255,8
172.195139,-11.102971,5.2421,4.2758,0.1175,3.0115,16.33,1,172.171,-11.218,20180327318854,369,8,4,31,1,zg,450318863115,450,45031886,1,o,2018-03-27 07:39:10,2458204.8188657,9
171.561602,-10.631905,5.2414,4.2927,0.3817,3.803,16.39,1,171.296,-10.354,20180402283785,369,8,2,29,1,zg,456283792915,456,45628379,1,o,2018-04-02 06:48:40,2458210.7837963,10
171.559303,-10.630151,5.2414,4.2928,0.3777,3.8063,16.39,1,171.297,-10.354,20180402305683,369,8,2,29,1,zg,456305692915,456,45630569,1,o,2018-04-02 07:20:12,2458210.8056944,11
