ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
18.034327,-17.740191,5.3091,4.8689,0.29,10.3288,16.76,1,18.283,-17.573,20200724418113,296,5,2,17,2,zr,1300418121715,1300,130041812,1,o,2020-07-24 10:02:06.029,2459054.918125,0
18.036125,-17.743219,5.3091,4.868,0.2962,10.3251,16.76,1,18.286,-17.568,20200724480081,296,5,2,17,1,zg,1300480131715,1300,130048013,1,o,2020-07-24 11:31:24.099,2459054.9801389,1
18.180435,-18.105018,5.3051,4.7754,0.3463,9.8668,16.69,1,18.298,-18.433,20200731435694,296,5,3,18,2,zr,1307435751815,1307,130743575,1,o,2020-07-31 10:27:29.922,2459061.9357523,2
18.180554,-18.1059,5.3051,4.7752,0.144,9.8656,16.69,1,18.085,-18.218,20200731451562,1289,15,3,58,2,zr,1307451565815,1307,130745156,1,o,2020-07-31 10:50:15.957,2459061.9515625,3
18.196906,-18.274197,5.3033,4.7374,0.1924,9.6359,16.66,1,18.301,-18.440,20200803418576,296,5,3,18,2,zr,1310418571815,1310,131041857,1,o,2020-08-03 10:02:45.566,2459064.9185764,4
18.19683,-18.27669,5.3033,4.7369,0.1886,9.6324,16.66,1,18.305,-18.436,20200803461285,296,5,3,18,1,zg,1310461281815,1310,131046128,1,o,2020-08-03 11:04:15.533,2459064.9612847,5
17.587377,-19.559445,5.2917,4.5184,0.3111,7.6375,16.45,1,17.263,-19.503,20200823424190,296,2,1,4,1,zg,1330424180415,1330,133042418,1,o,2020-08-23 10:10:50.910,2459084.9241898,6
17.000306,-20.103182,5.287,4.4523,0.3095,6.7036,16.36,1,17.271,-20.280,20200831457523,296,2,4,7,1,zg,1338457520715,1338,133845752,1,o,2020-08-31 10:58:50.580,2459092.9575231,7
17.000265,-20.103213,5.287,4.4523,0.0666,6.7036,16.36,1,17.012,-20.038,20200831457986,1289,12,4,47,1,zg,1338457984715,1338,133845798,1,o,2020-08-31 10:59:30.915,2459092.9579861,8
17.000224,-20.103245,5.287,4.4523,0.0666,6.7035,16.36,1,17.012,-20.038,20200831458461,1289,12,4,47,1,zg,1338458464715,1338,133845846,1,o,2020-08-31 11:00:11.231,2459092.9584606,9
16.747213,-20.294241,5.2853,4.4322,0.3814,6.3726,16.33,1,16.341,-20.302,20200903333912,296,2,3,6,1,zg,1341334290615,1341,134133429,1,o,2020-09-03 08:01:23.865,2459095.834294,10
16.741217,-20.298424,5.2852,4.4318,0.3746,6.3652,16.33,1,16.342,-20.299,20200903397512,296,2,3,6,2,zr,1341397520615,1341,134139752,1,o,2020-09-03 09:32:26.105,2459095.8975231,11
16.64225,-20.367778,5.2846,4.4249,0.4766,6.2453,16.32,1,17.022,-20.052,20200904455521,1289,12,4,47,2,zr,1342455524715,1342,134245552,1,o,2020-09-04 10:55:57.394,2459096.9555208,12
16.642204,-20.367809,5.2846,4.4249,0.4765,6.2453,16.32,1,17.022,-20.052,20200904455984,1289,12,4,47,2,zr,1342455984715,1342,134245598,1,o,2020-09-04 10:56:37.817,2459096.9559838,13
16.359572,-20.553517,5.2829,4.4076,0.2597,5.9286,16.3,1,16.348,-20.295,20200907335718,296,2,3,6,2,zr,1345335750615,1345,134533575,1,o,2020-09-07 08:03:29.704,2459099.8357523,14
