ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
251.639992,-24.58068,5.8995,6.5231,0.3937,7.1802,17.78,1,252.021,-24.768,20171019091354,279,6,1,20,2,zr,291091352015,291,29109135,1,o,2017-10-19 02:11:33,2458045.5913542,0
31.274713,-18.024972,4.7998,4.4651,0.4316,11.8812,16.74,1,31.428,-18.432,20210730424144,298,6,4,23,1,zg,1671424142315,1671,167142414,1,o,2021-07-30 10:10:46.928,2459425.9241435,1
31.469621,-18.17764,4.797,4.4241,0.2542,11.7572,16.72,1,31.426,-18.429,20210802439977,298,6,4,23,1,zg,1674439972315,1674,167443997,1,o,2021-08-02 10:33:34.737,2459428.9399769,2
31.584276,-18.286458,4.7951,4.3968,0.2038,11.6615,16.7,1,31.430,-18.429,20210804470474,298,6,4,23,1,zg,1676470482315,1676,167647048,1,o,2021-08-04 11:17:30.119,2459430.9704861,3
31.842008,-18.632192,4.7896,4.3186,0.4531,11.3243,16.64,1,31.423,-18.415,20210810438854,298,6,4,23,1,zg,1682438852315,1682,168243885,1,o,2021-08-10 10:31:57.696,2459436.9388542,4
31.894137,-19.77339,4.7742,4.1187,0.5216,9.9448,16.46,1,31.441,-19.473,20210827410336,298,2,1,4,3,zi,1699410340415,1699,169941034,1,o,2021-08-27 09:50:54.424,2459453.9103472,5
31.893386,-19.775166,4.7742,4.1185,0.5219,9.9423,16.46,1,31.443,-19.472,20210827434942,298,2,1,4,1,zg,1699434980415,1699,169943498,1,o,2021-08-27 10:26:23.691,2459453.9349884,6
31.892502,-19.77723,4.7741,4.1182,0.5256,9.9395,16.46,1,31.441,-19.469,20210827463704,298,2,1,4,2,zr,1699463700415,1699,169946370,1,o,2021-08-27 11:07:44.533,2459453.9637037,7
31.865391,-19.844264,4.7733,4.1084,0.5414,9.8484,16.45,1,31.444,-19.476,20210828397442,298,2,1,4,1,zg,1700397450415,1700,170039745,1,o,2021-08-28 09:32:20.198,2459454.8974537,8
31.864815,-19.84549,4.7733,4.1082,0.5411,9.8467,16.45,1,31.447,-19.475,20210828414375,298,2,1,4,1,zg,1700414380415,1700,170041438,1,o,2021-08-28 09:56:43.306,2459454.9143866,9
31.713467,-20.131991,4.7697,4.0682,0.3235,9.446,16.41,1,31.448,-20.339,20210901379028,298,2,4,7,2,zr,1704379030715,1704,170437903,1,o,2021-09-01 09:05:49.280,2459458.8790394,10
31.665071,-20.206171,4.7688,4.0584,0.2421,9.3394,16.4,1,31.447,-20.336,20210902402454,298,2,4,7,3,zi,1705402450715,1705,170540245,1,o,2021-09-02 09:39:32.635,2459459.9024537,11
31.664184,-20.207406,4.7688,4.0582,0.2396,9.3376,16.4,1,31.447,-20.335,20210902419410,298,2,4,7,1,zg,1705419400715,1705,170541940,1,o,2021-09-02 10:03:57.873,2459459.9194097,12
31.66193,-20.210522,4.7687,4.0578,0.2353,9.333,16.4,1,31.447,-20.333,20210902462326,298,2,4,7,2,zr,1705462320715,1705,170546232,1,o,2021-09-02 11:05:45.904,2459459.9623264,13
31.613382,-20.279694,4.7679,4.0488,0.161,9.2328,16.39,1,31.453,-20.337,20210903417257,298,2,4,7,1,zg,1706417300715,1706,170641730,1,o,2021-09-03 10:00:55.429,2459460.9173032,14
31.613329,-20.279762,4.7679,4.0487,0.1615,9.2327,16.39,1,31.452,-20.337,20210903418241,298,2,4,7,1,zg,1706418240715,1706,170641824,1,o,2021-09-03 10:02:16.652,2459460.9182407,15
31.612703,-20.280575,4.7679,4.0486,0.2217,9.2314,16.39,1,31.483,-20.096,20210903429421,1291,12,4,47,1,zg,1706429424715,1706,170642942,1,o,2021-09-03 10:18:22.738,2459460.9294213,16
31.612676,-20.280609,4.7679,4.0486,0.2216,9.2314,16.39,1,31.484,-20.096,20210903429884,1291,12,4,47,1,zg,1706429894715,1706,170642989,1,o,2021-09-03 10:19:03.586,2459460.9298958,17
31.609883,-20.28421,4.7678,4.0482,0.1528,9.226,16.39,1,31.456,-20.335,20210903479595,298,2,4,7,2,zr,1706479590715,1706,170647959,1,o,2021-09-03 11:30:37.809,2459460.9795949,18
