ra_obj,dec_obj,sun_dist,geo_dist,dist_ctr,phase,vmag,match,ra,dec,filefracday,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtypecode,obsdate,obsjd,id
188.382024,26.586464,5.7302,6.2259,0.4031,8.2304,17.57,1,187.940,26.667,20171109514201,625,11,4,43,1,zg,312514204315,312,31251420,1,o,2017-11-09 12:20:27,2458067.0142014,0
188.384793,26.585894,5.7302,6.2258,0.4056,8.2314,17.57,1,187.941,26.670,20171109529942,625,11,4,43,1,zg,312529954315,312,31252995,1,o,2017-11-09 12:43:08,2458067.0299537,1
188.388049,26.585221,5.7302,6.2256,0.4081,8.2326,17.57,1,187.942,26.673,20171109548495,625,11,4,43,1,zg,312548504315,312,31254850,1,o,2017-11-09 13:09:51,2458067.0485069,2
190.070206,26.285185,5.7304,6.1101,0.3704,8.8415,17.56,1,190.010,26.652,20171119438299,625,10,4,39,2,zr,322438293915,322,32243829,1,o,2017-11-19 10:31:09,2458076.9382986,3
190.410646,26.238933,5.7304,6.0841,0.5563,8.9572,17.56,1,190.014,26.668,20171121547211,625,10,4,39,2,zr,324547213915,324,32454721,1,o,2017-11-21 13:07:59,2458079.0472106,4
194.158018,26.238892,5.7303,5.7073,0.5109,9.8654,17.47,1,194.459,26.674,20171219512442,626,11,3,42,1,zg,352512454215,352,35251245,1,o,2017-12-19 12:17:56,2458107.0124537,5
194.162886,26.239911,5.7303,5.7066,0.5096,9.8657,17.47,1,194.459,26.676,20171219560243,626,11,3,42,1,zg,352560244215,352,35256024,1,o,2017-12-19 13:26:45,2458107.0602431,6
194.164369,26.240221,5.7303,5.7064,0.5096,9.8658,17.47,1,194.460,26.677,20171219574826,626,11,3,42,1,zg,352574834215,352,35257483,1,o,2017-12-19 13:47:46,2458107.074838,7
194.262273,26.260753,5.7303,5.693,0.448,9.8726,17.46,1,194.461,26.673,20171220526481,626,11,3,42,1,zg,353526494215,353,35352649,1,o,2017-12-20 12:38:09,2458108.0264931,8
194.264506,26.261265,5.7303,5.6927,0.4485,9.8727,17.46,1,194.461,26.674,20171220548958,626,11,3,42,1,zg,353548964215,353,35354896,1,o,2017-12-20 13:10:31,2458108.0489699,9
194.361924,26.283615,5.7303,5.679,0.3898,9.8777,17.46,1,194.460,26.664,20171221519433,626,11,3,42,1,zg,354519434215,354,35451943,1,o,2017-12-21 12:27:59,2458109.0194329,10
194.365925,26.284616,5.7303,5.6784,0.3907,9.8778,17.46,1,194.461,26.667,20171221560764,626,11,3,42,1,zg,354560764215,354,35456076,1,o,2017-12-21 13:27:30,2458109.0607639,11
194.366503,26.284761,5.7303,5.6783,0.3916,9.8778,17.46,1,194.462,26.668,20171221566748,626,11,3,42,1,zg,354566744215,354,35456674,1,o,2017-12-21 13:36:07,2458109.0667477,12
194.559579,26.335388,5.7303,5.65,0.3528,9.8821,17.44,1,194.465,26.679,20171223568912,626,11,3,42,1,zg,356568924215,356,35656892,1,o,2017-12-23 13:39:15,2458111.0689236,13
194.911767,26.452866,5.7302,5.5941,0.459,9.8667,17.42,1,194.463,26.676,20171227539919,626,11,3,42,1,zg,360539934215,360,36053993,1,o,2017-12-27 12:57:30,2458115.0399306,14
194.91349,26.453563,5.7302,5.5938,0.4597,9.8665,17.42,1,194.464,26.677,20171227561215,626,11,3,42,1,zg,360561224215,360,36056122,1,o,2017-12-27 13:28:10,2458115.0612269,15
